S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3305345.0,CHITTA RANJAN SARKAR,INR,"4,915,790.67",Technical,Tender Opened,BALABHADRA GANJHU,22-Dec-2025 07:05 PM,technical_568625.pdf,"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",2025_CEMIB_122363_1,SEMIDMKG-09/2025-26,Construction of Canal lining in MC Canal of MI Tank at MV-7980 in Kalimela Block,Superintending Engineer,Internal,Superintending Engineer Asst. Engineer (Estr.) Divisional Account Officer,Nihar Ranjan Behera,02-Mar-2026 12:07 PM,finsummary_568625.pdf (2168.30 KB),Superintending Engineer,Internal,"Superintending Engineer, Assistant Executive Engineer(Estr.), Assistant Engineer (Estr.), Divisional Accountant",BALABHADRA GANJHU,22-Dec-2025 07:15 PM,23-Dec-2025 11:00 AM,techsummary_568625.pdf (2033.76 KB),Finance,Tender opened,Nihar Ranjan Behera,02-Mar-2026 11:52 AM,finance_568625.pdf,BOQ Comparative Chart,1,3304378,AKASH PRADHAN,15-Dec-2025 05:07 PM,Rejected-AOC,Qualified for Lottery,02-Mar-2026 12:24 PM,02-Mar-2026,"INR 4,915,790.67",90.0,Nihar Ranjan Behera,02-Mar-2026 12:24 PM,1.pdf (462.00 KB),AOC,Superintending Engineer,"O/O the SE, M.I. Division, Malkangiri","10,000",0.0,Nil,Nil,No,"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",SEMIDMKG-09/2025-26,2025_CEMIB_122363_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"57,900",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Pan Card, Active GSTIN, Valid License, Affidavit, Under taking regarding No-relationship",Construction of Canal lining in MC Canal of MI Tank at MV-7980 in Kalimela Block,Construction of Canal lining in Left canal from RD 550 m to RD 1030m Right Main canal from RD 920m to 1310m Right Minor Canal from RD 0m to 570m of MI. Tank at MV 79 80 MIP in Kalimela Block of Malkangiri District under MMCLY.,Refer DTCN ,NA ,"57,82,603",Civil Works - Water Works,NA ,Tender,90.0,90.0,MV-79/80,764047.0,NA ,NA ,NA ,"O/O the SE, M.I. Division, Malkangiri",No ,No,1.0,ICICI BANK,02-Dec-2025 10:00 AM,17-Dec-2025 11:00 AM,02-Dec-2025 10:00 AM,16-Dec-2025 05:00 PM,02-Dec-2025 10:00 AM ,15-Dec-2025 05:00 PM ,02-Dec-2025 10:00 AM,16-Dec-2025 05:00 PM,23-Dec-2025 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3304612,Aryan Tawari,15-Dec-2025 05:41 PM,Rejected-AOC,Qualified for Lottery,02-Mar-2026 12:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3305128,Ashok Kumar Lenka,15-Dec-2025 07:25 PM,Rejected-AOC,Qualified for Lottery,02-Mar-2026 12:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3305949,BASANTA SARKAR,16-Dec-2025 02:09 PM,Rejected-AOC,Qualified for Lottery,02-Mar-2026 12:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3305548,BIBEKANANDA MANDAL,16-Dec-2025 05:57 AM,Rejected-AOC,Qualified for Lottery,02-Mar-2026 12:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3303794,BISHNUPAD MANDAL,15-Dec-2025 06:10 PM,Rejected-AOC,Qualified for Lottery,02-Mar-2026 12:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3307612,BISWAJIT DHALI,16-Dec-2025 02:13 PM,Rejected-AOC,Qualified for Lottery,02-Mar-2026 12:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3307156,BISWAJIT ROUT,16-Dec-2025 01:16 PM,Rejected-AOC,Qualified for Lottery,02-Mar-2026 12:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3304870,B Sasmita,15-Dec-2025 06:29 PM,Rejected-AOC,Qualified for Lottery,02-Mar-2026 12:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3305345,CHITTA RANJAN SARKAR,16-Dec-2025 11:21 AM,Accepted-AOC,Winner in Lottery,02-Mar-2026 12:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
