Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
25-Mar-2026,"INR 846,686",30.0,Jay Prakash Soren,25-Mar-2026 12:58 PM,wo05.pdf (219.00 KB),1.0,3365554.0,KESHARI MIRGAN,INR,"846,686",CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,2026_CERWI_124950_11,EERWNGP Online 11 2025 26,"SR to RD Jn to Pakhnaguda Road-A road such as Pot hole repair,CD Maintenance,Signage and Berm filling at Ch 0/000 to 7/100 km in Kosagumuda Block for the year 2025 26",1,3373222,AKASH BISSOI,30-Jan-2026 12:21 AM,Rejected-AOC,Disqualified in transparent lottery,25-Mar-2026 12:58 PM,Finance,Tender Opening,Jay Prakash Soren,25-Mar-2026 12:36 PM,finance_577510.pdf,BOQ Comparative Chart,Executive Engineer,Internal,"Estimator, DAO,EE",Jay Prakash Soren,25-Mar-2026 12:47 PM,finsummary_577510.pdf (641.14 KB),Executive Engineer,Internal,"Estimator, DAO,EE",Jay Prakash Soren,25-Mar-2026 12:41 PM,techsummary_577510.pdf (641.14 KB),AOC,"8,467",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,EERWNGP Online 11 2025 26,2026_CERWI_124950_11,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,Executive Engineer,"RURAL WORKS DIVISION-I, NAWARANGPUR","SR to RD Jn to Pakhnaguda Road-A road such as Pot hole repair,CD Maintenance,Signage and Berm filling at Ch 0/000 to 7/100 km in Kosagumuda Block for the year 2025 26","SR to RD Jn to Pakhnaguda Road-A road such as Pot hole repair,CD Maintenance,Signage and Berm filling at Ch 0/000 to 7/100 km in Kosagumuda Block for the year 2025 26",Please refer to tender documents ,NA ,"8,46,686",Civil Works - Roads,NA ,Tender,90.0,30.0,Kosagumuda,764061.0,NA ,NA ,NA ,"RURAL WORKS DIVISION-I, NAWARANGPUR",No ,No,23-Jan-2026 11:00 AM,31-Jan-2026 11:00 AM,23-Jan-2026 11:00 AM,30-Jan-2026 03:00 PM,23-Jan-2026 11:00 AM ,30-Jan-2026 03:00 PM ,23-Jan-2026 11:00 AM,30-Jan-2026 03:00 PM,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,License PAN Card GSTIN and Affidavit as per DTCN,AOC
,,,,,,,,,,,,,,,2,3367013,AMLAN JYOTI MADALA,26-Jan-2026 10:40 PM,Rejected-AOC,Disqualified in transparent lottery,25-Mar-2026 12:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,AOC
,,,,,,,,,,,,,,,3,3371086,ASHOK KUMAR CHOUDHURY,30-Jan-2026 11:46 AM,Rejected-AOC,Disqualified in transparent lottery,25-Mar-2026 12:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3371579,DEBA RANJAN PATRA,29-Jan-2026 10:22 PM,Rejected-AOC,Disqualified in transparent lottery,25-Mar-2026 12:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3371795,DHANURJYA BISOI,29-Jan-2026 02:50 PM,Rejected-AOC,Disqualified in transparent lottery,25-Mar-2026 12:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3372869,DURYADHAN MALI,29-Jan-2026 10:53 PM,Rejected-AOC,Disqualified in transparent lottery,25-Mar-2026 12:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3373435,GOURI PRASAD PATRO,30-Jan-2026 10:21 AM,Rejected-AOC,Disqualified in transparent lottery,25-Mar-2026 12:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3365554,KESHARI MIRGAN,25-Jan-2026 08:59 PM,Accepted-AOC,Awarded of Contract,25-Mar-2026 12:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3372102,LACHHAMAN BHATRA,29-Jan-2026 02:07 PM,Rejected-AOC,Disqualified in transparent lottery,25-Mar-2026 12:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3373743,LAXMI NARAYAN BISSOI,30-Jan-2026 12:23 PM,Rejected-AOC,Disqualified in transparent lottery,25-Mar-2026 12:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
