S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3024523.0,M/S BHAGYABAN BARIK,INR,"1,521,493",Ajaya Kumar Mishra,Internal,Purusottam Vishwakarma and Saroj Kumar Mohanty,AJAYA KUMAR MISHRA,08-Dec-2025 09:44 AM,finsummary_547785.pdf (43.09 KB),"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Jajpur Road",2025_OLIC_116177_28,1278_OLIC_18_07_25,PKG28,Technical,Opened Successfully,PURUSOTTAM VISHWAKARMA,13-Aug-2025 04:37 PM,technical_547785.pdf,Finance,Opened Successfully,AJAYA KUMAR MISHRA,21-Nov-2025 06:24 PM,finance_547785.pdf,BOQ Comparative Chart,Ajaya Kumar Mishra,Internal,Purusottam Vishwakarma and Saroj Kumar Mohanty,AJAYA KUMAR MISHRA,18-Nov-2025 03:34 PM,18-Nov-2025 03:40 PM,techsummary_547785.pdf (32.07 KB),15-Dec-2025,"INR 1,521,493",90.0,AJAYA KUMAR MISHRA,01-Mar-2026 05:08 PM,PKG28.pdf (44.00 KB),Revival restoration of Kelnga RL under Dasarathpur Block,1,3022470,ANIL KUMAR SAMANTARAY,04-Aug-2025 02:07 PM,Rejected-Finance,Lost of the Lottery,08-Dec-2025 09:44 AM,AOC,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Jajpur Road",1278_OLIC_18_07_25,2025_OLIC_116177_28,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,PKG28,Revival and restoration of Kelnga RLunder Dasarathpur Block in Jajpur District,Please refer to the DTCN ,NA ,"15,16,764",Civil Works - Lift Irrigation Schemes,Electrical works ,Tender,180.0,90.0,Jajpur Road,755019.0,NA ,NA ,NA ,"O/O Executive Engineer, L.I.Division, Jajpur Road",No ,No,"Executive Engineer, L.I.Division, Jajpur Road","O/O Executive Engineer, L.I.Division, Jajpur Road","7,080",0.0,Nil,Nil,Yes,1.0,Fee/PreQual/Technical,.pdf,"Civil, Electrical license, Rig documents,Joint venture, Affidavit,EMD,Paper cost as pkg require","15,168",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,29-Jul-2025 03:00 PM,06-Aug-2025 11:00 AM,29-Jul-2025 03:00 PM,05-Aug-2025 05:00 PM,29-Jul-2025 03:00 PM ,04-Aug-2025 05:00 PM ,29-Jul-2025 03:00 PM,05-Aug-2025 05:00 PM,18-Nov-2025 03:40 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3023986,Golekha Bihari Aich,05-Aug-2025 11:13 AM,Rejected-Finance,Lost of the Lottery,08-Dec-2025 09:44 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN should be filled in capital letter,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3024021,JAGDEV PANDA,05-Aug-2025 12:54 AM,Rejected-AOC,Being L2 and L1 Accepted the bid,01-Mar-2026 05:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bills of Quantity,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3023719,LAXMAN KUMAR SAHOO,04-Aug-2025 08:33 PM,Rejected-Finance,Lost of the Lottery,08-Dec-2025 09:44 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3024198,MAHENDRA KUMAR PATI,05-Aug-2025 11:17 AM,Rejected-Finance,Lost of the Lottery,08-Dec-2025 09:44 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3024523,M/S BHAGYABAN BARIK,05-Aug-2025 01:21 PM,Accepted-AOC,Being L1 Accepted the BId,01-Mar-2026 05:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3023750,M/s Maheswari construction Pro-Amulya kumar sahoo,04-Aug-2025 07:59 PM,Rejected-Finance,Lost of the Lottery,08-Dec-2025 09:44 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3023686,RANJIT KUMAR BEHERA,04-Aug-2025 08:15 PM,Rejected-Finance,Lost of the Lottery,08-Dec-2025 09:44 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3023086,SANGITA ROUT,04-Aug-2025 01:46 PM,Rejected-Finance,Lost of the Lottery,08-Dec-2025 09:44 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3022063,SANTANU KUMAR SAHOO,03-Aug-2025 12:51 PM,Rejected-AOC,Being L2 and L1 accepted the bid,01-Mar-2026 05:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3024039,SARITA DAS,05-Aug-2025 11:38 AM,Rejected-Finance,Lost of the Lottery,08-Dec-2025 09:44 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
