EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"25,500",Yes,fixed,,Nil,Nil,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-41/2025-26 Dt. 17.11.2025,2025_ORULB_121520_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"Executive Engineer,Central Tender Cell","Central Tender Cell, UG Floor, Icomc Tower, BMC","Improvement of road and drain at Akhaji Sahu, Jadupur in Ward No-64","Improvement of road and drain at Akhaji Sahu, Jadupur in Ward No-64",Please refer Tender documents. ,NA ,"25,41,371",Civil Works - Others,NA ,Tender,120.0,75.0,BMC AREA,751022.0,"Office chamber of the EE,Central Tender Cell ","Central Tender Cell, UG Floor, Icomc Tower, BMC ",24-Nov-2025 04:30 PM ,"Central Tender Cell,BMC",No ,No,20-Nov-2025 11:30 AM,02-Dec-2025 11:30 AM,20-Nov-2025 11:30 AM,01-Dec-2025 05:00 PM,20-Nov-2025 11:30 AM ,24-Nov-2025 03:30 PM ,20-Nov-2025 11:30 AM,01-Dec-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Scanned copies of all documents,"6,000",0.0,Nil,Nil,No,AOC,City Engineer,Internal,"EECENTRALTENDERCELL,EEDRAINAGEDIVISION,EEDIVISIONII,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,23-Mar-2026 11:23 AM,finsummary_565378.pdf (2381.29 KB),Municipal Bodies||Bhubaneswar Municipal Corporation,2025_ORULB_121520_6,BMC-EE-Tender Cell-41/2025-26 Dt. 17.11.2025,"Improvement of road and drain at Akhaji Sahu, Jadupur in Ward No-64",1.0,3264913.0,RAJASHREE DASH,INR,"2,549,295",Finance,5 bids opened successfully,Lipsa Parida,02-Dec-2025 01:35 PM,finance_565378.pdf,BOQ Comparative Chart,1,3266232,BASANTA KUMAR BHOI,29-Nov-2025 01:22 PM,Rejected-Finance,Rejected,23-Mar-2026 11:23 AM,23-Mar-2026,"INR 2,549,295",75.0,Lipsa Parida,23-Mar-2026 11:27 AM,WO_41_6.pdf (490.00 KB),City Engineer,Internal,"EECENTRALTENDERCELL,EEDRAINAGEDIVISION,EEDIVISIONII,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,23-Mar-2026 11:19 AM,techsummary_565378.pdf (1166.04 KB),AOC
,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3267812,M/S OMM SAI ASSOCIATES,30-Nov-2025 01:44 PM,Rejected-Finance,Rejected,23-Mar-2026 11:23 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3264913,RAJASHREE DASH,30-Nov-2025 11:28 PM,Accepted-AOC,L1 bidder,23-Mar-2026 11:27 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3266582,SAYED FARUK ALI,29-Nov-2025 02:59 PM,Rejected-Finance,Rejected,23-Mar-2026 11:23 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3266112,SHEIKH BARKAT TULLA,29-Nov-2025 01:00 PM,Rejected-Finance,Rejected,23-Mar-2026 11:23 AM,,,,,,,,,,,,,AOC
