Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
S.K. Behera,Internal,"P.K JENA, A.S. SWAIN, D. MALIK",Sunil Kumar Behera,05-Mar-2026 12:33 PM,techsummary_571975.pdf (2181.51 KB),1.0,3322162.0,SHREE GOPAL CONSTRUCTION,INR,"2,975,362.956",Odisha Tourism Devl. Corp.,2025_OTDC_123328_1,BP-I/23/2025-26 Dt. 29.11.2025,Repair and Renovation of Way Side Amenity Centre at Jatamundia Square in Cuttack Dist.,1,3320261,BISWAJIT PANI,21-Dec-2025 11:50 AM,Rejected-Finance,UNSUCCESSFUL BIDDER IN TRANSPARENT LOTTERY,23-Mar-2026 05:53 PM,Finance,BIDDER LIST,Subrat Kumar Jena,18-Jan-2026 02:08 PM,finance_571975.pdf,BOQ Comparative Chart,S.K. Behera,Internal,"P.K. JENA, A.S. SWAIN",Sunil Kumar Behera,23-Mar-2026 05:53 PM,finsummary_571975.pdf (723.69 KB),23-Mar-2026,"INR 2,975,362.956",45.0,Sunil Kumar Behera,23-Mar-2026 05:56 PM,workorder.pdf (1124.00 KB),WORK ORDER,AOC,"35,000",Yes,fixed,,Nil,Nil,1.0,Repair and Renovation of Way Side Amenity Centre at Jatamundia Square in Cuttack Dist.,Date,,1.0,ICICI BANK,17-Dec-2025 09:00 AM,26-Dec-2025 11:30 AM,17-Dec-2025 09:00 AM,24-Dec-2025 05:00 PM,17-Dec-2025 09:00 AM ,21-Dec-2025 05:00 PM ,17-Dec-2025 09:00 AM,24-Dec-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"6,000","1,080",Nil,Nil,No,Odisha Tourism Devl. Corp.,BP-I/23/2025-26 Dt. 29.11.2025,2025_OTDC_123328_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"Superintending Engineer, OTDC Ltd. BBSR","O/o The Superintending Engineer, OTDC Ltd. BBSR",Repair and Renovation of Way Side Amenity Centre at Jatamundia Square in Cuttack Dist.,Repair and Renovation of Way Side Amenity Centre at Jatamundia Square in Cuttack Dist.,As per DTCN ,NA ,"35,00,000",Civil Works - Buildings,NA ,Tender,180.0,45.0,Jatamundia,754007.0,NA ,NA ,NA ,"O/o The Superintending Engineer, OTDC Ltd. BBSR",No ,No,AOC
,,,,,,,,,,,,,,,2,3325071,CHANDAN SAHOO,23-Dec-2025 06:29 PM,Rejected-Finance,UNSUCCESSFUL BIDDER IN TRANSPARENT LOTTERY,23-Mar-2026 05:53 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3326361,DILIP KUMAR BARAL,24-Dec-2025 03:35 PM,Rejected-Finance,UNSUCCESSFUL BIDDER IN TRANSPARENT LOTTERY,23-Mar-2026 05:53 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3323632,JITENDRA MALLICK,22-Dec-2025 08:06 PM,Rejected-Finance,UNSUCCESSFUL BIDDER IN TRANSPARENT LOTTERY,23-Mar-2026 05:53 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3317592,M/S BINORI CONSTRUCTION AND INTERIOR,22-Dec-2025 03:48 PM,Rejected-Finance,UNSUCCESSFUL BIDDER IN TRANSPARENT LOTTERY,23-Mar-2026 05:53 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3317534,M/S DURGAMADHAB CONSTRUCTION AND INTERIOR,22-Dec-2025 03:43 PM,Rejected-Finance,UNSUCCESSFUL BIDDER IN TRANSPARENT LOTTERY,23-Mar-2026 05:53 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3323966,M/S SARADA PRASAD NAYAK,23-Dec-2025 09:11 AM,Rejected-AOC,UNSUCCESSFUL BIDDER,23-Mar-2026 05:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3324312,M/S SILICON INTERIORS,23-Dec-2025 12:52 PM,Rejected-Finance,UNSUCCESSFUL BIDDER IN TRANSPARENT LOTTERY,23-Mar-2026 05:53 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3322170,M/S SWAYAM ENTERPRISES,22-Dec-2025 03:53 PM,Rejected-Finance,UNSUCCESSFUL BIDDER IN TRANSPARENT LOTTERY,23-Mar-2026 05:53 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3326181,PRIYAMBADA DAS,24-Dec-2025 03:14 PM,Rejected-Finance,UNSUCCESSFUL BIDDER IN TRANSPARENT LOTTERY,23-Mar-2026 05:53 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
