Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Special repair of road from Pokhariput UP School to Drain No-9 in Ward No. 62,Special repair of road from Pokhariput UP School to Drain No-9 in Ward No. 62,Please refer Tender documents. ,NA ,"12,63,788",Civil Works - Roads,NA ,Tender,120.0,60.0,BMC AREA,751022.0,Office Chamber of the EE(Central Tender Cell) ,"Central Tender Cell, UG Floor, ICOMC Tower,Satya nagar ",23-Dec-2025 03:30 PM ,"Central Tender Cell,BMC",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Scanned copies of all documents,"12,700",Yes,fixed,,Nil,Nil,19-Dec-2025 10:30 AM,29-Dec-2025 03:30 PM,19-Dec-2025 10:30 AM,29-Dec-2025 03:00 PM,19-Dec-2025 10:30 AM ,23-Dec-2025 01:30 PM ,19-Dec-2025 10:30 AM,29-Dec-2025 03:00 PM,"Executive Engineer,Central Tender Cell","Central Tender Cell, UG Floor, ICOMC Tower,Satya nagar",1,ICICI BANK,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-55/2025-26 Dt. 17.12.2025,2025_ORULB_123398_16,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,AOC,City Engineer,Internal,"EECENTRALTENDERCELL,EEDIVISIONII,EEDRAINAGEDIVISION,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,10-Mar-2026 04:38 PM,finsummary_572120.pdf (514.36 KB),City Engineer,Internal,"EECENTRALTENDERCELL,EEDIVISIONII,EEDRAINAGEDIVISION,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,10-Mar-2026 04:33 PM,techsummary_572120.pdf (790.22 KB),1,3335825,JITENDRA KUMAR MAHALI,29-Dec-2025 11:33 AM,Accepted-AOC,L1 bidder,10-Mar-2026 04:43 PM,Municipal Bodies||Bhubaneswar Municipal Corporation,2025_ORULB_123398_16,BMC-EE-Tender Cell-55/2025-26 Dt. 17.12.2025,Special repair of road from Pokhariput UP School to Drain No-9 in Ward No. 62,1.0,3335825.0,JITENDRA KUMAR MAHALI,INR,"1,491,270",10-Mar-2026,"INR 1,491,270",60.0,Lipsa Parida,10-Mar-2026 04:43 PM,Work_Order_55_16.pdf (514.00 KB),Finance,2 bids opened successfully,Taras Marandi,29-Dec-2025 03:48 PM,finance_572120.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2,3324815,KISHAN JENA,23-Dec-2025 04:35 PM,Rejected-Finance,Rejected,10-Mar-2026 04:38 PM,,,,,,,,,,,,,,,,,,,,,,AOC
