Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
20-Mar-2026,"INR 1,162,620",60.0,Subas Chandra Sahoo,20-Mar-2026 05:51 PM,2025_ORULB_123292_23.pdf (404.00 KB),Work Order,Municipal Bodies||Cuttack Municipal Corporation,2025_ORULB_123292_23,MC(CMC)CTC_Div-I_No.17/2025-26,Construction of RCC drain from Mission road Petrol Pump to Vanja Mandap through Christ College Hostel in Ward No.15.,1.0,3341341.0,HRUSHIKESH SAHOO,INR,"1,162,620",1,3341341,HRUSHIKESH SAHOO,31-Dec-2025 03:14 PM,Accepted-AOC,Accepted,20-Mar-2026 05:51 PM,Finance,Eleven bidders participated. BOQ Comparative Chart is enclosed for reference. The Original documents of bidders to be verified.,Subas Chandra Sahoo,06-Jan-2026 05:51 PM,finance_572577.pdf,BOQ Comparative Chart,Executive Engineer,Internal,Asst. Executive Engineer,Subas Chandra Sahoo,20-Mar-2026 05:11 PM,finsummary_572577.pdf (403.87 KB),Executive Engineer,Internal,Asst. Executive Engineer,Subas Chandra Sahoo,20-Mar-2026 05:03 PM,techsummary_572577.pdf (403.87 KB),AOC,Municipal Bodies||Cuttack Municipal Corporation,MC(CMC)CTC_Div-I_No.17/2025-26,2025_ORULB_123292_23,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"13,700",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST,EMD,GST,PAN,REGISTRATION CERTIFICATE,OTHER DOCUMENTS AS PER DTCN in online","Executive Engineer, CD-I","At Bikash Bhawan, Jagannathlane Badambadi, Dist Cuttack, Pin-753012",1.0,ICICI BANK,20-Dec-2025 01:00 PM,05-Jan-2026 11:00 AM,20-Dec-2025 01:00 PM,31-Dec-2025 05:00 PM,NA ,NA ,20-Dec-2025 01:00 PM,31-Dec-2025 05:00 PM,"7,080",0.0,Nil,Nil,No,Construction of RCC drain from Mission road Petrol Pump to Vanja Mandap through Christ College Hostel in Ward No.15.,Construction of RCC drain from Mission road Petrol Pump to Vanja Mandap through Christ College Hostel in Ward No.15.,Please refer Tender documents. ,NA ,"13,67,700",Civil Works - Others,NA ,Tender,90.0,60.0,CMC,753001.0,NA ,NA ,NA ,"At Bikash Bhawan, Jagannathlane Badambadi, Dist C",No ,No,AOC
,,,,,,,,,,,,,,,,2,3331494,ISWAR CHANDRA SETHY,27-Dec-2025 01:44 PM,Rejected-AOC,Rejected,20-Mar-2026 05:51 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,3327815,JAGANNATH SWAIN,25-Dec-2025 03:41 PM,Rejected-AOC,Rejected,20-Mar-2026 05:51 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,3330000,PRADEEP KUMAR CHHATOI,26-Dec-2025 02:57 PM,Rejected-AOC,Rejected,20-Mar-2026 05:51 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3341074,PRASANTA KUMAR BEHERA,31-Dec-2025 11:31 AM,Rejected-AOC,Rejected,20-Mar-2026 05:51 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,3330308,PRIYADARSHANI PANDIT,27-Dec-2025 01:56 PM,Rejected-AOC,Rejected,20-Mar-2026 05:51 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,3340199,SIBENDRA BEHERA,30-Dec-2025 03:33 PM,Rejected-AOC,Rejected,20-Mar-2026 05:51 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,3341252,SOHEB MOHAMMED,31-Dec-2025 01:39 PM,Rejected-AOC,Rejected,20-Mar-2026 05:51 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,3337762,SUBASH CHANDRA BEHERA,29-Dec-2025 04:24 PM,Rejected-AOC,Rejected,20-Mar-2026 05:51 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,3330842,SUDHIR KUAMR PAL,26-Dec-2025 09:23 PM,Rejected-AOC,Rejected,20-Mar-2026 05:51 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
