Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"Bid Cost, EMD, RC,PAN, GST, Affidavit regarding correctness, No relation certificate","2,28,400",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Periodical Renewal work of 5 year post DLP PMGSY Roads for financial year 2025-26 under State Budget for Package No. PM-MKG2-A5/2025-26,Periodical Renewal work of 5 year post DLP PMGSY Roads for financial year 2025-26 under State Budget for Package No. PM-MKG2-A5/2025-26,N.A. ,NA ,"2,28,40,000",Civil Works - Roads,NA ,Tender,90.0,180.0,MALKANGIRI,764045.0,NA ,NA ,NA ,"Chief Construction Engineer, R.W.Circle, Sunabeda",No ,No,"10,000",0.0,Nil,Nil,No,Chief Construction Engineer,"Rural Works Circle, Sunabeda-1, Near Jagannath Temple, PIN-763001, Dist-Koraput",08-Aug-2025 02:00 PM,16-Aug-2025 11:00 AM,08-Aug-2025 02:00 PM,14-Aug-2025 05:00 PM,08-Aug-2025 02:00 PM ,13-Aug-2025 02:00 PM ,08-Aug-2025 02:00 PM,14-Aug-2025 05:00 PM,18-Dec-2025 11:00 AM,CE RW I||RWCIRCLE-SUNABEDA,CCERWCSBD Online - 07/2025-26,2025_CERWI_116551_12,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,Technical,bidders name,Rinku Nahak,12-Dec-2025 08:50 PM,technical_548789.pdf,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Award of contract to Sri Mrinal Kanta Sarkar, B Class (SC) Contractor through transparency lottery system.",Rinku Nahak,06-Mar-2026 07:01 PM,finsummary_548789.pdf (908.10 KB),Finance,cs,Rinku Nahak,06-Mar-2026 06:52 PM,finance_548789.pdf,BOQ Comparative Chart,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Superintending Engineer, DAO, Estimator of Rural Works Division-II, Malkangiri Estimator R.W. Circle Sunabeda and P.A. to CCE",Rinku Nahak,12-Dec-2025 08:55 PM,18-Dec-2025 11:00 AM,techsummary_548789.pdf (1636.63 KB),06-Mar-2026,"INR 19,416,091.94",180.0,Rinku Nahak,06-Mar-2026 07:18 PM,AOCMKG2A5.pdf (1052.00 KB),"Award of contract to Sri Mrinal Kanta Sarkar, B Class (SC) Contractor through transparency lottery system.",CE RW I||RWCIRCLE-SUNABEDA,2025_CERWI_116551_12,CCERWCSBD Online - 07/2025-26,Periodical Renewal work of 5 year post DLP PMGSY Roads for financial year 2025-26 under State Budget for Package No. PM-MKG2-A5/2025-26,1.0,3035369.0,MRINAL KANTA SARKAR,INR,"19,416,091.94",1,3035502,ASISHA KUMAR SAMAL,14-Aug-2025 09:49 AM,Rejected-AOC,REJECT,06-Mar-2026 07:18 PM,AOC
,,.pdf,"Annual Turn over certificate from CA, Similar nature of Work Certificate",,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3036024,GIRADA SHYAM SUNDAR RAO,14-Aug-2025 02:40 PM,Rejected-AOC,REJECT,06-Mar-2026 07:18 PM,AOC
,,.pdf,Machineries and other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3035391,GOBINDA CHANDRA NAYAK,13-Aug-2025 11:37 PM,Rejected-AOC,REJECT,06-Mar-2026 07:18 PM,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3035774,GOUTTAM MONDAL,14-Aug-2025 01:28 PM,Rejected-Technical,DISQUALIFIED,12-Dec-2025 08:55 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3032478,JANBI CONSTRUCTION,14-Aug-2025 09:19 AM,Rejected-AOC,REJECT,06-Mar-2026 07:18 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3033050,Kunja Bihari Sahu,13-Aug-2025 09:33 PM,Rejected-AOC,REJECT,06-Mar-2026 07:18 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3035431,MALAY SARKAR,14-Aug-2025 03:31 PM,Rejected-AOC,REJECT,06-Mar-2026 07:18 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3035369,MRINAL KANTA SARKAR,14-Aug-2025 12:43 AM,Accepted-AOC,"Award of contract to Sri Mrinal Kanta Sarkar, B Class (SC) Contractor through transparency lottery system.",06-Mar-2026 07:18 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3033491,P.RAMA RAO,14-Aug-2025 11:03 AM,Rejected-AOC,REJECT,06-Mar-2026 07:18 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3035293,SAMIR KUMAR MEHER,14-Aug-2025 11:11 AM,Rejected-AOC,REJECT,06-Mar-2026 07:18 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3036217,Saumya Ranjan Muduli,14-Aug-2025 04:28 PM,Rejected-AOC,REJECT,06-Mar-2026 07:18 PM,AOC
