Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Cuttack||TANGI CHOUDWAR Block,TCB 03/2025-26,2025_PRBTN_122782_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,BDO Tangi Choudwar,"Office of Panchayat Samiti, Tangi Choudwar",1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,08-Dec-2025 11:30 AM,24-Dec-2025 11:30 AM,08-Dec-2025 11:30 AM,23-Dec-2025 05:00 PM,08-Dec-2025 11:30 AM ,22-Dec-2025 03:00 PM ,08-Dec-2025 01:00 PM,23-Dec-2025 05:00 PM,1.0,ICICI BANK,Construction of Dining Hall at Kusapada AS 100 Seated Girls Hostel,Construction of Dining Hall at Kusapada AS 100 Seated Girls Hostel,Please refer Tender documents. ,NA ,"25,24,100",Civil Works - Buildings,NA ,Tender,90.0,240.0,GP Garudagaon,754022.0,NA ,NA ,NA ,"Office of Panchayat Samiti, Tangi Choudwar",No ,No,"6,000",Nil,Nil,No,"25,241",Yes,percentage,1.0%,Nil,Nil,AOC,BDO,Internal,"BDO.AEE,AE,JE,BFO,CP",MONALISA MOHAPATRA,13-Mar-2026 04:17 PM,finsummary_570199.pdf (453.35 KB),Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Cuttack||TANGI CHOUDWAR Block,2025_PRBTN_122782_1,TCB 03/2025-26,Construction of Dining Hall at Kusapada AS 100 Seated Girls Hostel,1.0,3323411.0,UGRASEN BEHERA,INR,"2,524,100",Finance,"Bids are open in presence of BDO,AEE,AE,JE,CP,BFO",MONALISA MOHAPATRA,13-Mar-2026 04:00 PM,finance_570199.pdf,BOQ Comparative Chart,13-Mar-2026,"INR 2,524,100",240.0,N N RAJALAXMI OJHA,13-Mar-2026 04:54 PM,kusapadagirlsworkorder.pdf (506.00 KB),quated amount is 14.99 less,1,3324698,ABHIJIT SUBUDHIRAY,23-Dec-2025 03:48 PM,Rejected-Finance,Through Lottery,13-Mar-2026 04:17 PM,BDO,Internal,"BDO,AEE,AE,JE.BFO,CP",MONALISA MOHAPATRA,13-Mar-2026 04:02 PM,techsummary_570199.pdf (491.36 KB),AOC
,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3314316,K M CONSTRUCTION PROPRIETOR DIBYA RANJAN MALIK,18-Dec-2025 03:05 PM,Rejected-Finance,Through Lottery,13-Mar-2026 04:17 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3324671,SATISH KUMAR SAHOO,23-Dec-2025 03:27 PM,Rejected-Finance,Through Lottery,13-Mar-2026 04:17 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3323411,UGRASEN BEHERA,23-Dec-2025 04:24 PM,Accepted-AOC,through tender processes,13-Mar-2026 04:54 PM,,,,,,,AOC
