Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"6,000",0.0,Nil,Nil,No,EXECUTIVE OFFICER,"At/Po/Ps-Kuchinda,Dist-Sambalpur,Odisha",Municipal Bodies||Kuchinda NAC,KCDA/NAC-9/2025-26,2026_ORULB_126404_26,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"Laying of Drain Cover Slab Drain from Ghosa Chowk to Meat Market, Two side ,Ward no-7 Ph-II","Laying of Drain Cover Slab Drain from Ghosa Chowk to Meat Market, Two side ,Ward no-7 Ph-II",As per DTCN ,NA ,"13,31,079",Civil Works - Others,NA ,Tender,90.0,60.0,Ward No-7 NAC Kuchinda,768222.0,NA ,NA ,NA ,OFFICE OF THE NAC KUCHINDA,No ,No,"13,311",Yes,percentage,1.0%,Nil,Nil,23-Feb-2026 10:00 AM,06-Mar-2026 10:00 AM,23-Feb-2026 10:00 AM,05-Mar-2026 05:30 PM,23-Feb-2026 10:00 AM ,05-Mar-2026 05:30 PM ,23-Feb-2026 10:00 AM,05-Mar-2026 05:30 PM,AOC,Pradyut Kumar Mohanty,Internal,"Barun Kumar Sa, Nilamadhab Nag,Manaranjan Suna",Barun Kumar Sa,25-Mar-2026 01:14 PM,techsummary_582364.pdf (633.47 KB),Pradyut Kumar Mohanty,Internal,"Barun Kumar Sa, Nilamadhab Nag , Manaranjan Suna",Barun Kumar Sa,30-Mar-2026 11:22 AM,finsummary_582364.pdf (629.69 KB),Finance,Admitted,Nilamadhab Nag,09-Mar-2026 12:38 PM,finance_582364.pdf,BOQ Comparative Chart,31-Mar-2026,"INR 1,331,079.31",60.0,Barun Kumar Sa,31-Mar-2026 01:11 PM,26.pdf (416.00 KB),Work order issued,1.0,3420734.0,PRABIN PRATAP SINGH,INR,"1,331,079.31",Municipal Bodies||Kuchinda NAC,2026_ORULB_126404_26,KCDA/NAC-9/2025-26,"Laying of Drain Cover Slab Drain from Ghosa Chowk to Meat Market, Two side ,Ward no-7 Ph-II",1,3417297,AMIT AGRAWAL,03-Mar-2026 11:42 AM,Rejected-AOC,Rejected,31-Mar-2026 01:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3418369,AMIT PRATAP SINGH,05-Mar-2026 01:56 AM,Rejected-AOC,Rejected,31-Mar-2026 01:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3418150,BISHAL AGRAWAL,04-Mar-2026 03:09 PM,Rejected-AOC,Rejected,31-Mar-2026 01:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3408582,DIPTI PANDA,24-Feb-2026 10:31 AM,Rejected-AOC,Rejected,31-Mar-2026 01:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3417208,GOBINDA SAHOO,05-Mar-2026 07:34 AM,Rejected-AOC,Rejected,31-Mar-2026 01:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3418541,GOVIND MEHER,04-Mar-2026 07:54 PM,Rejected-AOC,Rejected,31-Mar-2026 01:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3417886,KAPILASH NAYAK,03-Mar-2026 05:55 PM,Rejected-AOC,Rejected,31-Mar-2026 01:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3419215,LAXMI AGRAWAL,05-Mar-2026 10:45 AM,Rejected-AOC,Rejected,31-Mar-2026 01:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3420734,PRABIN PRATAP SINGH,05-Mar-2026 05:29 PM,Accepted-AOC,Awarded through lottery system,31-Mar-2026 01:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3420655,PRAKASH RUDRA SINGH,05-Mar-2026 05:21 PM,Rejected-AOC,Rejected,31-Mar-2026 01:11 PM,AOC
