Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"10,000",0.0,Nil,Nil,No,"73,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"TPC, EMD, GSTIN, PAN Card, RC, Affidavits NRC and required documents as per DTCN",CE RW I||RWCIRCLE-BHAWANIPATNA||RW Division Kesinga,RWKSNG-online-05/25-26,2025_CERWI_119983_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,SUPERINTENDING ENGINEER,"RURAL WORKS DIVISION, KESINGA",1.0,ICICI BANK,24-Oct-2025 01:00 PM,12-Nov-2025 11:00 AM,24-Oct-2025 01:00 PM,11-Nov-2025 05:00 PM,24-Oct-2025 01:00 PM ,06-Nov-2025 11:00 AM ,24-Oct-2025 01:00 PM,11-Nov-2025 05:00 PM,18-Dec-2025 11:00 AM,Construction of R.I. Office Cum Residence Building at Risida in the District of Kalahandi for the year 2025-26,Construction of R.I. Office Cum Residence Building at Risida in the District of Kalahandi for the year 2025-26,Please refer Tender documents. ,NA ,"72,69,839",Civil Works - Buildings,NA ,Tender,90.0,270.0,KESINGA,766012.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, KESINGA",No ,No,AOC,04-Mar-2026,"INR 6,180,090",270.0,Kanan Pradhan,04-Mar-2026 05:08 PM,511.pdf (521.00 KB),1,3176947,ABHIJEET MANDAL,09-Nov-2025 06:34 AM,Rejected-Finance,As per transparent lottery system,04-Mar-2026 05:03 PM,Kanan pradhan,Internal,,Kanan Pradhan,15-Dec-2025 01:47 PM,18-Dec-2025 11:00 AM,techsummary_557962.pdf (980.50 KB),Finance,27 nos bidder,Kanan Pradhan,22-Dec-2025 01:11 PM,,BOQ Comparative Chart,Technical,29 nos bidder participated and download,Kanan Pradhan,17-Nov-2025 05:40 PM,,CE RW I||RWCIRCLE-BHAWANIPATNA||RW Division Kesinga,2025_CERWI_119983_3,RWKSNG-online-05/25-26,Construction of R.I. Office Cum Residence Building at Risida in the District of Kalahandi for the year 2025-26,Kanan Pradhan,Internal,,Kanan Pradhan,04-Mar-2026 05:03 PM,finsummary_557962.pdf (520.63 KB),1.0,3209368.0,AKASH KUMAR AGRAWAL,INR,"6,180,090",AOC
,,,,,,,,,,,2.0,Finance,.xls,Bill of quantities,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,3199722,ABHISHEK AGRAWAL,09-Nov-2025 11:21 PM,Rejected-Finance,As per transparent lottery system,04-Mar-2026 05:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3209368,AKASH KUMAR AGRAWAL,11-Nov-2025 02:28 PM,Accepted-AOC,As per transparent lottery system,04-Mar-2026 05:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,3195253,ANIL KUMAR KEDIA,10-Nov-2025 04:33 PM,Rejected-Finance,As per transparent lottery system,04-Mar-2026 05:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,3192636,ANNAPURNA SUPPLIERS,10-Nov-2025 01:02 PM,Rejected-Finance,As per transparent lottery system,04-Mar-2026 05:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,3211451,ANVI CONSTRUCTION,11-Nov-2025 02:39 PM,Rejected-Finance,As per transparent lottery system,04-Mar-2026 05:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,3192574,ASHISH KUMAR AGRAWAL,11-Nov-2025 11:05 AM,Rejected-Finance,As per transparent lottery system,04-Mar-2026 05:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,3204078,BABULAL SAHU,11-Nov-2025 10:26 AM,Rejected-Finance,As per transparent lottery system,04-Mar-2026 05:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,3176703,BHOJABANTI SAHU,03-Nov-2025 09:26 PM,Rejected-Finance,As per transparent lottery system,04-Mar-2026 05:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,3211894,BIKASH BEHERA,11-Nov-2025 12:13 PM,Rejected-Finance,As per transparent lottery system,04-Mar-2026 05:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
