S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3242036.0,M/s SHREE INFRA AND CO,INR,"24,280,460",Technical,Documents to be verified,Swagatika Rauto,24-Nov-2025 12:54 PM,technical_564082.pdf,CE RW I||RWCIRCLE-BERHAMPUR,2025_CERWI_121220_9,Online Tender/32-2025-26/BPR,Construction of road from Marenja to Barikia road under MMSY-CMRL in the District of Kandhamal for the year 2025-26,"Er. K.Ch.Khatua, CCE, RWC, BAM",Internal,,Lopamudra Dalai,14-Feb-2026 05:30 PM,finsummary_564082.pdf (984.41 KB),"Er. K.Ch.Khatua, CCE, RWC, BAM",Internal,"Junior Engineer,R.W.Circle,BAM P.A. to CCE,R.W.Circle, BAM SE,R.W.Divn-II,Gm,BAM",Swagatika Rauto,01-Jan-2026 04:40 PM,08-Jan-2026 11:00 AM,techsummary_564082.pdf (477.86 KB),Finance,Documents to be verified,Swagatika Rauto,09-Jan-2026 01:59 PM,finance_564082.pdf,BOQ Comparative Chart,1,3231793,Bulu jena,19-Nov-2025 06:50 AM,Rejected-AOC,1st Lowest,13-Mar-2026 01:49 PM,24-Feb-2026,"INR 24,280,460",210.0,Lopamudra Dalai,13-Mar-2026 01:49 PM,Marenja.pdf (1315.00 KB),AOC,"2,85,700",Yes,fixed,,Nil,Nil,13-Nov-2025 06:55 PM,21-Nov-2025 11:00 AM,13-Nov-2025 06:55 PM,20-Nov-2025 05:30 PM,13-Nov-2025 06:55 PM ,18-Nov-2025 05:30 PM ,13-Nov-2025 06:55 PM,20-Nov-2025 05:30 PM,08-Jan-2026 11:00 AM,Construction of road from Marenja to Barikia road under MMSY-CMRL in the District of Kandhamal for the year 2025-26,Construction of road from Marenja to Barikia road under MMSY-CMRL in the District of Kandhamal for the year 2025-26,Please refer Tender documents. ,NA ,"2,85,63,000",Civil Works - Roads,NA ,Tender,90.0,210.0,Balliguda,760011.0,NA ,NA ,NA ,"O/O Chief Construction Engineer, R.W.Circle, BAM,",No ,No,"Chief Construction Engineer, R.W.Circle, BAM,","O/O Chief Construction Engineer, RWC, BAM Near Income Tax Office Ambapua-11",1.0,Fee/PreQual/Technical,.pdf,"Affidavit,GSTIN,PAN,RC,Annual Turnover,experience,machinery and other papers as per DTCN",1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BERHAMPUR,Online Tender/32-2025-26/BPR,2025_CERWI_121220_9,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3239618,Kunja Bihari Sahu,19-Nov-2025 09:49 PM,Rejected-AOC,1st Lowest,13-Mar-2026 01:49 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3238370,M/S AKASH INFRATECH PROP. AKASHDEEP SINGH SANDHU,20-Nov-2025 04:36 PM,Rejected-AOC,1st Lowest,13-Mar-2026 01:49 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3242036,M/s SHREE INFRA AND CO,20-Nov-2025 03:40 PM,Accepted-AOC,Successful bidders after lottery system,13-Mar-2026 01:49 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3233385,NIRANJAN GOUDA,17-Nov-2025 06:29 PM,Rejected-AOC,1st Lowest,13-Mar-2026 01:49 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3240684,Purna Chandra Choudhury,20-Nov-2025 04:28 PM,Rejected-Technical,DIS-QUALIFIED,01-Jan-2026 04:40 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3240258,Santosh Kumar Panda,20-Nov-2025 11:13 AM,Rejected-AOC,1st Lowest,13-Mar-2026 01:49 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3240560,Upendra Bhanja Panda,20-Nov-2025 11:08 AM,Rejected-AOC,1st Lowest,13-Mar-2026 01:49 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
