S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,3267092.0,PRAVAT KUMAR MOHAPATRA,INR,"1,693,318",Finance,All 11 bidders are accepted.,Chinmaya Das,09-Mar-2026 03:51 PM,finance_565898.pdf,BOQ Comparative Chart,"Sasmita Sahoo, Chairperson",Internal,"E.O, Nimapara NAC, M.E, Nimapara NAC, Asst.Engineer, Nimapara NAC,Asst.Engineer, Nimapara Block, Asst.Engineer, PHD WATCO, Nimapara.",Chinmaya Das,09-Mar-2026 04:06 PM,finsummary_565898.pdf (384.35 KB),Municipal Bodies||Nimapara NAC,2025_ORULB_121580_5,NP-NAC-03/2025-26,Construction of Aspirational Toilet at Old Bus stand of Ward No.08 Nimapara NAC 2025-26.,"Sasmita Sahoo, Chairperson",Internal,"E.O, Nimapara NAC, M.E, Nimapara NAC, Asst.Engineer, Nimapara NAC,Asst.Engineer, Nimapara Block, Asst.Engineer, PHD WATCO, Nimapara.",Chinmaya Das,09-Mar-2026 04:01 PM,techsummary_565898.pdf (384.35 KB),1,3274059,AKSHAYA KUMAR BEHERA,03-Dec-2025 11:47 AM,Rejected-AOC,reject,09-Mar-2026 04:11 PM,09-Mar-2026,"INR 1,693,318",90.0,Chinmaya Das,09-Mar-2026 04:11 PM,WOSL5.pdf (147.00 KB),Pravat kumar Mohapatra is awarded as L1 bidder through lucky draw.,AOC,Municipal Bodies||Nimapara NAC,NP-NAC-03/2025-26,2025_ORULB_121580_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"EXECUTIVE OFFICER, NAC NIMAPARA","AT/PO-NIMAPARA,DIST-PURI,752106",1.0,Fee/PreQual/Technical/Finance,.pdf,"GST CLEARANCE,PAN,REG.CERT,VALID LABOUR LICENSE,AFFIDAVIT,BID ACKNOWLEDGE,EXP IF ANY,ETC AS PER DTCN","6,000",0.0,Nil,Nil,No,"16,933",Yes,fixed,,Nil,Nil,Construction of Aspirational Toilet at Old Bus stand of Ward No.08 Nimapara NAC 2025-26.,Construction of Aspirational Toilet at Old Bus stand of Ward No.08 Nimapara NAC 2025-26.,Please refer Tender documents. ,NA ,"16,93,318",Civil Works - Others,NA ,Tender,120.0,90.0,NAC NIMAPARA,752106.0,NA ,NA ,NA ,OFFICE OF THE NAC NIMAPARA,No ,No,22-Nov-2025 09:00 AM,04-Dec-2025 11:00 AM,22-Nov-2025 10:00 AM,03-Dec-2025 05:00 PM,NA ,NA ,22-Nov-2025 10:00 AM,03-Dec-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3275304,BIBEKANANDA SITHA,03-Dec-2025 03:53 PM,Rejected-Technical,Not submitted all documents. disqualified.,09-Mar-2026 04:01 PM,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3271113,DEBASIS HARICHANDAN,03-Dec-2025 12:07 PM,Rejected-Technical,Not submitted all documents. disqualified.,09-Mar-2026 04:01 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3274215,DEBENDRANATH MAHARI,03-Dec-2025 11:42 AM,Rejected-Technical,Not submitted all documents. disqualified.,09-Mar-2026 04:01 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3275485,MANOJ KUMAR SWAIN,03-Dec-2025 04:23 PM,Rejected-Technical,Not submitted all documents. disqualified.,09-Mar-2026 04:01 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3270765,NIRANJAN SAHOO,03-Dec-2025 12:56 PM,Rejected-Technical,Not submitted all documents. disqualified.,09-Mar-2026 04:01 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3267092,PRAVAT KUMAR MOHAPATRA,03-Dec-2025 05:46 AM,Accepted-AOC,Awarded as L1 bidder through lucky draw,09-Mar-2026 04:11 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3275020,RATI KANTA SWAIN,03-Dec-2025 02:58 PM,Rejected-Technical,Not submitted all documents. disqualified.,09-Mar-2026 04:01 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3272633,SARASWATI ENGINEERING PROP.KAMALA KRISHNA RAO ACHARYA,03-Dec-2025 02:59 PM,Rejected-AOC,Awarded as L2 bidder through lucky draw,09-Mar-2026 04:11 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3267437,SIBENDRA KANDI,30-Nov-2025 09:07 AM,Rejected-AOC,reject,09-Mar-2026 04:11 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
