Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
MANAGING DIRECTOR OF OCC LTD.,Internal,,Pratap Chandra Chaudhury,16-Sep-2025 06:06 PM,17-Sep-2025 11:30 AM,techsummary_547214.pdf (1779.35 KB),1.0,3034501.0,RAKESH KUMAR KHANDUAL,INR,"18,917,397",ODISHA CONSTRUCTION CORPORATION LTD,2025_OCCL_116034_1,E-procurement Notice No.24/OCCL/2025-26(on-line),Bid identification No.OCCL-HQP/10/2025-26,Finance,Opened Successfully.,Pratap Chandra Chaudhury,17-Sep-2025 12:13 PM,,BOQ Comparative Chart,1,3034766,ACP CONSTRUCTION,13-Aug-2025 03:46 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 10:23 PM,Technical,Opened Successfully.,Pratap Chandra Chaudhury,14-Aug-2025 12:50 PM,,03-Jan-2026,"INR 18,917,397",180.0,Sarat Chandra Ghadei,19-Mar-2026 04:38 PM,AOC_HQP_10.pdf (1883.00 KB),AOC,MANAGING DIRECTOR OF OCC LTD.,Internal,,Pratap Chandra Chaudhury,15-Nov-2025 10:23 PM,finsummary_547214.pdf (2068.19 KB),AOC,MANAGING DIRECTOR OF OCC LTD.,"ODISHA CONSTRUCTION CORPORATION Ltd.,UNIT - VIII, GOPABANDHUNAGAR,BBSR-751012",24-Jul-2025 03:30 PM,14-Aug-2025 12:00 PM,24-Jul-2025 03:30 PM,13-Aug-2025 05:30 PM,24-Jul-2025 03:30 PM ,30-Jul-2025 03:30 PM ,24-Jul-2025 03:30 PM,13-Aug-2025 05:30 PM,17-Sep-2025 11:30 AM,"11,800",Nil,Nil,No,1.0,ICICI BANK,ODISHA CONSTRUCTION CORPORATION LTD,E-procurement Notice No.24/OCCL/2025-26(on-line),2025_OCCL_116034_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,23,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"GST,PAN,EPF registration certificate,Valid OCC Ltd enlistment certificate and EMD (Mandatory) etc.",Bid identification No.OCCL-HQP/10/2025-26,Improvement to Kundhei distributary left embankment road from Srikoili to Baldapada.,AS PER DTCN ,NA ,"2,23,00,000",Civil Works - Others,NA ,Tender,90.0,180.0,Nimapara town in Puri district.,752106.0,NA ,NA ,NA ,HEAD OFFICE OCCL,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,3034583,BHOOMEE CONDEV PRIVATE LIMITED,13-Aug-2025 01:24 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 10:23 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Other documents as per DTCN. EMD is in BG Shape, Provide Original BG during technical bid opening.",,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,3032883,BISWAJIT MOHANTY,12-Aug-2025 11:56 AM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 10:23 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,3033075,CHAKRADHAR PARIDA,12-Aug-2025 12:51 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 10:23 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,3021475,HARIHAR PRASAD ACHARYA,11-Aug-2025 12:26 PM,Rejected-Finance,L2 BIDDER.,15-Nov-2025 10:23 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,3034635,HINDUSTHAN CONSTRUCTION,13-Aug-2025 02:56 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 10:23 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,3031251,MS GLOBAL CONSTRUCTION,11-Aug-2025 01:47 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 10:23 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,3032171,PURUSOTTAM BEHERA,13-Aug-2025 01:00 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 10:23 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,3034501,RAKESH KUMAR KHANDUAL,13-Aug-2025 01:05 PM,Accepted-AOC,L1 SUCCESSFUL BIDDER.,19-Mar-2026 04:38 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,3032703,RHOBOS MINERALS PRIVATE LIMITED,13-Aug-2025 11:07 AM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 10:23 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
