Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
Finance,Tender Opened,Durga Madhaba Padhi,10-Mar-2026 06:36 PM,finance_574806.pdf,BOQ Comparative Chart,10-Mar-2026,"INR 209,197",30.0,Durga Madhaba Padhi,10-Mar-2026 06:59 PM,WO_Padmapur_CHC.pdf (623.00 KB),"Work is Awarded to Sri Dilip Kumar Ray through transparent lottery system,Bid Work order No-868, Dt -17.02.2026 of R and B,Division-II,Rayagada",1.0,3350022.0,DILIP KUMAR RAY,INR,"209,197",EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB-DIVN-RAYAGADA NEW,2026_EICCL_124281_14,RC(RANDB) RGD NO. II/ 15 /2025-26,"Special repair of staff quarter of Padmapur CHC such as plastering, painting, flooring and UPVC window fixing during 2025-26",1,3352020,Anil Kumar Bishoyi,12-Jan-2026 05:52 PM,Rejected-AOC,First Lowest,10-Mar-2026 07:00 PM,SE No-II Rayagada,Internal,"SE,DAO,Estimator",Durga Madhaba Padhi,10-Mar-2026 06:40 PM,techsummary_574806.pdf (645.09 KB),SE No-II Rayagada,Internal,"SE,DAO,Estimator",Durga Madhaba Padhi,10-Mar-2026 06:49 PM,finsummary_574806.pdf (645.09 KB),AOC,"Special repair of staff quarter of Padmapur CHC such as plastering, painting, flooring and UPVC window fixing during 2025-26",Building Work,Please refer tender document ,NA ,"2,46,085",Civil Works - Buildings,NA ,Tender,90.0,30.0,Padmapur,765025.0,NA ,NA ,NA ,Office of SE R and B Division No-II,No ,No,EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB-DIVN-RAYAGADA NEW,RC(RANDB) RGD NO. II/ 15 /2025-26,2026_EICCL_124281_14,Yes,Open Limited,Percentage,Works,1.0,No,No,Online,No,No,No,08-Jan-2026 11:00 AM,16-Jan-2026 11:00 AM,08-Jan-2026 11:00 AM,15-Jan-2026 05:00 PM,NA ,NA ,08-Jan-2026 11:00 AM,15-Jan-2026 05:00 PM,"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of Tender paper,GST,RC,Pan,LC,Affidavit and other document as per DTCN",1.0,ICICI BANK,"2,500",Yes,fixed,,Nil,Nil,SE R and B Division No-II,Office of SE R and B Division No-II,AOC
,,,,,,,,,,,,,,,,,,,,,,2,3354284,Bighnaraj Barik,14-Jan-2026 08:54 PM,Rejected-AOC,First Lowest,10-Mar-2026 07:00 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,3353865,CHHABILAL BEHERA,14-Jan-2026 02:49 PM,Rejected-AOC,First Lowest,10-Mar-2026 07:00 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,3350022,DILIP KUMAR RAY,13-Jan-2026 10:16 PM,Accepted-AOC,First Lowest and work awarded through transparent lottery system,10-Mar-2026 07:00 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,3354387,JAGADISH PANDA,14-Jan-2026 11:10 PM,Rejected-AOC,First Lowest,10-Mar-2026 07:00 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,3352538,REDDY KRISHNA RAO,13-Jan-2026 07:18 PM,Rejected-AOC,First Lowest,10-Mar-2026 07:00 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,3352804,SANTOSH DAS,13-Jan-2026 10:13 PM,Rejected-AOC,First Lowest,10-Mar-2026 07:00 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,3355301,SATCHIDANANDA PADHI,15-Jan-2026 04:04 PM,Rejected-AOC,First Lowest,10-Mar-2026 07:00 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,3353822,TRIPATI NAYAK,14-Jan-2026 02:06 PM,Rejected-AOC,First Lowest,10-Mar-2026 07:00 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,3354652,TRUPTIRANI SAHU,15-Jan-2026 04:35 PM,Rejected-AOC,First Lowest,10-Mar-2026 07:00 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
