Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"S.E, RURAL WORKS DIVISION, DHARAMGARH","O/o THE S.E, RURAL WORKS DIVISION, DHARAMGARH",1.0,ICICI BANK,"21,937",Yes,percentage,1.0%,Nil,Nil,Special repair of road from Sargiguda to Tentuliapada in the District of Kalahandi for the year 2025,Special repair of road from Sargiguda to Tentuliapada in the District of Kalahandi for the year 2025,Please refer Tender documents. ,NA ,"21,93,684",Civil Works - Roads,NA ,Tender,90.0,30.0,Kalahandi,766015.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, DHARAMGARH",No ,No,13-Jan-2026 10:00 AM,22-Jan-2026 11:00 AM,13-Jan-2026 10:00 AM,21-Jan-2026 05:00 PM,13-Jan-2026 10:00 AM ,20-Jan-2026 05:00 PM ,13-Jan-2026 10:00 AM,21-Jan-2026 05:00 PM,CE RW I||RWCIRCLE-BHAWANIPATNA||RWDIVISION-DHARMAGARH,DMGH / Online-12 of 2025-26,2026_CERWI_124426_8,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,TPC EMD GSTIN PAN RC Affidavits NRC Screenshot required documents as per DTCN,AOC,Superintending Engineer and Estimator,Internal,Superintending Engineer and Estimator,Kanan Pradhan,26-Mar-2026 11:24 PM,finsummary_575160.pdf (610.26 KB),CE RW I||RWCIRCLE-BHAWANIPATNA||RWDIVISION-DHARMAGARH,2026_CERWI_124426_8,DMGH / Online-12 of 2025-26,Special repair of road from Sargiguda to Tentuliapada in the District of Kalahandi for the year 2025,1.0,3360615.0,ANKIT KUMAR AGRAWAL,INR,"1,864,851",Finance,All documents downloaded,Kanan Pradhan,22-Jan-2026 02:44 PM,finance_575160.pdf,BOQ Comparative Chart,1,3362287,ABHINANDAN PANDA,21-Jan-2026 04:38 PM,Rejected-Technical,Rejected in Lottery System,26-Mar-2026 11:19 PM,26-Mar-2026,"INR 1,864,851",30.0,Kanan Pradhan,26-Mar-2026 11:27 PM,img250.pdf (263.00 KB),Superintending Engineer and Estimator,Internal,Superintending Engineer and Estimator,Kanan Pradhan,26-Mar-2026 11:19 PM,techsummary_575160.pdf (610.26 KB),AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,2,3361456,Abhipsa Priyadarsini,20-Jan-2026 03:29 PM,Rejected-Technical,Rejected in Lottery System,26-Mar-2026 11:19 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3360615,ANKIT KUMAR AGRAWAL,21-Jan-2026 08:24 AM,Accepted-AOC,A,26-Mar-2026 11:27 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3361528,ASHISH PATTANAIK,20-Jan-2026 03:54 PM,Rejected-Technical,Rejected in Lottery System,26-Mar-2026 11:19 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3357982,ASHUTOSH MEHER,17-Jan-2026 09:35 AM,Rejected-Technical,Rejected in Lottery System,26-Mar-2026 11:19 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3362431,ATUL KUMAR BANSAL,21-Jan-2026 03:21 PM,Rejected-Technical,Rejected in Lottery System,26-Mar-2026 11:19 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3360469,Bhawani Sankar Harpal,19-Jan-2026 08:37 PM,Rejected-Technical,Rejected in Lottery System,26-Mar-2026 11:19 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3362065,CHANCHAL AGRAWAL,20-Jan-2026 10:02 PM,Rejected-Technical,Rejected in Lottery System,26-Mar-2026 11:19 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3361035,CHANDAN TANDI,20-Jan-2026 07:51 PM,Rejected-Technical,Rejected in Lottery System,26-Mar-2026 11:19 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3359635,CH SUBASH CHANDRA PATRO,19-Jan-2026 07:54 PM,Rejected-Technical,Rejected in Lottery System,26-Mar-2026 11:19 PM,,,,,,,,,,,,,AOC
