Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"10,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-SUNABEDA,CCERWCSBD Online 09/2025-26,2025_CERWI_116245_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Bid Cost, EMD, RC,PAN, GST, Affidavit regarding correctness, No relation certificate",29-Jul-2025 06:55 PM,08-Aug-2025 11:00 AM,29-Jul-2025 06:55 PM,07-Aug-2025 05:00 PM,29-Jul-2025 06:55 PM ,06-Aug-2025 02:00 PM ,29-Jul-2025 06:55 PM,07-Aug-2025 05:00 PM,24-Oct-2025 11:00 AM,Construction of H.L. Bridges over Local Nallah on MV-02 to MV-01 road in the District of Malkangiri under SBY for the year 2024-25,Construction of H.L. Bridges over Local Nallah on MV-02 to MV-01 road in the District of Malkangiri under SBY for the year 2024-25,N.A ,NA ,"5,26,30,000",Civil Works - Bridges,NA ,Tender,90.0,367.0,MALKANGIRI,764045.0,NA ,NA ,NA ,"Chief Construction Engineer, R.W.Circle, Sunabeda",No ,No,Chief Construction Engineer,"Rural Works Circle, Sunabeda-1, Near Jagannath Temple, PIN-763001, Dist-Koraput","5,27,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,AOC,CE RW I||RWCIRCLE-SUNABEDA,2025_CERWI_116245_3,CCERWCSBD Online 09/2025-26,Construction of H.L. Bridges over Local Nallah on MV-02 to MV-01 road in the District of Malkangiri under SBY for the year 2024-25,Technical,bidders list,Rinku Nahak,19-Oct-2025 10:30 PM,technical_547825.pdf,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Executive Engineer, DAO, Estimator of Rural Works Division-I, Malkangiri Estimator R.W. Circle Sunabeda and P.A. to CCE",Rinku Nahak,25-Dec-2025 09:29 PM,finsummary_547825.pdf (856.18 KB),1.0,3026927.0,PRIYABRATA ROUT,INR,"44,740,816.24",1,3026360,Kiran Kumar Gouda,07-Aug-2025 07:16 AM,Rejected-Finance,REJECT,25-Dec-2025 09:29 PM,05-Mar-2026,"INR 44,740,816.24",367.0,Rinku Nahak,05-Mar-2026 12:53 PM,AOCMV02MV01.PDF (984.00 KB),"Award of contract to Sri Priyabrata Rout, A Class Engineering Contractor through transparency lottery system.","Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Executive Engineer, DAO, Estimator of Rural Works Division-I, Malkangiri Estimator R.W. Circle Sunabeda",Rinku Nahak,19-Oct-2025 10:34 PM,24-Oct-2025 11:00 AM,techsummary_547825.pdf (1476.96 KB),Finance,CS,Rinku Nahak,25-Dec-2025 09:21 PM,finance_547825.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,"Annual Turn over certificate from CA, Similar nature of Work Certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,2,3027009,MALAY SARKAR,07-Aug-2025 04:40 PM,Rejected-Finance,REJECT,25-Dec-2025 09:29 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3025184,M/S CHAKA DOLA CONSTRUCTIONS,05-Aug-2025 10:18 PM,Rejected-Finance,REJECT,25-Dec-2025 09:29 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3026003,M/s SHREE INFRA AND CO,06-Aug-2025 05:04 PM,Rejected-Finance,REJECT,25-Dec-2025 09:29 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3022804,P.RAMA RAO,05-Aug-2025 08:42 PM,Rejected-Finance,REJECT,25-Dec-2025 09:29 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3026927,PRIYABRATA ROUT,07-Aug-2025 02:03 PM,Accepted-AOC,"Award of contract to Sri Priyabrata Rout, A Class Engineering Contractor through transparency lottery system.",05-Mar-2026 12:54 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3026858,Rajesh Kumar Jain,07-Aug-2025 01:50 PM,Rejected-Finance,REJECT,25-Dec-2025 09:29 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3026736,SANDEEP ALOK BHOI,07-Aug-2025 04:26 PM,Rejected-Finance,REJECT,25-Dec-2025 09:29 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3025076,Saumya Ranjan Muduli,05-Aug-2025 08:56 PM,Rejected-Finance,REJECT,25-Dec-2025 09:29 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3027017,Somnath Patra,07-Aug-2025 02:02 PM,Rejected-Finance,REJECT,25-Dec-2025 09:29 PM,,,,,,,,,,,,,,,,,,,,,AOC
