Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Finance,All documents downloaded successfully.,SASANKA SEKHAR MOHANTY,07-Jan-2026 01:50 PM,,BOQ Comparative Chart,CE MECHANICAL,Internal,,JITENDRA KUMAR ORAM,06-Jan-2026 06:27 PM,07-Jan-2026 12:00 PM,techsummary_567287.pdf (1067.57 KB),17-Mar-2026,"INR 9,657,381",90.0,JITENDRA KUMAR ORAM,17-Mar-2026 01:16 PM,CEM19.pdf (773.00 KB),1,3274738,M/S Abirvab Steel Product,09-Dec-2025 01:09 PM,Accepted-AOC,L1 Bidder,17-Mar-2026 01:16 PM,1.0,3274738.0,M/S Abirvab Steel Product,INR,"9,657,381",CE MECHANICAL,Internal,,JITENDRA KUMAR ORAM,26-Feb-2026 10:58 AM,finsummary_567287.pdf (1067.57 KB),Chief Engineer Mech - WR Bhubaneswar,2025_CEMWR_122050_1,CEM/MDC-19/2025-26,Revised estimate for Renovation of Control Sluice gate at Bijaynagar by Supply Fabrication Transportation Erection and Commissioning of Vertical Gates and its Hoists Double stem of the sluice over Gobari River near Bijaynagar under Superintending Eng,Technical,All documents downloaded successfully,JITENDRA KUMAR ORAM,10-Dec-2025 01:15 PM,,AOC,"87,818",Yes,percentage,1.0%,Nil,Nil,28-Nov-2025 10:00 AM,10-Dec-2025 12:00 PM,28-Nov-2025 10:00 AM,09-Dec-2025 05:30 PM,28-Nov-2025 10:00 AM ,05-Dec-2025 05:30 PM ,28-Nov-2025 10:00 AM,09-Dec-2025 05:30 PM,11-Jun-2026 02:04 PM,Chief Engineer Mech - WR Bhubaneswar,CEM/MDC-19/2025-26,2025_CEMWR_122050_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,Revised estimate for Renovation of Control Sluice gate at Bijaynagar by Supply Fabrication Transportation Erection and Commissioning of Vertical Gates and its Hoists Double stem of the sluice over Gobari River near Bijaynagar under Superintending Eng,Revised estimate for Renovation of Control Sluice gate at Bijaynagar by Supply Fabrication Transportation Erection and Commissioning of Vertical Gates and its Hoists Double stem of the sluice over Gobari River near Bijaynagar under Superintending Eng,Please refer Tender documents. ,NA ,"87,81,832",Mechanical Works,NA ,Tender,90.0,90.0,Bijayanagar Kendrapara,754224.0,NA ,NA ,NA ,BHUBANESWAR,No ,No,1,ICICI BANK,1,Fee/PreQual/Technical,.pdf,Bid Docuemnts,CHIEF ENGINEER MECHANICAL,"O/o the EIC, WR",AOC
,,,,,,,,,,,,,,,,,,,2,3274816,M/S Ashreebad Fabricators,09-Dec-2025 02:03 PM,Rejected-Finance,L2 BIDDER,26-Feb-2026 10:58 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,2,Finance,.xls,Bill of Quantity,,,AOC
