Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
Finance,Bid opening,Avijit Barik,05-Mar-2026 11:24 AM,finance_574994.pdf,BOQ Comparative Chart,1.0,3356807.0,KAILASH CHANDRA CHOUDHURY,INR,"847,305",CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,2026_CERWI_124319_6,SERWSBD Online 09 2025 26,Improvement to Guneipada Godihanjar Kitchabeda Jalaput road under CWA for the year 2025-26,Superintending Engineer,Internal,,Avijit Barik,05-Mar-2026 11:59 AM,finsummary_574994.pdf (409.12 KB),Superintending Engineer,Internal,,Avijit Barik,05-Mar-2026 11:27 AM,techsummary_574994.pdf (437.78 KB),1,3354398,ANIL KUMAR NANDA,14-Jan-2026 08:20 PM,Rejected-AOC,Not qualified,05-Mar-2026 12:20 PM,05-Mar-2026,"INR 847,305",60.0,Avijit Barik,05-Mar-2026 12:19 PM,GGKJ.pdf (859.00 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid cost, EMD, Registration certificate, GST, PAN, Non relation certificate, others as per DTCN","4,000",0.0,Nil,Nil,No,Improvement to Guneipada Godihanjar Kitchabeda Jalaput road under CWA for the year 2025-26,Road,Please refer Tender documents. ,NA ,"9,97,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Sunabeda,763001.0,NA ,NA ,NA ,"R.W Division, Sunabeda",No ,No,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,SERWSBD Online 09 2025 26,2026_CERWI_124319_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Superintending Engineer,"Superintending Engineer R.W Division, Sunabeda",08-Jan-2026 05:00 PM,17-Jan-2026 11:00 AM,08-Jan-2026 05:00 PM,16-Jan-2026 05:00 PM,NA ,NA ,08-Jan-2026 05:00 PM,16-Jan-2026 05:00 PM,"10,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3354134,Balabhadra Khillo,15-Jan-2026 08:39 AM,Rejected-AOC,Not qualified,05-Mar-2026 12:20 PM,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3354662,HARISHCHANDRA KHARA,15-Jan-2026 10:51 PM,Rejected-AOC,Not qualified,05-Mar-2026 12:20 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3356907,ISHMAEL KHORA,16-Jan-2026 11:52 AM,Rejected-AOC,Not qualified,05-Mar-2026 12:20 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3352235,JANHABI ACHARYA,12-Jan-2026 09:07 PM,Rejected-AOC,Not qualified,05-Mar-2026 12:20 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3356807,KAILASH CHANDRA CHOUDHURY,16-Jan-2026 09:43 AM,Accepted-AOC,Qualified,05-Mar-2026 12:20 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3356691,LOKANATH JAYANTI,15-Jan-2026 10:32 PM,Rejected-AOC,Not qualified,05-Mar-2026 12:20 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3356687,MOHAN JANI (S.C),16-Jan-2026 11:34 AM,Rejected-AOC,Not qualified,05-Mar-2026 12:20 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3357363,RAMESWAR HANTAL,16-Jan-2026 01:52 PM,Rejected-AOC,Not qualified,05-Mar-2026 12:20 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3357205,SITARAM GADANGA,16-Jan-2026 01:58 PM,Rejected-AOC,Not qualified,05-Mar-2026 12:20 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
