Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Stage
Finance,Bids opened in online. 02 Nos of Bidder have been participated in Online. All Bid has been accepted.,Manas Ranjan Pal,25-Mar-2025 11:22 AM,,BOQ Comparative Chart,06-Mar-2026,"INR 331,168",90.0,Manas Ranjan Pal,06-Mar-2026 04:05 PM,E83061AOC.pdf (834.00 KB),1,2829419,NIRANJAN ROUT,21-Feb-2025 04:18 PM,Accepted-AOC,ACCEPTED,06-Mar-2026 04:05 PM,1.0,2829419.0,NIRANJAN ROUT,INR,"331,168",Municipal Bodies||Jagatsinghpur Municipality,2025_ORULB_110156_42,EO/ JSPURM/W-03/2024-25,Construction of Drain from Amiya Babu house to Suka Cable in Ward No- 16,Chairperson,Internal,,Manas Ranjan Pal,25-Mar-2025 11:58 AM,techsummary_528953.pdf (1753.49 KB),CHAIRPERSON,Internal,ADDITIONAL TRESURY OFFICER EXECUTIVE OFFICER MUNICIPAL ENGINEER,Manas Ranjan Pal,06-Mar-2026 03:51 PM,finsummary_528953.pdf (1478.50 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost,EMD,PAN,GST, Registration, NRC, Declaration,Affidavit,Other as Per DTCN","Executive Officer, Jagatsinghpur Municipality","Jagatsinghpur Municipality, Jagatsinghpur","2,360",0.0,Nil,Nil,No,Municipal Bodies||Jagatsinghpur Municipality,EO/ JSPURM/W-03/2024-25,2025_ORULB_110156_42,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of Drain from Amiya Babu house to Suka Cable in Ward No- 16,Construction of Drain from Amiya Babu house to Suka Cable in Ward No- 16,Please refer Tender documents. ,NA ,"3,31,168",Civil Works - Others,NA ,Tender,60.0,90.0,Construction of Drain from Amiya Babu house to Suk,754103.0,NA ,NA ,NA ,Jagatsinghpur Municipality,No ,No,"3,300",Yes,fixed,,Nil,Nil,07-Feb-2025 05:00 PM,25-Feb-2025 11:00 AM,07-Feb-2025 05:00 PM,21-Feb-2025 05:00 PM,NA ,NA ,07-Feb-2025 05:00 PM,21-Feb-2025 05:00 PM,1,ICICI BANK,AOC
,,,,,,,,,,,,2,2829041,UMAKANTA SETHY,21-Feb-2025 01:37 PM,Rejected-AOC,REJECTED,06-Mar-2026 04:05 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC
