S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3274701.0,PRAKASH PADHEE,INR,"5,616,482.96",Technical,Admitted,Kundan Singh Naik,10-Dec-2025 04:26 PM,,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SAMBALPUR",2025_CEMIB_122144_5,"SE,MID,SBP/10/2025-26",Construction of Thianalla Check Dam over local Nalla in Jamankira Block of Sambalpur District under MATY 2025-26.,SE KS NAIK,Internal,AEE DAO AE,Kundan Singh Naik,19-Dec-2025 05:55 PM,finsummary_567655.pdf (415.47 KB),SE KS NAIK,Internal,AEE DAO AE,Kundan Singh Naik,17-Dec-2025 12:14 PM,17-Dec-2025 04:00 PM,techsummary_567655.pdf (277.27 KB),Finance,Admitted,Kundan Singh Naik,17-Dec-2025 06:36 PM,,BOQ Comparative Chart,31-Dec-2025,"INR 5,616,482.96",120.0,Kundan Singh Naik,05-Mar-2026 12:15 PM,5.pdf (609.00 KB),Work awarded to Sri Prakash Padhee B Class Contractor,1,3277512,ABHISHEK CHEJARA,06-Dec-2025 08:17 PM,Rejected-AOC,Not Selected vide transparent lottery,05-Mar-2026 12:15 PM,AOC,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SAMBALPUR","SE,MID,SBP/10/2025-26",2025_CEMIB_122144_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"SE, M.I.DIVISION, SAMBALPUR",At Motijharan PO B.S.S.Nagar Dist Sambalpur PIN 768001,28-Nov-2025 11:00 AM,09-Dec-2025 11:00 AM,28-Nov-2025 11:00 AM,08-Dec-2025 05:30 PM,NA ,NA ,28-Nov-2025 11:00 AM,08-Dec-2025 05:30 PM,17-Dec-2025 04:00 PM,1.0,Fee/PreQual/Technical,.pdf,"ScanCopy of Licence,GST PAN,BidCost,EMD,Afidavit,NoRelation other as per DTCN",1.0,ICICI BANK,Construction of Thianalla Check Dam over local Nalla in Jamankira Block of Sambalpur District under MATY 2025-26.,Construction of Thianalla Check Dam over local Nalla in Jamankira Block of Sambalpur District under MATY 2025-26.,"ScanCopy of Licence,GST PAN,BidCost,EMD,Afidavit,NoRelation other as per DTCN ",NA ,"66,06,850",Civil Works - Others,NA ,Tender,90.0,120.0,Sambalpur,768001.0,NA ,NA ,NA ,"SE, M.I.DIVISION, SAMBALPUR",No ,No,"10,000",0.0,Nil,Nil,No,"66,069",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3287512,AMIT KUMAR PATEL,08-Dec-2025 11:42 AM,Rejected-AOC,Not Selected vide transparent lottery,05-Mar-2026 12:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3287463,ASHIS KUMAR PATEL,08-Dec-2025 12:19 AM,Rejected-AOC,Not Selected vide transparent lottery,05-Mar-2026 12:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3287448,DIBYALOCHAN BISWAL,07-Dec-2025 11:44 PM,Rejected-AOC,Not Selected vide transparent lottery,05-Mar-2026 12:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3282825,GAGAN BIHARI DASH,05-Dec-2025 06:31 PM,Rejected-AOC,Not Selected vide transparent lottery,05-Mar-2026 12:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3277944,GANESH RAM AGARWALA,05-Dec-2025 10:42 PM,Rejected-AOC,Not Selected vide transparent lottery,05-Mar-2026 12:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3289852,HEMANTA SAHU,08-Dec-2025 04:18 PM,Rejected-AOC,Not Selected vide transparent lottery,05-Mar-2026 12:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3286065,JAJATI KESHARI ROUT,07-Dec-2025 03:28 PM,Rejected-AOC,Not Selected vide transparent lottery,05-Mar-2026 12:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3287490,MANTU KUMAR NAYAK,08-Dec-2025 12:47 AM,Rejected-AOC,Not Selected vide transparent lottery,05-Mar-2026 12:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3288145,NARESH BEHERA,08-Dec-2025 12:20 PM,Rejected-AOC,Not Selected vide transparent lottery,05-Mar-2026 12:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3284646,PARSURAM KHAMARI,07-Dec-2025 03:53 PM,Rejected-AOC,Not Selected vide transparent lottery,05-Mar-2026 12:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3274701,PRAKASH PADHEE,03-Dec-2025 01:50 PM,Accepted-AOC,Selected vide transparent lottery,05-Mar-2026 12:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3287506,RAJIB KUMAR NAYAK,08-Dec-2025 11:12 AM,Rejected-AOC,Not Selected vide transparent lottery,05-Mar-2026 12:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3280492,Rohit Kisan,06-Dec-2025 11:03 AM,Rejected-AOC,Not Selected vide transparent lottery,05-Mar-2026 12:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3286559,SAHIL KUMAR RAY,07-Dec-2025 06:26 PM,Rejected-AOC,Not Selected vide transparent lottery,05-Mar-2026 12:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3287501,SANJAY KUMAR NAYAK,08-Dec-2025 01:01 AM,Rejected-AOC,Not Selected vide transparent lottery,05-Mar-2026 12:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3285398,Sharat Kumar Bhoi,07-Dec-2025 11:35 AM,Rejected-AOC,Not Selected vide transparent lottery,05-Mar-2026 12:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3284557,SITARAM KHAMARI,07-Dec-2025 05:20 PM,Rejected-AOC,Not Selected vide transparent lottery,05-Mar-2026 12:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
