S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Time Extension Notice,Date,,1,Fee/PreQual/Technical,.pdf,Selection of a Consultant for Providing Transaction Advisory Services for Selection of Mine Develope,10-Feb-2026 11:45 AM,10-Mar-2026 03:30 PM,10-Feb-2026 11:45 AM,09-Mar-2026 05:00 PM,NA ,NA ,10-Feb-2026 11:45 AM,09-Mar-2026 05:00 PM,19-Mar-2026 04:30 PM,1,ICICI BANK,"1,180",Odisha Coal and Power Limited,Bhubaneswar,Yes,"60,000",Yes,fixed,,Odisha Coal and Power Limited,Bhubaneswar,Providing Transaction Advisory Services for Selection of Mine Developer Cum Operator (MDO) for Tangardihi North Coal Block,Providing Transaction Advisory Services for Selection of Mine Developer Cum Operator (MDO) for Tangardihi North Coal Block,Please refer Tender documents. ,NA ,,Consultancy Services,NA ,Tender,180.0,NA ,Tangardihi North Coal Block,770075.0,Bhubaneswar ,"Odisha Coal and Power Limited, Zone-A, Fourth Floor, Fortune Towers, Chandrasekharpur, Bhubaneswar- 751023 ",26-Feb-2026 11:00 AM ,Bhubaneswar,No ,No,Chief Operating Officer,"Odisha Coal and Power Limited, Zone-A, Fourth Floor, Fortune Towers, Chandrasekharpur, Bhubaneswar- 751023",Odisha Coal and Power Limited,OCPL/SER-223/2026,2026_OCAPL_125791_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Both(Online/Offline),No,No,No,AOC,24-Mar-2026,"INR 1,885,000",180.0,Abhishek Mohanty,24-Mar-2026 02:03 PM,LoA.pdf (620.00 KB),Letter of Award (LOA) for Ã¢â‚¬Å“Providing Transaction Advisory Services for Selection of Mine Developer Cum Operator (MDO) for Tangardihi North Coal Block,1,3416431,aXYKno Capital Services Pvt. Ltd,02-Mar-2026 01:48 PM,Accepted-AOC,Consultant selected upon financial evaluation.,24-Mar-2026 02:04 PM,Ramakrushna Aich/ Abhishek Mohanty,Internal,"Mr. Ramakrushna Aich (DGM- Finance), Mr. Prasanta Kumar (Sr. Asst. Manager- Mines), Mr. Abhishek Mohanty (Asst. Manager- Purchase)",Abhishek Mohanty,19-Mar-2026 01:28 PM,19-Mar-2026 04:30 PM,techsummary_580525.pdf (715.96 KB),Finance,M/s AXYKno Capital Services Pvt. Ltd is the only technically qualified bidder whose price bid has been opened.,Abhishek Mohanty,24-Mar-2026 12:38 PM,finance_580525.pdf,BOQ Comparative Chart,Odisha Coal and Power Limited,2026_OCAPL_125791_1,OCPL/SER-223/2026,Providing Transaction Advisory Services for Selection of Mine Developer Cum Operator (MDO) for Tangardihi North Coal Block,Technical,Two bids have been received. Both the bids were opened and were admitted for further evaluation.,Abhishek Mohanty,18-Mar-2026 11:22 AM,,Ramakrushna Aich/ Abhishek Mohanty,Internal,"Mr. Ramakrushna Aich (DGM- Finance), Mr. Prasanta Kumar Parida (Sr. Asst. Manager- Mines), Mr. Abhishek Mohanty (Asst. Manager- Purchase)",Abhishek Mohanty,24-Mar-2026 12:44 PM,finsummary_580525.pdf (113.38 KB),1.0,3416431.0,aXYKno Capital Services Pvt. Ltd,INR,"1,885,000",AOC
,,,,2,Finance,.xls,BOQ,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,3424355,SHREERAM GEMICON LLP,09-Mar-2026 02:34 PM,Rejected-Technical,Did not submit ISO certifcate,19-Mar-2026 01:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
