S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,2902166.0,PRAMOD KUMAR DAS,INR,"5,952,232",Municipal Bodies||Bhubaneswar Municipal Corporation,2025_ORULB_112481_1,BMC-EE-Tender Cell-04/2025-26 dt. 11.04.2025,Development of Vending Zone near ICMAR in Ward No. 24,Technical,5 bids opened successfully,Lipsa Parida,01-May-2025 11:37 AM,technical_536510.pdf,City Engineer,Internal,"EECENTRALTENDERCELL,EEDIVISIONII,EEDRAINAGEDIVISION,ZONALCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,09-Mar-2026 03:49 PM,finsummary_536510.pdf (2448.78 KB),City Engineer,Internal,"EECENTRALTENDERCELL,EEDIVISIONII,EEDRAINAGEDIVISION,ZONALCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,14-May-2025 04:45 PM,15-May-2025 12:30 PM,techsummary_536510.pdf (354.77 KB),Finance,5 bids opened successfully,Lipsa Parida,15-May-2025 12:42 PM,finance_536510.pdf,BOQ Comparative Chart,1,2902367,ABHISHEK KARTIK RAY,30-Apr-2025 03:50 PM,Rejected-Finance,Rejected,09-Mar-2026 03:49 PM,09-Mar-2026,"INR 5,952,232",60.0,Lipsa Parida,09-Mar-2026 03:53 PM,Workorder_4_1.pdf (502.00 KB),AOC,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-04/2025-26 dt. 11.04.2025,2025_ORULB_112481_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"59,400",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Scanned copies of all documents,Development of Vending Zone near ICMAR in Ward No. 24,Development of Vending Zone near ICMAR in Ward No. 24,Please refer Tender documents. ,NA ,"59,33,731",Civil Works - Others,NA ,Tender,120.0,60.0,BMC Area,751022.0,Office chamber of EE (Central Tender Cell) ,"UG Floor,Central Tender Cell,ICOMC Tower,BMC ",22-Apr-2025 12:30 PM ,"Central Tender Cell, BMC",No ,No,Executive Engineer (Central Tender Cell),"UG Floor,Central Tender Cell,ICOMC Tower,BMC",16-Apr-2025 04:00 PM,01-May-2025 11:30 AM,16-Apr-2025 04:00 PM,30-Apr-2025 05:00 PM,16-Apr-2025 04:00 PM ,21-Apr-2025 04:30 PM ,16-Apr-2025 04:00 PM,30-Apr-2025 05:00 PM,15-May-2025 12:30 PM,"10,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2894846,AMARENDRA PRASAD SAHOO,25-Apr-2025 03:26 PM,Rejected-Finance,Rejected,09-Mar-2026 03:49 PM,,,,,,,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2901833,DIBYALOCHAN SENAPATI,30-Apr-2025 12:50 PM,Rejected-Finance,Rejected,09-Mar-2026 03:49 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2902166,PRAMOD KUMAR DAS,30-Apr-2025 03:17 PM,Accepted-AOC,L1 bidder,09-Mar-2026 03:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2902364,RAJESH KUMAR MOHANTY,30-Apr-2025 03:51 PM,Rejected-Finance,Rejected,09-Mar-2026 03:49 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
