Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,"42,200",Yes,fixed,,Nil,Nil,"SE, Rayagada Irrigation Division, Rayagada","O/o the SE, Rayagada Irrigation Division, Rayagada",27-Nov-2025 10:00 AM,09-Dec-2025 11:00 AM,27-Nov-2025 11:00 AM,06-Dec-2025 05:00 PM,27-Nov-2025 11:00 AM ,06-Dec-2025 05:00 PM ,27-Nov-2025 11:00 AM,06-Dec-2025 05:00 PM,Protection work on Right bank U/s of River Vansadhara near village Pujariguda.,Protection work on Right bank U/s of River Vansadhara near village Pujariguda.,Please refer Tender documents. ,NA ,"42,19,849",Civil Works - Others,NA ,Tender,90.0,210.0,RAYAGADA,765001.0,NA ,NA ,NA ,"O/o the SE, Rayagada Irrigation Division, Rayagada",No ,No,"CE-BM,RVN Basin,Berhampur||SE Southern Irr Circle II Paralakhemundi||Rayagada Irrigation Division",SE-RID-01/2025-26,2025_CEBMB_122024_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,AOC,SUBRATA NARAYAN KASHYAP,Internal,BISHNU HEMBRAM JE ESTIMATOR DURJYADHAN JANI A.E.E,Subrata Narayan Kashyap,18-Mar-2026 07:00 PM,finsummary_567340.pdf (449.56 KB),"CE-BM,RVN Basin,Berhampur||SE Southern Irr Circle II Paralakhemundi||Rayagada Irrigation Division",2025_CEBMB_122024_7,SE-RID-01/2025-26,Protection work on Right bank U/s of River Vansadhara near village Pujariguda.,1.0,3283832.0,KARNI SAPNA,INR,"3,587,294",Finance,18 Nos Bidder has been participated and their document downloaded successfully,Subrata Narayan Kashyap,12-Dec-2025 07:10 PM,finance_567340.pdf,BOQ Comparative Chart,18-Mar-2026,"INR 3,587,294",210.0,Subrata Narayan Kashyap,18-Mar-2026 08:16 PM,AOCPUJARIGUDA.pdf (932.00 KB),1,3271519,ANISHA KAR,02-Dec-2025 10:09 AM,Rejected-AOC,DIDNT WON THE TRANSPARENT LOTTERY,18-Mar-2026 08:17 PM,SUBRATA NARAYAN KASHYAP,Internal,BISHNU HEMBRAM JE ESTIMATOR DURJYADHAN JANI A.E.E,Subrata Narayan Kashyap,18-Mar-2026 11:39 AM,techsummary_567340.pdf (1631.36 KB),AOC
,,.pdf,"RC, GSTIN, PAN, Affidavit, No Relation ,EMD, No Litigation and debarring etc. as in Bid document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3271734,ARADHANA CHOUDHURY,02-Dec-2025 11:29 AM,Rejected-AOC,DIDNT WON THE TRANSPARENT LOTTERY,18-Mar-2026 08:17 PM,,,,,,,AOC
,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3283634,G DEEPAK KUMAR,06-Dec-2025 10:58 AM,Rejected-AOC,DIDNT WON THE TRANSPARENT LOTTERY,18-Mar-2026 08:17 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3283822,GOUTAM KUMAR SWAIN,06-Dec-2025 12:08 PM,Rejected-AOC,DIDNT WON THE TRANSPARENT LOTTERY,18-Mar-2026 08:17 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3282904,KARAKARIA GAJENDRA,05-Dec-2025 06:42 PM,Rejected-AOC,DIDNT WON THE TRANSPARENT LOTTERY,18-Mar-2026 08:17 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3283832,KARNI SAPNA,06-Dec-2025 12:06 PM,Accepted-AOC,SUCESSFULLY WON THE TRANSPARENT LOTTERY,18-Mar-2026 08:17 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3284163,KRUSHNA CHANDRA PRUSTY,06-Dec-2025 02:08 PM,Rejected-AOC,DIDNT WON THE TRANSPARENT LOTTERY,18-Mar-2026 08:17 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3270710,MADAN GOUDA,01-Dec-2025 08:10 PM,Rejected-AOC,DIDNT WON THE TRANSPARENT LOTTERY,18-Mar-2026 08:17 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3283530,PADMABATI BIDIKA,06-Dec-2025 08:35 AM,Rejected-AOC,DIDNT WON THE TRANSPARENT LOTTERY,18-Mar-2026 08:17 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3283836,P MUTTI RAJU,06-Dec-2025 12:09 PM,Rejected-AOC,DIDNT WON THE TRANSPARENT LOTTERY,18-Mar-2026 08:17 PM,,,,,,,AOC
