S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,"4,000",0.0,Nil,Nil,No,Municipal Bodies||Chatrapur NAC,CTP-NAC-1/2024-25,2025_ORULB_111839_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"8,225",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"Improvement Of Paver Pathway Near Girls High Schol towards Devaraj Hotel and Upper Busstand towards Church,Ward No - 07,NAC Chatrapur","Improvement Of Paver Pathway Near Girls High Schol towards Devaraj Hotel and Upper Busstand towards Church,Ward No - 07,NAC Chatrapur",Please refer Tender documents. ,NA ,"8,22,546",Civil Works - Roads,NA ,Tender,120.0,60.0,Chatrapur,761020.0,NA ,NA ,NA ,NAC Chatrapur,No ,No,24-Mar-2025 10:00 AM,05-Apr-2025 04:30 PM,24-Mar-2025 10:00 AM,05-Apr-2025 04:00 PM,NA ,NA ,24-Mar-2025 10:00 AM,05-Apr-2025 04:00 PM,EO NAC Chatrapur,Chatrapur,AOC,Jyotsnamayee Jena,Internal,,Jyostnamayee Jena,14-Mar-2026 05:12 PM,finsummary_533968.pdf (161.31 KB),Municipal Bodies||Chatrapur NAC,2025_ORULB_111839_7,CTP-NAC-1/2024-25,"Improvement Of Paver Pathway Near Girls High Schol towards Devaraj Hotel and Upper Busstand towards Church,Ward No - 07,NAC Chatrapur",1.0,2875003.0,Bulu Kumar Behera,INR,"670,584",Finance,By all the above tenders Bulu Kumar Behera tenderer has qualified in the tender,Susanta Sadangi,06-Dec-2025 06:17 PM,finance_533968.pdf,BOQ Comparative Chart,14-Mar-2026,"INR 670,584",60.0,Jyostnamayee Jena,14-Mar-2026 05:15 PM,Agreement.pdf (188.00 KB),1,2875003,Bulu Kumar Behera,02-Apr-2025 07:57 PM,Accepted-AOC,Accept,14-Mar-2026 05:15 PM,Jyotsnamayee Jena,Internal,,Jyostnamayee Jena,14-Mar-2026 04:04 PM,techsummary_533968.pdf (181.17 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2875963,Mithun Kumar Sethy,04-Apr-2025 04:01 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-The bidder submitted self declaration in written format not to participate due to poor financial condition and personal issues.,06-Dec-2025 06:17 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2874975,Sukanti Choudhury,02-Apr-2025 07:17 PM,Rejected-AOC,Reject,14-Mar-2026 05:15 PM,,,,,,,AOC
