S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3401979.0,GOBINDA CHANDRA JENA,INR,"1,761,133",Municipal Bodies||Bhadrak Municipality,2026_ORULB_125568_49,BM-BDK-07-2025-26,Renovation of Bhadrak Womens College,1,3400134,ANIKLET DAS,17-Feb-2026 05:25 PM,Rejected-AOC,Quoted sixth lowest,31-Mar-2026 07:28 PM,31-Mar-2026,"INR 1,761,133",120.0,Sourav Chakrabarty,31-Mar-2026 07:28 PM,49.pdf (1799.00 KB),work order issued,Finance,ok,Sourav Chakrabarty,20-Feb-2026 06:14 PM,,BOQ Comparative Chart,Gulmaki Dalawzi,Internal,Details attached below,Sourav Chakrabarty,31-Mar-2026 07:23 PM,finsummary_580223.pdf (240.28 KB),Gulmaki Dalawzi,Internal,Details attached below,Sourav Chakrabarty,31-Mar-2026 07:16 PM,techsummary_580223.pdf (240.28 KB),AOC,Executive Officer,"Executive Officer, Bhadrak Municipality","22,300",Yes,fixed,,Nil,Nil,Renovation of Bhadrak Womens College,Renovation of Bhadrak Womens College,Please refer Tender documents. ,NA ,"22,29,000",Civil Works - Others,NA ,Tender,90.0,120.0,Bhadrak Municipality,756100.0,NA ,NA ,NA ,"Executive Officer, Bhadrak Municipality",No ,No,09-Feb-2026 10:00 AM,19-Feb-2026 11:00 AM,09-Feb-2026 10:00 AM,18-Feb-2026 05:00 PM,NA ,NA ,09-Feb-2026 10:00 AM,18-Feb-2026 05:00 PM,1.0,ICICI BANK,Municipal Bodies||Bhadrak Municipality,BM-BDK-07-2025-26,2026_ORULB_125568_49,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid document cost, EMD, GST, Registration Certificate, Affidavit and other documents as per DTCN","6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,2,3398380,ARJUN CHANDRA SAHU,16-Feb-2026 03:53 PM,Rejected-AOC,Quoted fifth lowest,31-Mar-2026 07:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,AOC
,,,,,,,,,3,3402619,CHINMAY DEBASISH MALLICK,18-Feb-2026 03:53 PM,Rejected-AOC,Quoted second lowest,31-Mar-2026 07:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3401979,GOBINDA CHANDRA JENA,18-Feb-2026 12:40 PM,Accepted-AOC,Quoted first lowest,31-Mar-2026 07:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3402675,KAMALA KANTA JENA,18-Feb-2026 04:27 PM,Rejected-AOC,Quoted second lowest,31-Mar-2026 07:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3400835,KRUSNA CHANDRA SINGH,17-Feb-2026 04:02 PM,Rejected-AOC,Quoted fifth lowest,31-Mar-2026 07:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3397907,PRATIK KUMAR DAS,16-Feb-2026 11:47 AM,Rejected-AOC,Quoted forth lowest,31-Mar-2026 07:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,3402223,RAMESH JENA,18-Feb-2026 02:31 PM,Rejected-AOC,Quoted third lowest,31-Mar-2026 07:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,3401227,SK SAIBAR QUADRI,18-Feb-2026 09:41 AM,Rejected-AOC,Quoted seventh lowest,31-Mar-2026 07:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
