Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Executive Officer, Talcher Municipality","At - Municipal Office, P.O. Talcher Town, Dist.Angul",Municipal Bodies||Talcher Municipal Council,TCRM-11/2025-26,2026_ORULB_124574_24,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of T.P., EMD, Contractor License, GSTIN, PAN, Affidavit and other documents as per DTCN","19,440",Yes,fixed,,Nil,Nil,Construction of CC road at Remuan in W.No.12,Construction of CC road at Remuan in W.No.12,Please refer Tender documents. ,NA ,"19,44,000",Civil Works - Others,NA ,Tender,90.0,30.0,Talcher Municipality Office,759107.0,NA ,NA ,NA ,Talcher Municipality Office,No ,No,16-Jan-2026 04:00 PM,31-Jan-2026 11:00 AM,16-Jan-2026 04:00 PM,30-Jan-2026 05:00 PM,NA ,NA ,16-Jan-2026 04:00 PM,30-Jan-2026 05:00 PM,1,ICICI BANK,"6,000",0.0,Nil,Nil,No,AOC,Pabitra Bhutia,Internal,,Pranati Nanda,29-Mar-2026 01:37 PM,techsummary_575969.pdf (235.50 KB),Pabitra Bhutia,Internal,,Pranati Nanda,29-Mar-2026 01:40 PM,finsummary_575969.pdf (235.50 KB),Finance,Two bids are accepted,Golak Bihari Sahoo,16-Feb-2026 01:11 PM,,BOQ Comparative Chart,30-Mar-2026,"INR 1,553,450",30.0,PRADIP KUMAR SAHA,30-Mar-2026 01:14 PM,remuan12kiran.pdf (401.00 KB),1,3373355,BUDHADEV BAHADUR,30-Jan-2026 09:35 AM,Rejected-AOC,Unsuccessful,30-Mar-2026 01:14 PM,Municipal Bodies||Talcher Municipal Council,2026_ORULB_124574_24,TCRM-11/2025-26,Construction of CC road at Remuan in W.No.12,1.0,3371873.0,M/S. KIRAN KUMAR RAY,INR,"1,553,450",AOC
,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,3371873,M/S. KIRAN KUMAR RAY,30-Jan-2026 10:49 AM,Accepted-AOC,Successful,30-Mar-2026 01:14 PM,,,,,,,,,,AOC
