Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
23-Feb-2026 10:00 AM,06-Mar-2026 10:00 AM,23-Feb-2026 10:00 AM,05-Mar-2026 05:30 PM,23-Feb-2026 10:00 AM ,05-Mar-2026 05:30 PM ,23-Feb-2026 10:00 AM,05-Mar-2026 05:30 PM,EXECUTIVE OFFICER,"At/Po/Ps-Kuchinda,Dist-Sambalpur,Odisha","13,311",Yes,percentage,1.0%,Nil,Nil,Municipal Bodies||Kuchinda NAC,KCDA/NAC-9/2025-26,2026_ORULB_126404_25,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"Laying of Drain Cover Slab Drain from Ghosa Chowk to Meat Market, Two side ,Ward no-7 Ph-I","Laying of Drain Cover Slab Drain from Ghosa Chowk to Meat Market, Two side ,Ward no-7 Ph-I",As per DTCN ,NA ,"13,31,079",Civil Works - Others,NA ,Tender,90.0,60.0,Ward No-7 NAC Kuchinda,768222.0,NA ,NA ,NA ,OFFICE OF THE NAC KUCHINDA,No ,No,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,AOC,Pradyut Kumar Mohanty,Internal,"Barun Kumar Sa, Nilamadhab Nag,Manaranjan Suna",Barun Kumar Sa,25-Mar-2026 01:23 PM,techsummary_582347.pdf (633.47 KB),Pradyut Kumar Mohanty,Internal,"Barun Kumar Sa, Nilamadhab Nag , Manaranjan Suna",Barun Kumar Sa,30-Mar-2026 11:45 AM,finsummary_582347.pdf (629.69 KB),Finance,Admitted,Nilamadhab Nag,09-Mar-2026 12:34 PM,finance_582347.pdf,BOQ Comparative Chart,1.0,3417345.0,SUJIT KUMAR AGARWAL,INR,"1,331,079.31",Municipal Bodies||Kuchinda NAC,2026_ORULB_126404_25,KCDA/NAC-9/2025-26,"Laying of Drain Cover Slab Drain from Ghosa Chowk to Meat Market, Two side ,Ward no-7 Ph-I",1,3417296,AMIT AGRAWAL,03-Mar-2026 11:35 AM,Rejected-AOC,Rejected,31-Mar-2026 01:00 PM,31-Mar-2026,"INR 1,331,079.31",60.0,Barun Kumar Sa,31-Mar-2026 01:00 PM,25.pdf (514.00 KB),Work order issued,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3418368,AMIT PRATAP SINGH,05-Mar-2026 01:47 AM,Rejected-AOC,Rejected,31-Mar-2026 01:00 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3418148,BISHAL AGRAWAL,04-Mar-2026 03:08 PM,Rejected-AOC,Rejected,31-Mar-2026 01:00 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3409301,DIPTI PANDA,26-Feb-2026 10:36 AM,Rejected-AOC,Rejected,31-Mar-2026 01:00 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3417183,GOBINDA SAHOO,03-Mar-2026 09:47 AM,Rejected-AOC,Rejected,31-Mar-2026 01:00 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3418531,GOVIND MEHER,04-Mar-2026 07:53 PM,Rejected-AOC,Rejected,31-Mar-2026 01:00 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3417882,KAPILASH NAYAK,03-Mar-2026 05:57 PM,Rejected-AOC,Rejected,31-Mar-2026 01:00 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3418489,LAXMI AGRAWAL,05-Mar-2026 08:37 AM,Rejected-AOC,Rejected,31-Mar-2026 01:00 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3420726,PRABIN PRATAP SINGH,05-Mar-2026 05:23 PM,Rejected-AOC,Rejected,31-Mar-2026 01:00 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3415090,PRAKASH RUDRA SINGH,01-Mar-2026 05:22 PM,Rejected-AOC,Rejected,31-Mar-2026 01:00 PM,,,,,,,,AOC
