Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Executive Engineer,"O/o the S.E.R.W.Division,Nuapada",1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,Periodical Maintenance to Saipala to Santoshpada from 0/000 to 1/500 1/780 to 3/700 for the year 2025-26,Periodical Maintenance to Saipala to Santoshpada from 0/000 to 1/500 1/780 to 3/700 for the year 2025-26,As per DTCN ,NA ,"71,84,882",Civil Works - Roads,NA ,Tender,90.0,30.0,NUAPADA,766105.0,NA ,NA ,NA ,"O/o the S.E.R.W.Division,Nuapada",No ,No,CE RW I||RWCIRCLE-BHAWANIPATNA||RWDIVISION-NUAPADA,RWNPD-09(Online) 2025-26,2026_CERWI_125476_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"71,900",Yes,fixed,,Nil,Nil,03-Feb-2026 05:00 PM,11-Feb-2026 11:00 AM,03-Feb-2026 05:00 PM,10-Feb-2026 05:00 PM,03-Feb-2026 05:00 PM ,09-Feb-2026 05:00 PM ,03-Feb-2026 05:00 PM,10-Feb-2026 05:00 PM,21-Feb-2026 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,RC GST EMD AFFIDAVIT NRC PAN and required document as per DTCN,AOC,Technical,Technical,Ranjeet Kumar Soren,20-Feb-2026 12:11 PM,technical_579107.pdf,CE RW I||RWCIRCLE-BHAWANIPATNA||RWDIVISION-NUAPADA,2026_CERWI_125476_2,RWNPD-09(Online) 2025-26,Periodical Maintenance to Saipala to Santoshpada from 0/000 to 1/500 1/780 to 3/700 for the year 2025-26,Financial,Internal,EE DAO ESTIMATER,Raj Kumar Meher,14-Mar-2026 01:21 PM,finsummary_579107.pdf (4740.28 KB),1.0,3390621.0,SARITA ROUT,INR,"7,177,697",1,3388795,ABHIJIT SINGH THAKUR,09-Feb-2026 08:05 PM,Rejected-AOC,Reject,14-Mar-2026 01:31 PM,14-Mar-2026,"INR 7,177,697",30.0,Raj Kumar Meher,14-Mar-2026 01:31 PM,AOC.pdf (1766.00 KB),AOC,Technical,Internal,EE DAO ESTIMATER,Raj Kumar Meher,20-Feb-2026 12:57 PM,21-Feb-2026 11:00 AM,techsummary_579107.pdf (156.41 KB),Finance,Tender open,Raj Kumar Meher,14-Mar-2026 01:14 PM,,BOQ Comparative Chart,AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC,,,,,,,,,,,,,,,,,,,,,2,3390393,AHSANULLA KHAN,10-Feb-2026 01:17 PM,Rejected-AOC,Reject,14-Mar-2026 01:31 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3386269,AMAN ULLA KHAN,09-Feb-2026 02:51 PM,Rejected-AOC,Reject,14-Mar-2026 01:31 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3389000,AMRITA HIRWANI,10-Feb-2026 02:33 PM,Rejected-AOC,Reject,14-Mar-2026 01:31 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3389135,AVAS NIAL,09-Feb-2026 10:43 PM,Rejected-AOC,Reject,14-Mar-2026 01:31 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3390050,Balbeer Singh Bains,10-Feb-2026 03:55 PM,Rejected-AOC,Reject,14-Mar-2026 01:31 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3387600,BHAWANI KUMAR BAGARTI,10-Feb-2026 08:47 AM,Rejected-AOC,Reject,14-Mar-2026 01:31 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3385533,BIEKANANDA GUPTA,10-Feb-2026 10:40 AM,Rejected-AOC,Reject,14-Mar-2026 01:31 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3390389,DARSHAN JOSHI,10-Feb-2026 02:41 PM,Rejected-AOC,Reject,14-Mar-2026 01:31 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3389315,DEEPAK CHOUHAN,09-Feb-2026 11:46 PM,Rejected-AOC,Reject,14-Mar-2026 01:31 PM,,,,,,,,,,,,,,,,,,,,,AOC
