EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"2,11,500",Yes,fixed,,Nil,Nil,07-Aug-2025 06:55 PM,16-Aug-2025 11:00 AM,07-Aug-2025 06:55 PM,14-Aug-2025 05:00 PM,07-Aug-2025 06:55 PM ,13-Aug-2025 02:00 PM ,07-Aug-2025 06:55 PM,14-Aug-2025 05:00 PM,18-Dec-2025 11:00 AM,Chief Construction Engineer,"Rural Works Circle, Sunabeda-1, Near Jagannath Temple, PIN-763001, Dist-Koraput","10,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-SUNABEDA,CCERWCSBD Online - 07/2025-26,2025_CERWI_116551_6,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Bid Cost, EMD, RC,PAN, GST, Affidavit regarding correctness, No relation certificate",Periodical Renewal work of 5 year post DLP PMGSY Roads for financial year 2025-26 under State Budget for Package No. PM-MKG2-A1/2025-26,Periodical Renewal work of 5 year post DLP PMGSY Roads for financial year 2025-26 under State Budget for Package No. PM-MKG2-A1/2025-26,N.A. ,NA ,"2,11,46,000",Civil Works - Roads,NA ,Tender,90.0,180.0,MALKANGIRI,764045.0,NA ,NA ,NA ,"Chief Construction Engineer, R.W.Circle, Sunabeda",No ,No,AOC,CE RW I||RWCIRCLE-SUNABEDA,2025_CERWI_116551_6,CCERWCSBD Online - 07/2025-26,Periodical Renewal work of 5 year post DLP PMGSY Roads for financial year 2025-26 under State Budget for Package No. PM-MKG2-A1/2025-26,Technical,bidders name,Rinku Nahak,12-Dec-2025 08:06 PM,technical_548742.pdf,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Superintending Engineer, DAO, Estimator of Rural Works Division-II, Malkangiri Estimator R.W. Circle Sunabeda and P.A. to CCE",Rinku Nahak,06-Mar-2026 07:48 PM,finsummary_548742.pdf (877.88 KB),1.0,3033850.0,Dilip Somani,INR,"17,976,092.94",1,3035461,ASISHA KUMAR SAMAL,14-Aug-2025 09:17 AM,Rejected-AOC,REJECT,06-Mar-2026 07:56 PM,06-Mar-2026,"INR 17,976,092.94",180.0,Rinku Nahak,06-Mar-2026 07:56 PM,AOCMKG2A1.pdf (1046.00 KB),"Award of contract to Sri Dilip Somani, B Class Contractor through transparency lottery system","Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Superintending Engineer, DAO, Estimator of Rural Works Division-II, Malkangiri Estimator R.W. Circle Sunabeda and P.A. to CCE",Rinku Nahak,12-Dec-2025 08:11 PM,18-Dec-2025 11:00 AM,techsummary_548742.pdf (1636.63 KB),Finance,CS,Rinku Nahak,06-Mar-2026 07:44 PM,finance_548742.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Annual Turn over certificate from CA, Similar nature of Work Certificate",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3033850,Dilip Somani,14-Aug-2025 12:36 PM,Accepted-AOC,"Award of contract to Sri Dilip Somani, B Class Contractor through transparency lottery system",06-Mar-2026 07:56 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and other documents as per DTCN,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3035839,GIRADA SHYAM SUNDAR RAO,14-Aug-2025 01:30 PM,Rejected-AOC,REJECT,06-Mar-2026 07:56 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3035371,GOBINDA CHANDRA NAYAK,13-Aug-2025 11:10 PM,Rejected-AOC,REJECT,06-Mar-2026 07:56 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3035754,GOUTTAM MONDAL,14-Aug-2025 01:18 PM,Rejected-Technical,DISQUALIFIED,12-Dec-2025 08:11 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3032485,JANBI CONSTRUCTION,14-Aug-2025 09:18 AM,Rejected-AOC,REJECT,06-Mar-2026 07:56 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3033072,Kunja Bihari Sahu,13-Aug-2025 10:00 PM,Rejected-AOC,REJECT,06-Mar-2026 07:56 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3035426,MALAY SARKAR,14-Aug-2025 08:18 AM,Rejected-AOC,REJECT,06-Mar-2026 07:56 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3033467,P.RAMA RAO,14-Aug-2025 10:09 AM,Rejected-AOC,REJECT,06-Mar-2026 07:56 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3035285,SAMIR KUMAR MEHER,14-Aug-2025 11:02 AM,Rejected-AOC,REJECT,06-Mar-2026 07:56 PM,,,,,,,,,,,,,,,,,,,,,AOC
