S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3018269.0,BASUDEV RAO,INR,"10,049,100.64",CE RW I||RWCIRCLE-SUNABEDA,2025_CERWI_115747_2,CCERWCSBD Online - 08/2025-26,Construction of Daycare PHC (N) at MV-47 in the District of Malkangiri.,Technical,bidders name,Sushama Bhoi,24-Sep-2025 06:29 PM,technical_546487.pdf,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Superintending Engineer, DAO, Estimator of Rural Works Division-II, Malkangiri Estimator R.W. Circle Sunabeda and P.A. to CCE",Rinku Nahak,09-Jan-2026 07:32 PM,finsummary_546487.pdf (1027.86 KB),"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Superintending Engineer, DAO, Estimator of Rural Works Division-II, Malkangiri Estimator R.W. Circle Sunabeda",Sushama Bhoi,24-Sep-2025 06:47 PM,25-Sep-2025 11:00 AM,techsummary_546487.pdf (2526.31 KB),1.0,REKOVE,REVOKE-47,24-Sep-2025 05:23 PM,47.pdf ,242.14,Technical Opening,Finance,CS,Rinku Nahak,09-Jan-2026 07:22 PM,finance_546487.pdf,BOQ Comparative Chart,05-Mar-2026,"INR 10,049,100.64",367.0,Rinku Nahak,05-Mar-2026 01:15 PM,AOCMV47B.pdf (767.00 KB),"Award of contract to Sri Basudev Rao, B Class Contractor through transparency lottery system.",1,3018205,Aryan Tawari,30-Jul-2025 03:19 PM,Rejected-Finance,REJECT,09-Jan-2026 07:32 PM,AOC,CE RW I||RWCIRCLE-SUNABEDA,CCERWCSBD Online - 08/2025-26,2025_CERWI_115747_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Chief Construction Engineer,"Rural Works Circle, Sunabeda-1, Near Jagannath Temple, PIN-763001, Dist-Koraput","1,19,000",Yes,fixed,,Nil,Nil,Construction of Daycare PHC (N) at MV-47 in the District of Malkangiri.,Construction of Daycare PHC (N) at MV-47 in the District of Malkangiri.,N.A ,NA ,"1,18,23,000",Civil Works - Buildings,NA ,Tender,90.0,367.0,MALKANGIRI,764045.0,NA ,NA ,NA ,"Chief Construction Engineer, R.W.Circle, Sunabeda",No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Bid Cost, EMD, RC,PAN, GST, Affidavit regarding correctness, No relation certificate","10,000",0.0,Nil,Nil,No,19-Jul-2025 11:00 AM,31-Jul-2025 11:00 AM,19-Jul-2025 11:00 AM,30-Jul-2025 05:00 PM,19-Jul-2025 11:00 AM ,29-Jul-2025 02:00 PM ,19-Jul-2025 11:00 AM,30-Jul-2025 05:00 PM,25-Sep-2025 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3018269,BASUDEV RAO,30-Jul-2025 03:47 PM,Accepted-AOC,"Award of contract to Sri Basudev Rao, B Class Contractor through transparency lottery system.",05-Mar-2026 01:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3017433,Dilip Somani,30-Jul-2025 04:20 PM,Rejected-Finance,REJECT,09-Jan-2026 07:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3016683,GIRADA SHYAM SUNDAR RAO,29-Jul-2025 02:49 PM,Rejected-Finance,REJECT,09-Jan-2026 07:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3016446,GITANJALI PADHAN,30-Jul-2025 01:40 PM,Rejected-Finance,REJECT,09-Jan-2026 07:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3015948,HARASIT RAY,29-Jul-2025 01:15 PM,Rejected-Technical,DISQUALIFIED,24-Sep-2025 06:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3018311,Mohanlal Padhan,30-Jul-2025 04:23 PM,Rejected-Finance,REJECT,09-Jan-2026 07:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3018351,MRUTUNJAYA PATTNAIK,30-Jul-2025 04:14 PM,Rejected-Finance,REJECT,09-Jan-2026 07:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3017530,PRAFULLA KUMAR PANDA,30-Jul-2025 11:15 AM,Rejected-Finance,REJECT,09-Jan-2026 07:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3017845,PUJA SARKAR,30-Jul-2025 01:22 PM,Rejected-Finance,REJECT,09-Jan-2026 07:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
