Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"EXECUTIVE OFFICER, PURI MUNICIPALITY",VIP ROAD,Improvement of Road from Nabakalebar Road towards Makuban Via EX BDO Sadangi Babu house in W No 29,CIVIL,Please refer Tender documents. ,NA ,"10,76,217",Civil Works - Others,NA ,Tender,120.0,60.0,PURI MUNICIPALITY,752001.0,NA ,NA ,NA ,OFFICE CHAMBER OF THE EXECUTIVE OFFICER,No ,No,Municipal Bodies||Puri Municipality,P.M. 05/2025-26,2025_ORULB_122921_26,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,16-Dec-2025 03:00 PM,30-Dec-2025 11:00 AM,16-Dec-2025 03:00 PM,29-Dec-2025 05:00 PM,NA ,NA ,16-Dec-2025 03:00 PM,29-Dec-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"REGISTRATION CERTIFICATE, GST, PAN, EPF OR UNDERTAKING FOR EPF AND AFFIDAVIT and Others AS PER DTCN","10,763",Yes,fixed,,Nil,Nil,AOC,ADMINISTRATOR,Internal,,Jayanta Kumar Maitra,20-Mar-2026 07:30 PM,finsummary_571276.pdf (9079.00 KB),ADMINISTRATOR,Internal,,Jayanta Kumar Maitra,20-Mar-2026 07:26 PM,techsummary_571276.pdf (9079.00 KB),1,3329230,ASHOK KUMAR MOHANTY,29-Dec-2025 09:12 AM,Rejected-Finance,DECIDED THROUGH LOTTERY,20-Mar-2026 07:30 PM,1.0,3328363.0,SABITA SETHI,INR,"914,892.25",Municipal Bodies||Puri Municipality,2025_ORULB_122921_26,P.M. 05/2025-26,Improvement of Road from Nabakalebar Road towards Makuban Via EX BDO Sadangi Babu house in W No 29,20-Mar-2026,"INR 914,892.25",60.0,Jayanta Kumar Maitra,20-Mar-2026 07:32 PM,ProceedingPMNo05Year25And26.pdf (9079.00 KB),Finance,"15 nos of Bidders participated for the project and submitted Documents, Hence accepted for evaluation.",Jayanta Kumar Maitra,02-Jan-2026 05:15 PM,finance_571276.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,AOC,,,,,,,,,,,,,2,3333460,BUDHANATH BEJA,28-Dec-2025 12:32 PM,Rejected-Finance,DECIDED THROUGH LOTTERY,20-Mar-2026 07:30 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,3329117,GOPAL KRUSHNA PRADHAN,28-Dec-2025 06:19 PM,Rejected-Finance,DECIDED THROUGH LOTTERY,20-Mar-2026 07:30 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4,3328240,KESHAB CHANDRA SETHI,27-Dec-2025 02:17 AM,Rejected-Finance,DECIDED THROUGH LOTTERY,20-Mar-2026 07:30 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,5,3336096,MADHUSMITA MISHRA,29-Dec-2025 12:16 PM,Rejected-Finance,DECIDED THROUGH LOTTERY,20-Mar-2026 07:30 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,6,3337616,OM SATYASWAROOP NANDA,29-Dec-2025 04:10 PM,Rejected-Finance,DECIDED THROUGH LOTTERY,20-Mar-2026 07:30 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,7,3333540,PRAMOD SAHOO,28-Dec-2025 06:48 PM,Rejected-Finance,DECIDED THROUGH LOTTERY,20-Mar-2026 07:30 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,8,3328938,PRASANTA KUMAR MOHANTY,27-Dec-2025 11:52 AM,Rejected-Finance,DECIDED THROUGH LOTTERY,20-Mar-2026 07:30 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,9,3329765,RABINDRA KUMAR BISOI,27-Dec-2025 06:04 PM,Rejected-Finance,DECIDED THROUGH LOTTERY,20-Mar-2026 07:30 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10,3332444,RATIKANTA PARIDA,27-Dec-2025 07:43 PM,Rejected-Finance,DECIDED THROUGH LOTTERY,20-Mar-2026 07:30 PM,,,,,,,,,,,,,,,,,,,,,,AOC
