Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"6,000",0.0,Nil,Nil,No,1,ICICI BANK,03-Feb-2026 11:00 AM,13-Feb-2026 11:00 AM,03-Feb-2026 11:00 AM,12-Feb-2026 05:00 PM,NA ,NA ,03-Feb-2026 11:00 AM,12-Feb-2026 05:00 PM,25-Feb-2026 01:40 PM,Municipal Bodies||Nabarangpur Municipality,EONM-05/2025-26,2026_ORULB_125372_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,DTCN,Development of Water Bodies near old Octrai Chack Gate,CIVIL WORK,Please refer the Tender Documents ,NA ,"28,51,566",Civil Works - Others,NA ,Tender,90.0,90.0,Nabarangpur Municipality,764059.0,NA ,NA ,NA ,Nabarangpur Municipality,No ,No,"Executive Officer, Nabarangpur Municipality","At- Nabarangpur Municipality, Nabarangpur","28,516",Yes,fixed,,Nil,Nil,AOC,26-Mar-2026,"INR 2,709,337",90.0,ASHOK KUMAR KARNA,26-Mar-2026 07:36 AM,oct.pdf (856.00 KB),1,3393763,SATYAM CHOUDHURY,12-Feb-2026 03:37 PM,Rejected-AOC,Qulified,26-Mar-2026 07:36 AM,Finance,All above bidders submitted the documents as per DTCN,ASHOK KUMAR KARNA,26-Mar-2026 07:17 AM,,BOQ Comparative Chart,Kunu Nayak,Internal,"Chiarperson,ADM,Executive Officer,Municipal Engineer,Accountant",ASHOK KUMAR KARNA,25-Feb-2026 01:29 PM,25-Feb-2026 01:40 PM,techsummary_578821.pdf (527.88 KB),Sir Kunu Nayak,Internal,"Chiarperson,ADM,Executive Officer,Municipal Engineer,Accountant",ASHOK KUMAR KARNA,26-Mar-2026 07:33 AM,finsummary_578821.pdf (492.90 KB),Municipal Bodies||Nabarangpur Municipality,2026_ORULB_125372_3,EONM-05/2025-26,Development of Water Bodies near old Octrai Chack Gate,Technical,All bidder are submitted all documents as per DTCN,ASHOK KUMAR KARNA,25-Feb-2026 01:06 PM,,1.0,3393719.0,SIDHESWAR PANIGRAHI,INR,"2,709,337",AOC
,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,3393719,SIDHESWAR PANIGRAHI,12-Feb-2026 02:46 PM,Accepted-AOC,Selected as L1 bidder,26-Mar-2026 07:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
