S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
1.0,3349508.0,MISIRA KUMAR DHAR,INR,"329,681",Finance,Bid documents of all the bidders have been downloaded successfully.,Samyak Bikash Subudhi,16-Jan-2026 11:13 AM,finance_573616.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,"DAO, Estimator",Samyak Bikash Subudhi,07-Mar-2026 11:17 AM,finsummary_573616.pdf (287.36 KB),CE and BM Brahmani Basin Samal||SE Angul Irrigation Circle Angul||EE Angul Irrigation Division Angul,2025_CEBBS_123938_7,SE-AID-10/2025-26,Repair to canal bed and drainage syphone at RD 2220m of Sakosingha distributary of Derjang Irrigation Project.,Superintending Engineer,Internal,"DAO, Estimator",Samyak Bikash Subudhi,07-Mar-2026 11:07 AM,techsummary_573616.pdf (203.73 KB),07-Mar-2026,"INR 329,681",60.0,Samyak Bikash Subudhi,07-Mar-2026 11:26 AM,7WOMisiraKumarDhar.pdf (1236.00 KB),Winner in the transparent lottery system.,1,3350025,ABHISHEK MISHRA,09-Jan-2026 04:42 PM,Rejected-Finance,Not won in the transparent lottery system,07-Mar-2026 11:17 AM,AOC,"3,900",Yes,fixed,,Nil,Nil,CE and BM Brahmani Basin Samal||SE Angul Irrigation Circle Angul||EE Angul Irrigation Division Angul,SE-AID-10/2025-26,2025_CEBBS_123938_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"S.E, Angul Irr. Divn. Angul","O.O the S.E, Angul Irr. Divn. Angul, At/P.O- Hakimpada, Dist-Angul",Repair to canal bed and drainage syphone at RD 2220m of Sakosingha distributary of Derjang Irrigation Project.,Repair to canal bed and drainage syphone at RD 2220m of Sakosingha distributary of Derjang Irrigation Project.,NA ,NA ,,Civil Works - Canal,Canal Works ,Tender,90.0,60.0,Angul,759143.0,NA ,NA ,NA ,"O.O the S.E, Angul Irr. Divn. Angul",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost, EMD, GSTIN, PAN, Contractor R.C, Registered under CDMS portal, NRC.",30-Dec-2025 11:00 AM,12-Jan-2026 11:00 AM,30-Dec-2025 11:00 AM,09-Jan-2026 05:00 PM,30-Dec-2025 11:00 AM ,05-Jan-2026 05:00 PM ,30-Dec-2025 11:00 AM,09-Jan-2026 05:00 PM,"2,000",Nil,Nil,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3348371,AJIT PRASAD DWIVEDY,08-Jan-2026 06:59 AM,Rejected-Finance,Not won in the transparent lottery system,07-Mar-2026 11:17 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavits, undertakings and any other document as per SBD/DTCN.",,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3349665,JASHOBANT SAHU,09-Jan-2026 12:42 PM,Rejected-Finance,Not won in the transparent lottery system,07-Mar-2026 11:17 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3349508,MISIRA KUMAR DHAR,09-Jan-2026 10:26 AM,Accepted-AOC,Winner in the transparent lottery system for award of contract.,07-Mar-2026 11:23 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3347413,PRADEEP KUMAR BHUTIA,07-Jan-2026 11:27 AM,Rejected-Finance,Not won in the transparent lottery system,07-Mar-2026 11:17 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3349411,RASHMITA ROUT,09-Jan-2026 08:24 AM,Rejected-Finance,Not won in the transparent lottery system,07-Mar-2026 11:17 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3347230,SANJAYA KUMAR JENA,06-Jan-2026 11:23 PM,Rejected-Technical,Not submitted RC and affidavit,07-Mar-2026 11:07 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3349187,SNEHALATA DASH (SC),09-Jan-2026 12:25 PM,Rejected-Finance,Not won in the transparent lottery system,07-Mar-2026 11:17 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3344425,SUNIL KUMAR PANDA,05-Jan-2026 12:43 AM,Rejected-Finance,Not won in the transparent lottery system,07-Mar-2026 11:17 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
