S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,25-Jun-2025 03:00 PM,11-Jul-2025 11:00 AM,25-Jun-2025 03:00 PM,10-Jul-2025 05:00 PM,25-Jun-2025 03:00 PM ,10-Jul-2025 02:00 PM ,25-Jun-2025 03:00 PM,10-Jul-2025 05:00 PM,14-Aug-2025 11:00 AM,"10,000",0.0,Nil,Nil,No,"Chief Construction Engineer,R.W Circle KPD-JJP","O/o CCE,R.W Circle,Kendrapara-Jajpur","4,32,639",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, GST, EMD PAN,RC,NRC, Affidavit and other documents as per DTCN",1.0,Date Corrigendum,Date,,Construction of road from RD Road to Kumarkhatu via Kolasahi road in the Dist of Jajpur under MMSY-TRIP for the year 2024-25.,Construction of road from RD Road to Kumarkhatu via Kolasahi road in the Dist of Jajpur under MMSY-TRIP for the year 2024-25.,NA ,NA ,"4,32,63,920",Civil Works - Roads,NA ,Tender,90.0,270.0,Jajpur,755001.0,NA ,NA ,NA ,"O/o CCE,R.W Circle,Kendrapara-Jajpur",No ,No,CE RW I||RWCIRCLE-KENDRAPARA,Tender Online RCK-11/25,2025_CERWI_114846_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,1,2993526,AMIT KUMAR BISWAL,08-Jul-2025 04:50 PM,Rejected-Technical,Disqualified due to insufficient of similar nature of work experience as per clause no. 2.1 (4) of eligibility criteria of General Instructions to tenderers of DTCN.,11-Aug-2025 02:47 PM,03-Jan-2026,"INR 36,778,658",270.0,Satyajit Dalai,19-Mar-2026 06:12 PM,WOKumarkhatu.pdf (359.00 KB),The work has been awarded to Sai Krishna Construction,Finance,11 no of bidders have been participated,Suchitra Kar,14-Aug-2025 04:33 PM,,BOQ Comparative Chart,CCE,Internal,"CCE,DAO,Estimator",Satyajit Dalai,11-Aug-2025 02:47 PM,14-Aug-2025 11:00 AM,techsummary_544370.pdf (1348.52 KB),CCE,Internal,,Nibedita Nayak,24-Sep-2025 01:40 PM,finsummary_544370.pdf (119.73 KB),CE RW I||RWCIRCLE-KENDRAPARA,2025_CERWI_114846_1,Tender Online RCK-11/25,Construction of road from RD Road to Kumarkhatu via Kolasahi road in the Dist of Jajpur under MMSY-TRIP for the year 2024-25.,Technical,13 no of bidders have been participated,Suchitra Kar,11-Jul-2025 11:31 AM,,1.0,2993873.0,SAI KRISHNA CONSTRUCTION,INR,"36,778,658",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2989908,ANANTA PRASAD MALIK,07-Jul-2025 10:27 PM,Rejected-Finance,Rejected Bidder,24-Sep-2025 01:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2993970,BIJAYA KUMAR ROUT,09-Jul-2025 01:44 PM,Rejected-Finance,Rejected Bidder,24-Sep-2025 01:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2994115,DEBABRATA SAMAL,09-Jul-2025 02:30 PM,Rejected-Finance,Rejected Bidder,24-Sep-2025 01:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2993916,DILIP KUMAR SAMAL,09-Jul-2025 12:52 PM,Rejected-Finance,Rejected Bidder,24-Sep-2025 01:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2993796,KALINGA CONSTRUCTION,09-Jul-2025 10:01 AM,Rejected-Technical,Disqualified due to insufficient of similar nature of work experience as per clause no. 2.1 (4) of eligibility criteria of General Instructions to tenderers of DTCN.,11-Aug-2025 02:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2993198,KUNAL PATRA,09-Jul-2025 12:42 PM,Rejected-Finance,Rejected Bidder,24-Sep-2025 01:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2995050,M/S B.B CONSTRUCTION,10-Jul-2025 01:31 PM,Rejected-Finance,Rejected Bidder,24-Sep-2025 01:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2993942,"M/S. SHREE AGENCIES,PROP.- SUBHASIS JENA",09-Jul-2025 01:04 PM,Rejected-Finance,Rejected Bidder,24-Sep-2025 01:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2987636,RAGHUNATH SAHU,09-Jul-2025 11:39 AM,Rejected-Finance,Rejected Bidder,24-Sep-2025 01:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
