Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Technical,22 (Twenty two) bids has been received subjected to evaluation by committee,MINAKETAN DAS,29-Oct-2025 11:18 AM,,R K PANDA,Internal,B PATRA S PADHI M K DAS,Sidharth Pattnaik,27-Feb-2026 03:18 PM,finsummary_555149.pdf (389.77 KB),Orissa Mining Corporation,2025_OMC_119135_2,NIT No.14/OMC/CIVIL/2025,Repair and Replacement of overhead tank of 76 quarters at Sector-2 and 48 quarters at Barabati along with water supply line of Daitari township in the district of Keonjhar.,1.0,3163910.0,Abinash Swain,INR,"4,381,383.31",Finance,Financial bid of 22 (Twenty two) qualified bidders had been open,MINAKETAN DAS,06-Nov-2025 11:10 AM,,BOQ Comparative Chart,27-Feb-2026,"INR 4,381,383.31",180.0,Sidharth Pattnaik,10-Mar-2026 03:16 PM,2025_OMC_119135_2.pdf (404.00 KB),Repair and Replacement of overhead tank of 76 quarters at Sector-2 and 48 quarters at Barabati along with water supply line of Daitari township in the district of Keonjhar.,1,3163910,Abinash Swain,28-Oct-2025 04:15 PM,Accepted-AOC,L1,10-Mar-2026 03:16 PM,R K PANDA,Internal,S PADHI BANITA PATRA M K DAS,Sidharth Pattnaik,04-Nov-2025 05:28 PM,06-Nov-2025 11:00 AM,techsummary_555149.pdf (1616.25 KB),AOC,"GM(C), OMC Ltd.","Office of the GM(C), OMC Ltd., Bhubaneswar",Orissa Mining Corporation,NIT No.14/OMC/CIVIL/2025,2025_OMC_119135_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"51,600",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"11,800",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"RC, EPF Regd., GSTN, PAN, Registration in CDMS portal, Affidavits, experience, etc. as per DTCN requ",Repair and Replacement of overhead tank of 76 quarters at Sector-2 and 48 quarters at Barabati along with water supply line of Daitari township in the district of Keonjhar.,Repair and Replacement of overhead tank of 76 quarters at Sector-2 and 48 quarters at Barabati along with water supply line of Daitari township in the district of Keonjhar.,"RC, EPF Regd., GSTN, PAN, Registration in CDMS portal, Affidavits, experience, etc. as per DTCN requirements.  ",NA ,"51,54,000",Civil Works - Others,NA ,Tender,180.0,180.0,DAITARI TOWNSHIP,758026.0,NA ,NA ,NA ,"OMC Ltd., Bhubaneswar",No ,No,09-Oct-2025 05:00 PM,29-Oct-2025 11:00 AM,09-Oct-2025 05:00 PM,28-Oct-2025 05:00 PM,NA ,NA ,09-Oct-2025 05:00 PM,28-Oct-2025 05:00 PM,06-Nov-2025 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3145480,ACHINA DAS,23-Oct-2025 01:39 PM,Rejected-Finance,NOT BEING L1,27-Feb-2026 03:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,2.0,Finance,.xls,FINANCIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3157529,BIJAYA KUMAR DUTTA,27-Oct-2025 02:25 PM,Rejected-Finance,NOT BEING L1,27-Feb-2026 03:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3148687,DEBABRAT SWAIN,24-Oct-2025 03:25 PM,Rejected-Finance,NOT BEING L1,27-Feb-2026 03:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3157874,DEBA PRAKASH MOHANTY,27-Oct-2025 12:17 PM,Rejected-Finance,NOT BEING L1,27-Feb-2026 03:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3162201,DIBAKAR MARTHA,28-Oct-2025 10:38 AM,Rejected-Finance,NOT BEING L1,27-Feb-2026 03:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3162366,JYOTIRANJAN BAL,28-Oct-2025 11:18 AM,Rejected-Finance,NOT BEING L1,27-Feb-2026 03:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3149260,KALINGA ENTERPRISES PROP AJAY KUMAR MOHANTY,24-Oct-2025 06:12 PM,Rejected-Finance,NOT BEING L1,27-Feb-2026 03:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3163546,MADHUSMITA NAYAK,28-Oct-2025 02:39 PM,Rejected-Finance,NOT BEING L1,27-Feb-2026 03:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3152339,M/S B.B. ENGINEERING AND WORKS,25-Oct-2025 07:24 PM,Rejected-Finance,NOT BEING L1,27-Feb-2026 03:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
