EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"7,86,110",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"RC,PAN,GSTN,Online Tender Cost,EMD,Affidavit and other Documents as per DTCN","Chief Construction Engineer,R.W Circle KPD-JJP","O/o CCE,R.W Circle,Kendrapara-Jajpur",Improvement to PWD road to Mangalpur Dandisahi via Karnadandi road in the District of Jajpur under MMSY-improvement to existing RD Road for the year 2024-25.,Improvement to PWD road to Mangalpur Dandisahi via Karnadandi road in the District of Jajpur under MMSY-improvement to existing RD Road for the year 2024-25.,NA ,NA ,"7,86,11,014",Civil Works - Roads,NA ,Tender,90.0,270.0,Jajpur,755001.0,NA ,NA ,NA ,"O/o CCE,R.W Circle,Kendrapara-Jajpur",No ,No,"10,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-KENDRAPARA,Tender Online RCK-11/25,2025_CERWI_114859_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,25-Jun-2025 05:30 PM,11-Jul-2025 11:00 AM,25-Jun-2025 05:30 PM,10-Jul-2025 05:00 PM,25-Jun-2025 05:30 PM ,10-Jul-2025 02:00 PM ,25-Jun-2025 05:30 PM,10-Jul-2025 05:00 PM,14-Aug-2025 04:30 PM,1.0,Date Corrigendum,Date,,AOC,1,2990012,BASANTA KUMAR MISHRA,07-Jul-2025 07:37 PM,Rejected-Technical,Disqualified due to insufficient of similar nature of work experience as per clause no. 2.1 (4) of eligibility criteria of General Instructions to tenderers of DTCN.,14-Aug-2025 04:17 PM,04-Feb-2026,"INR 66,827,222.733",270.0,Satyajit Dalai,05-Mar-2026 05:41 PM,772.pdf (285.00 KB),The work has been awarded to Tarini Condev Pvt. Ltd,1.0,revised qualified bidder list,revised qualified bidder list,14-Aug-2025 03:34 PM,2544.pdf ,787.18,Technical Opening,CCE,Internal,,Satyajit Dalai,14-Aug-2025 04:17 PM,14-Aug-2025 04:30 PM,techsummary_544404.pdf (670.46 KB),Finance,13 no of bidders have been participated,Suchitra Kar,14-Aug-2025 04:54 PM,,BOQ Comparative Chart,CE RW I||RWCIRCLE-KENDRAPARA,2025_CERWI_114859_1,Tender Online RCK-11/25,Improvement to PWD road to Mangalpur Dandisahi via Karnadandi road in the District of Jajpur under MMSY-improvement to existing RD Road for the year 2024-25.,Technical,14 no of bidders have been participated,Suchitra Kar,14-Aug-2025 04:00 PM,,CCE,Internal,,Suchitra Kar,03-Nov-2025 04:42 PM,finsummary_544404.pdf (129.85 KB),1.0,2993647.0,TARINI CONDEV PRIVATE LIMITED,INR,"66,827,222.733",AOC
,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,AOC,2,2987042,CHINMAYA CHIRASUNDAR TRIPATHY,09-Jul-2025 04:29 PM,Rejected-AOC,Rejected Bidder,05-Mar-2026 05:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2993899,DILIP KUMAR SAMAL,09-Jul-2025 12:47 PM,Rejected-AOC,Rejected Bidder,05-Mar-2026 05:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2988643,janmejaya samal,04-Jul-2025 11:55 AM,Rejected-AOC,Rejected Bidder,05-Mar-2026 05:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2994160,KISHORE KUMAR PANDA,09-Jul-2025 04:21 PM,Rejected-AOC,Rejected Bidder,05-Mar-2026 05:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2994010,MRD INFRACON,09-Jul-2025 01:26 PM,Rejected-Finance,Rejected bidder,03-Nov-2025 04:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2991882,MS JUDHISTHIRA PARIDA AND CO,09-Jul-2025 01:01 PM,Rejected-AOC,Rejected Bidder,05-Mar-2026 05:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2993857,SAI KRISHNA CONSTRUCTION,09-Jul-2025 12:00 PM,Rejected-AOC,Rejected Bidder,05-Mar-2026 05:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2994261,SAMBIT KUMAR JENA,09-Jul-2025 04:44 PM,Rejected-AOC,Rejected Bidder,05-Mar-2026 05:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2990912,SATYASAI CONSTRUCTION,09-Jul-2025 03:59 PM,Rejected-Finance,Rejected bidder,03-Nov-2025 04:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
