S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
1.0,2850435.0,SNEHALATA CONSTRUCTION AND INTERIOR,INR,"10,720,864",Technical,open,Rasmi Ranjan Sahoo,13-Mar-2025 03:59 PM,,EIC-CIVIL||SERNB-CIRCLE-KHURDA,2025_EICCL_111096_1,26 of 2024-25,Construction of Sub-Registrar office Building at Ranpur for the year 2024-25.,cce,Internal,"pa,dao,se",Manoj Kumar Mahananda,19-Mar-2026 08:15 PM,finsummary_531365.pdf (196.15 KB),cce,Internal,"pa,dao,se",Rama Chandra Sethi,04-Apr-2025 02:35 PM,08-Apr-2025 04:30 PM,techsummary_531365.pdf (3202.57 KB),Finance,open,Rasmi Ranjan Sahoo,11-Apr-2025 04:20 PM,,BOQ Comparative Chart,19-Mar-2026,"INR 10,720,864",180.0,Manoj Kumar Mahananda,19-Mar-2026 08:19 PM,f.pdf (1883.00 KB),1,2849239,ANIL KUMAR PRUSTY,10-Mar-2025 03:22 PM,Rejected-Technical,Disqualified,04-Apr-2025 02:35 PM,AOC,"1,27,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy Tender cost, EMD , GSTIN, PAN, Contractor RC and Affidavit",Construction of Sub-Registrar office Building at Ranpur for the year 2024-25.,Construction of Sub-Registrar office Building at Ranpur for the year 2024-25.,Please refer Tender documents. ,NA ,"1,26,11,298",Civil Works - Buildings,NA ,Tender,90.0,180.0,Nayagarh,752069.0,NA ,NA ,NA ,O/O CCE Khordha RandB Circle Khordha,No ,No,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,24-Feb-2025 03:15 PM,13-Mar-2025 11:30 AM,24-Feb-2025 03:15 PM,12-Mar-2025 05:00 PM,NA ,NA ,24-Feb-2025 03:15 PM,12-Mar-2025 05:00 PM,08-Apr-2025 04:30 PM,EIC-CIVIL||SERNB-CIRCLE-KHURDA,26 of 2024-25,2025_EICCL_111096_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,CCE Khordha RandB Circle Khordha,O/o the Chief Construction Engineer Khordha R and B Circle Khordha,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2851946,ARUN KUMAR BEHERA,12-Mar-2025 01:52 PM,Rejected-Finance,Other than lottery bidder,19-Mar-2026 08:15 PM,AOC,,,,,,,,,.pdf,Other Documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2849706,ASHWINI KUMAR KODAMASINGH,11-Mar-2025 04:16 PM,Rejected-Technical,Disqualified,04-Apr-2025 02:35 PM,AOC,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2851137,BHABANI PRASAD PARIDA,12-Mar-2025 11:18 AM,Rejected-Technical,Disqualified,04-Apr-2025 02:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2852050,BINOD BEHARI ROUT,12-Mar-2025 02:06 PM,Rejected-Technical,Disqualified,04-Apr-2025 02:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2847748,GADADHAR DASH,12-Mar-2025 10:54 AM,Rejected-Technical,Disqualified,04-Apr-2025 02:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2851204,Jayadev Behera,11-Mar-2025 09:01 PM,Rejected-Technical,Disqualified,04-Apr-2025 02:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2850735,JITENDRA KUMAR PRADHAN,11-Mar-2025 03:24 PM,Rejected-Finance,Other than lottery bidder,19-Mar-2026 08:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2852420,Lalita Mohanty,12-Mar-2025 04:36 PM,Rejected-Finance,Other than lottery bidder,19-Mar-2026 08:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2849313,M/S. RAHUL DAS,10-Mar-2025 03:46 PM,Rejected-Technical,Disqualified,04-Apr-2025 02:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2848484,PRADEEP KUMAR ROUTARAY,11-Mar-2025 08:53 PM,Rejected-Finance,Other than lottery bidder,19-Mar-2026 08:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
