Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Superintending Engineer,Internal,"AEE, DAO, JE Estimator",Pratima Naik,20-Dec-2025 11:30 AM,techsummary_565038.pdf (25.84 KB),1,3246635,M/S SASWAT ENTERPRISES,22-Nov-2025 06:52 PM,Accepted-AOC,Successful,17-Mar-2026 01:43 PM,29-Dec-2025,"INR 1,425,444",60.0,Ashish Kumar Lenka,17-Mar-2026 01:43 PM,5109.pdf (909.00 KB),Work order for the work S/R to Beheraguda-Ubuda road for the year 2025-26.,Finance,Admitted,Pratima Naik,18-Dec-2025 12:37 PM,,BOQ Comparative Chart,1.0,3246635.0,M/S SASWAT ENTERPRISES,INR,"1,425,444",CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Jharsuguda,2025_CERWI_121373_9,Online - SEJSG 08 of 2025-26,S/R to Beheraguda-Ubuda road for the year 2025-26.,Superintending Engineer,Internal,"AEE, DAO, JE estimator",Pratima Naik,26-Dec-2025 03:48 PM,finsummary_565038.pdf (25.84 KB),AOC,Superintending Engineer,"R.W.Division, Jharsuguda",1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, PAN,GSTN No. EMD, Affidavit Online Cost of tender paper etc. as per DTCN","6,000",0.0,Nil,Nil,No,S/R to Beheraguda-Ubuda road for the year 2025-26.,S/R to Beheraguda-Ubuda road for the year 2025-26.,Please refer Tender documents. ,NA ,"16,76,796",Civil Works - Roads,NA ,Tender,90.0,60.0,Jharsuguda,768204.0,NA ,NA ,NA ,"R.W.Division, Jharsuguda",No ,No,CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Jharsuguda,Online - SEJSG 08 of 2025-26,2025_CERWI_121373_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,20-Nov-2025 03:00 PM,26-Nov-2025 11:00 AM,20-Nov-2025 03:00 PM,25-Nov-2025 05:00 PM,20-Nov-2025 03:00 PM ,24-Nov-2025 05:00 PM ,20-Nov-2025 03:00 PM,25-Nov-2025 05:00 PM,"16,768",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,2,3254341,PRATIK CONSTRUCTION,25-Nov-2025 02:21 PM,Rejected-AOC,Unsuccessful,17-Mar-2026 01:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
