S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,DD - Demand Draft,CONSTRUCTION OF 50MT GODOWN AND OFFICE BUILDING AT PALADHUAPALLI SCS,CONSTRUCTION OF 50MT GODOWN AND OFFICE BUILDING AT PALADHUAPALLI SCS,Please refer Tender documents. ,NA ,"22,02,953",Civil Works - Others,NA ,Tender,90.0,180.0,KHALLIKOTE,761030.0,NA ,NA ,NA ,"BLOCK OFFICE, KHALLIKOTE",No ,No,20-Dec-2025 10:00 AM,12-Jan-2026 11:00 AM,20-Dec-2025 10:00 AM,08-Jan-2026 05:00 PM,NA ,NA ,20-Dec-2025 10:00 AM,08-Jan-2026 05:00 PM,"6,000","BDO, KHALLIKOTE","BDO, KHALLIKOTE",No,"22,030",Yes,percentage,1.0%,"BDO, KHALLIKOTE","BDO, KHALLIKOTE","BLOCK DEVELOPMENT OFFICER, KHALLIKOTE","OFFICE OF THE PANCHAYAT SAMITI, KHALLIKOTE",1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Ganjam||KHALLIKOTE Block,KHA/DTCN/03/2025-26,2025_PRBKI_123518_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Offline,No,No,No,AOC,"Block Development Officer, Khallikote",Internal,"Asst. Engineer, Section Officer, Asst. Executive Engineer, Block Finance Officer",DEBASHIS SAMAL,11-Mar-2026 03:57 PM,finsummary_572448.pdf (839.36 KB),Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Ganjam||KHALLIKOTE Block,2025_PRBKI_123518_4,KHA/DTCN/03/2025-26,CONSTRUCTION OF 50MT GODOWN AND OFFICE BUILDING AT PALADHUAPALLI SCS,1.0,3348563.0,LAXMI BEHERA,INR,"1,872,730",Finance,As per final comperative statement.,DEBASHIS SAMAL,09-Mar-2026 05:27 PM,finance_572448.pdf,BOQ Comparative Chart,1,3348759,AJAYA KUMAR JENA,08-Jan-2026 01:18 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-DD & EMD Amount not submitted in Offline mode.,09-Mar-2026 05:27 PM,13-Mar-2026,"INR 1,872,730",180.0,DEBASHIS SAMAL,11-Mar-2026 04:30 PM,FinalstatementofDTCN03.pdf (839.00 KB),"The bidder Laxmi Behera invited for execute the work in 14.99 less. She agreed and meanwhile, she won in the lottery.","Block Development Officer, Khallikote",Internal,"Asst. Engineer, Section Officer, Asst. Executive Engineer, Block Finance Officer",DEBASHIS SAMAL,09-Mar-2026 05:42 PM,techsummary_572448.pdf (839.36 KB),AOC
2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3347672,CHITARANJAN SAHU,07-Jan-2026 01:30 PM,Rejected-Technical,Quoted rate is not Lower.,09-Mar-2026 05:42 PM,,,,,,,,,,,,,,AOC
3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3347449,DURGA CHARAN GOUDA,07-Jan-2026 11:35 AM,Rejected-Technical,Quoted rate is not Lower.,09-Mar-2026 05:42 PM,,,,,,,,,,,,,,AOC
4.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3348563,LAXMI BEHERA,08-Jan-2026 03:39 PM,Accepted-AOC,Agreed for 14.99 less and won in the lottery,11-Mar-2026 04:31 PM,,,,,,,,,,,,,,AOC
5.0,TD- Term Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3347809,SANTOSH KUMAR DALEI,07-Jan-2026 03:28 PM,Rejected-Technical,Loss in Lotery,09-Mar-2026 05:42 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3348793,SAROJ KUMAR SAHU,08-Jan-2026 01:38 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-DD & EMD Amount not submitted in Offline mode.,09-Mar-2026 05:27 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3348983,SUSRI MITA PANIGRAHI,08-Jan-2026 03:26 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-DD & EMD Amount not submitted in Offline mode.,09-Mar-2026 05:27 PM,,,,,,,,,,,,,,AOC
