Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
"Er Swagat Chandan Nayak, Additional Chief Engineer, P.H Division, Sambalpur",Internal,,SWAGAT CHANDAN NAYAK,18-Mar-2026 12:34 PM,techsummary_571336.pdf (18.34 KB),1.0,3321016.0,M/S RAJENDRA SAHU,INR,"3,195,485",PHEO||SEPH-CIRCLE-SAMBALPUR||EEPH-DIVN-SAMBALPUR,2025_PHEO_123043_1,SEPHSBP-08/2025-26 Dt. 04.12.2025,"Upgradation of existing external power supply system at 15 MLD WTP, Kantapali, Bargarh",1,3322809,Jay Maa Engineering,22-Dec-2025 03:29 PM,Rejected-AOC,NOT OK,18-Mar-2026 12:51 PM,18-Mar-2026,"INR 3,195,485",90.0,SWAGAT CHANDAN NAYAK,18-Mar-2026 12:50 PM,AOC.pdf (626.00 KB),AWARD OF CONTRACT,Finance,Bid opening Summary,SWAGAT CHANDAN NAYAK,23-Dec-2025 11:49 AM,finance_571336.pdf,BOQ Comparative Chart,"Er Swagat Chandan Nayak, Additional Chief Engineer, P.H Division, Sambalpur",Internal,,SWAGAT CHANDAN NAYAK,18-Mar-2026 12:41 PM,finsummary_571336.pdf (949.72 KB),AOC,"Upgradation of existing external power supply system at 15 MLD WTP, Kantapali, Bargarh","Upgradation of existing external power supply system at 15 MLD WTP, Kantapali, Bargarh",Please refer Tender documents. ,NA ,"39,38,000",Electrical Works,NA ,Tender,120.0,90.0,BARGARH,768028.0,NA ,NA ,NA ,SAMBALPUR,No ,No,12-Dec-2025 10:55 AM,23-Dec-2025 11:30 AM,12-Dec-2025 10:55 AM,22-Dec-2025 05:00 PM,12-Dec-2025 10:55 AM ,15-Dec-2025 05:00 PM ,12-Dec-2025 10:55 AM,22-Dec-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost, RC, GST, PAN, Check List Schedules, Affidavits and other documents as per DTCN",1,ICICI BANK,PHEO||SEPH-CIRCLE-SAMBALPUR||EEPH-DIVN-SAMBALPUR,SEPHSBP-08/2025-26 Dt. 04.12.2025,2025_PHEO_123043_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,"39,380",Yes,percentage,1.0%,Nil,Nil,"SUPERINTENDING ENGINEER, P.H DIVISION, SAMBALPUR","Additional Chief Engineer, O/o Superintending Engineer P.H. Division, Sambalpur, Brooks Hill, Near Stadium, At/Po- Motijharan, Dist- Sambalpur-768 001",AOC
,,,,,,,,,,,,,,,2,3321016,M/S RAJENDRA SAHU,21-Dec-2025 08:02 PM,Accepted-AOC,OK,18-Mar-2026 12:51 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
