Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
Executive Engineer,Internal,"Estimator, DAO,EE",Jay Prakash Soren,02-Mar-2026 05:28 PM,techsummary_576347.pdf (667.64 KB),07-Mar-2026,"INR 423,663",30.0,Jay Prakash Soren,07-Mar-2026 11:23 AM,wo03.pdf (225.00 KB),1,3367063,AKASH BISSOI,26-Jan-2026 11:06 PM,Rejected-AOC,Disqualified in transparent lottery,07-Mar-2026 11:23 AM,Finance,Tender Opening,Shiba Sankar Mohanta,26-Feb-2026 06:10 PM,finance_576347.pdf,BOQ Comparative Chart,1.0,3364377.0,KISHAN LIMA,INR,"423,663",CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,2026_CERWI_124742_1,EERWNGP Online 09 2025 26,SR to Meeting Hall Building in Rural Works Division Office premises in Nandahandi Block for the year 2025 26,Executive Engineer,Internal,"Estimator,DAO,EE",Jay Prakash Soren,02-Mar-2026 05:37 PM,finsummary_576347.pdf (667.64 KB),AOC,SR to Meeting Hall Building in Rural Works Division Office premises in Nandahandi Block for the year 2025 26,SR to Meeting Hall Building in Rural Works Division Office premises in Nandahandi Block for the year 2025 26,NA ,NA ,"4,98,223",Civil Works - Buildings,NA ,Tender,90.0,30.0,Nabarangapur,764059.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, NAWARANGPUR",No ,No,19-Jan-2026 10:00 AM,28-Jan-2026 11:00 AM,19-Jan-2026 10:00 AM,27-Jan-2026 03:00 PM,19-Jan-2026 10:00 AM ,27-Jan-2026 03:00 PM ,19-Jan-2026 10:00 AM,27-Jan-2026 03:00 PM,"4,982",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,Executive Engineer,"RURAL WORKS DIVISION-I, NAWARANGPUR","2,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,EERWNGP Online 09 2025 26,2026_CERWI_124742_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,License PAN Card GSTIN and Affidavit as per DTCN,AOC
,,,,,,,,,,,,2,3366920,AMLAN JYOTI MADALA,26-Jan-2026 09:47 PM,Rejected-AOC,Disqualified in transparent lottery,07-Mar-2026 11:23 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,AOC
,,,,,,,,,,,,3,3365267,ANNAPURNA SAHU,25-Jan-2026 02:13 PM,Rejected-AOC,Disqualified in transparent lottery,07-Mar-2026 11:23 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,4,3366828,ANSHUMAN KHADGARAY,27-Jan-2026 12:29 PM,Rejected-AOC,Disqualified in transparent lottery,07-Mar-2026 11:23 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,5,3364085,ASHOK MOHANTY,23-Jan-2026 02:19 PM,Rejected-AOC,Disqualified in transparent lottery,07-Mar-2026 11:23 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,6,3366048,GOURISANKAR MISHRA,26-Jan-2026 08:42 PM,Rejected-AOC,Disqualified in transparent lottery,07-Mar-2026 11:23 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,7,3364012,Hemanta Kumar Bhakta,23-Jan-2026 01:20 PM,Rejected-AOC,Disqualified in transparent lottery,07-Mar-2026 11:23 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,8,3364377,KISHAN LIMA,23-Jan-2026 08:06 PM,Accepted-AOC,Awarded of Contract,07-Mar-2026 11:23 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,9,3364704,M/S ABANI KUMAR MISHRA,25-Jan-2026 01:48 PM,Rejected-AOC,Disqualified in transparent lottery,07-Mar-2026 11:23 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,10,3367374,M/S RIYAN BUILDERS PROPRIETOR SITARAM BISSOYI,27-Jan-2026 11:13 AM,Rejected-AOC,Disqualified in transparent lottery,07-Mar-2026 11:23 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
