Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
S/R to RD road to Laxmiprasad Road,S/R to RD road to Laxmiprasad Road,Please refer Tender documents. ,NA ,"8,47,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Khordha,751013.0,NA ,NA ,NA ,O/o the SE RWD BBSR,No ,No,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,Tender Online Divn. BBSR - 34/2025-26,2026_CERWI_124978_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,SE RWD BBSR,O/o the SE RWD BBSR,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Cost EMD GSTIN PAN Contractor RC Affidavits undertakings and any other document as per DTCN,22-Jan-2026 05:00 PM,31-Jan-2026 11:00 AM,22-Jan-2026 05:00 PM,30-Jan-2026 05:00 PM,NA ,NA ,22-Jan-2026 05:00 PM,30-Jan-2026 05:00 PM,"8,470",Yes,percentage,1.0%,Nil,Nil,AOC,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,2026_CERWI_124978_5,Tender Online Divn. BBSR - 34/2025-26,S/R to RD road to Laxmiprasad Road,SE RWD BBSR,Internal,Sr DAO AEE and Estimator,Nirmal Chandra Jena,02-Mar-2026 06:17 PM,finsummary_577407.pdf (264.66 KB),Finance,4 nos of bidder are participated,Shrabani Routray,31-Jan-2026 11:56 AM,,BOQ Comparative Chart,1.0,3368981.0,JAGABANDHU BISWAL,INR,"588,454",02-Mar-2026,"INR 588,454",30.0,Nirmal Chandra Jena,02-Mar-2026 06:19 PM,2126.pdf (265.00 KB),AoC,1,3368981,JAGABANDHU BISWAL,27-Jan-2026 05:38 PM,Accepted-AOC,L1 Bidder,02-Mar-2026 06:19 PM,SE RWD BBSR,Internal,Sr DAO AEE and Estimator,Nirmal Chandra Jena,02-Mar-2026 06:15 PM,techsummary_577407.pdf (264.66 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3374530,JANHABI KUMAR PAIKARATHI,30-Jan-2026 04:12 PM,Rejected-Finance,Quoted rate,02-Mar-2026 06:17 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3372644,KEDARNATH ROUTARAY,30-Jan-2026 04:44 PM,Rejected-Finance,Quoted rate,02-Mar-2026 06:17 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3374516,SARTHAK INFRA AND ASSOCIATES,30-Jan-2026 04:07 PM,Rejected-Finance,Quoted rate,02-Mar-2026 06:17 PM,,,,,,,AOC
