EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"7,990",Yes,fixed,,Nil,Nil,Orissa Mining Corporation,NIT No.12/OMC/CIVIL/2025,2025_OMC_117001_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"GM(C), OMC Ltd.","Office of the GM(C), OMC Ltd., Bhubaneswar",1.0,ICICI BANK,"4,720",0.0,Nil,Nil,No,Painting of QDS Platfrom at B-Block Exit at Guali Mines in the District of Keonjhar.,Painting of QDS Platfrom at B-Block Exit at Guali Mines in the District of Keonjhar.,"RC, EPF Regd., GSTN, PAN, Registration in CDMS portal, Affidavits, experience, etc. as per DTCN requirements.  ",NA ,"7,99,000",Civil Works - Others,NA ,Tender,180.0,90.0,GUALI MINES,758034.0,NA ,NA ,NA ,"OMC Ltd., Bhubaneswar",No ,No,1.0,Fee/PreQual/Technical,.pdf,"RC, EPF Regd., GSTN, PAN, Registration in CDMS portal, Affidavits, experience, etc. as per DTCN requ",19-Aug-2025 10:00 AM,30-Aug-2025 11:00 AM,19-Aug-2025 10:00 AM,29-Aug-2025 05:00 PM,NA ,NA ,19-Aug-2025 10:00 AM,29-Aug-2025 05:00 PM,09-Oct-2025 05:00 PM,AOC,Finance,Financial bid of 10 (Ten) qualified bidders had been open out of 11 (Eleven) bids.,MINAKETAN DAS,09-Oct-2025 05:04 PM,,BOQ Comparative Chart,27-Feb-2026,"INR 679,273.22",90.0,Sidharth Pattnaik,10-Mar-2026 03:22 PM,2025_OMC_117001_1.pdf (369.00 KB),Painting of QDS Platfrom at B-Block Exit at Guali Mines in the District of Keonjhar.,1.0,3054010.0,JALI DHIR,INR,"679,273.22",Technical,11 (Eleven) bids has been received subjected to evaluation by committee,MINAKETAN DAS,30-Aug-2025 12:56 PM,,R K PANDA,Internal,S PADHI BANITA PATRA J K MEKAP,Sidharth Pattnaik,27-Feb-2026 11:18 AM,finsummary_549706.pdf (417.52 KB),Orissa Mining Corporation,2025_OMC_117001_1,NIT No.12/OMC/CIVIL/2025,Painting of QDS Platfrom at B-Block Exit at Guali Mines in the District of Keonjhar.,1,3053914,ANNAPURNA PATRA,29-Aug-2025 04:20 PM,Rejected-Finance,NOT BEING L1,27-Feb-2026 11:18 AM,R K PANDA,Internal,S PADHI BANITA PATRA J K MEKAP,Sidharth Pattnaik,08-Oct-2025 04:52 PM,09-Oct-2025 05:00 PM,techsummary_549706.pdf (1706.66 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3055044,ARUP DAS,29-Aug-2025 04:09 PM,Rejected-Finance,NOT BEING L1,27-Feb-2026 11:18 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3052488,BADAL KUMAR SAHOO,28-Aug-2025 03:18 PM,Rejected-Finance,NOT BEING L1,27-Feb-2026 11:18 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3053800,BANI RANJAN NAYAK,29-Aug-2025 12:52 PM,Rejected-Finance,NOT BEING L1,27-Feb-2026 11:18 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3054010,JALI DHIR,29-Aug-2025 01:14 PM,Accepted-AOC,L1,10-Mar-2026 03:23 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3053292,KAIBALYA INFRA ENTERPRISE,28-Aug-2025 10:08 PM,Rejected-Finance,NOT BEING L1,27-Feb-2026 11:18 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3052783,LAXMIPRIYA NISHANK,28-Aug-2025 03:43 PM,Rejected-Finance,NOT BEING L1,27-Feb-2026 11:18 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3049503,MALAYA KUMAR ROUT,27-Aug-2025 11:23 AM,Rejected-Finance,NOT BEING L1,27-Feb-2026 11:18 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3055086,MURALIDHAR BISWAL,29-Aug-2025 04:16 PM,Rejected-Technical,Disqalified due to non submission ofrelevent documents as per clause 2.3 ii,08-Oct-2025 04:52 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3055133,RANJAY KUMAR SAHOO,29-Aug-2025 04:33 PM,Rejected-Finance,NOT BEING L1,27-Feb-2026 11:18 AM,,,,,,,,AOC
