Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,ALL BID DOCUMENTS ARE DOWNLOADED,Jyoti Ranjan Pradhan,01-Aug-2025 06:36 PM,,BOQ Comparative Chart,1.0,3016251.0,M/S SHREE INDUSTRIES,INR,"473,937.24",Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Bhubaneswar,2025_CEMWR_115808_1,SE/MDB-05/W/2025-26,"Supply, Fabrication, Transportaion, Erection and Commissioning of Gates and hoists of Rajkhama Sluice under Khordha Irrigation Division, Khordha for the year of 2025-26.","SE, MECHANICAL DIVIDION, BHUBANESWAR",Internal,"DAO, ESTIMATOR",Jyoti Ranjan Pradhan,28-Mar-2026 04:41 PM,finsummary_546692.pdf (396.00 KB),"SE, MECHANICAL DIVIDION, BHUBANESWAR",Internal,"DAO, ESTIMATOR",Jyoti Ranjan Pradhan,28-Mar-2026 04:22 PM,techsummary_546692.pdf (508.12 KB),1,3014636,"ACHYUTA NANDA SWAIN ,PROPRIETOR M/S. ADITYA ENTERPRISER.",29-Jul-2025 08:59 PM,Rejected-Finance,LOOSER OF THE LOTTERY,28-Mar-2026 04:41 PM,28-Mar-2026,"INR 473,937.24",20.0,Jyoti Ranjan Pradhan,28-Mar-2026 05:06 PM,05AOC.pdf (479.00 KB),AOC,1.0,ICICI BANK,22-Jul-2025 10:00 AM,01-Aug-2025 12:00 PM,22-Jul-2025 10:00 AM,31-Jul-2025 05:30 PM,22-Jul-2025 10:00 AM ,31-Jul-2025 05:30 PM ,22-Jul-2025 10:00 AM,31-Jul-2025 05:30 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, GST, PAN, AFFIDAVIT AND ALL OTHER DOCUMENTS AS PER DTCN","SUPERINTENDING ENGINEER, MECHANICAL DIVISION, BBSR","O/O THE SUPERINTENDING ENGINEER, MECHANICAL DIVISION, BBSR","Supply, Fabrication, Transportaion, Erection and Commissioning of Gates and hoists of Rajkhama Sluice under Khordha Irrigation Division, Khordha for the year of 2025-26.","Supply, Fabrication, Transportaion, Erection and Commissioning of Gates and hoists of Rajkhama Sluice under Khordha Irrigation Division, Khordha for the year of 2025-26.",Please refer Tender documents. ,NA ,"5,57,508",Mechanical Works,NA ,Tender,90.0,20.0,"RAJKHAMA, KHORDHA",752055.0,NA ,NA ,NA ,BHUBANESWART,No ,No,Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Bhubaneswar,SE/MDB-05/W/2025-26,2025_CEMWR_115808_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"5,600",No,fixed,,Nil,Nil,"4,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3015096,BANASHREE BHUYAN,31-Jul-2025 12:14 PM,Rejected-Finance,LOOSER OF THE LOTTERY,28-Mar-2026 04:41 PM,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3014994,LAXMIDHRA BHUYAN,30-Jul-2025 11:09 PM,Rejected-Finance,LOOSER OF THE LOTTERY,28-Mar-2026 04:41 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3009879,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,30-Jul-2025 08:13 PM,Rejected-Finance,LOOSER OF THE LOTTERY,28-Mar-2026 04:41 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3009911,M/s. BHAGABATI INDUSTRIES Prop. NIRANJAN PANDA,30-Jul-2025 08:20 PM,Rejected-Finance,LOOSER OF THE LOTTERY,28-Mar-2026 04:41 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3019082,M/S JAGANNATH AGRICULTURAL IMPLEMENTS WORKSHOP,31-Jul-2025 01:08 PM,Rejected-Finance,LOOSER OF THE LOTTERY,28-Mar-2026 04:41 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3018739,M/S KALINGA METAL PRODUCT (PROP. SMT BASANTILATA MOHANTY,31-Jul-2025 07:42 AM,Rejected-Finance,LOOSER OF THE LOTTERY,28-Mar-2026 04:41 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3018719,"M/S MOHANTY INDUSTRIAL ENTERPRISERS -PROPRIETOR ,MALAYA KUMAR MOHANTY",31-Jul-2025 07:34 AM,Rejected-Finance,LOOSER OF THE LOTTERY,28-Mar-2026 04:41 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3016251,M/S SHREE INDUSTRIES,30-Jul-2025 05:40 PM,Accepted-AOC,SUCCESSFUL BIDDER AND LOTTERY WINNER,28-Mar-2026 05:06 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3013609,"Shree Jagannath Steel Industries, Prop. KRUSHNA CHANDRA SASMAL",27-Jul-2025 03:22 PM,Rejected-Finance,LOOSER OF THE LOTTERY,28-Mar-2026 04:41 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
