Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Puri||NIMAPADA Block,PSN-1/2025-26,2025_ZPNIM_122587_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,BDO NIMAPADA,PANCHAYAT SAMITI NIMAPADA,"CONSTRUCTION OF KALYAN MANDAP CUM MULTIPURPOSE HALL, AT MOUZA_NADHANA OF BHOGASALADA G.P OVER KHATTA NO_305 PLOT NO _440 NIMAPADA_DIST_PURI_ODISHA","CONSTRUCTION OF KALYAN MANDAP CUM MULTIPURPOSE HALL, AT MOUZA_NADHANA OF BHOGASALADA G.P OVER KHATTA NO_305 PLOT NO _440 NIMAPADA_DIST_PURI_ODISHA",PLEASE REFER DTCN ,NA ,"69,18,388",Civil Works - Buildings,NA ,Tender,180.0,180.0,PANCHAYAT SAMITI NIMAPADA,752106.0,NA ,NA ,NA ,PANCHAYAT SAMITI NIMAPADA,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, PAN, GST, Registration Certificate, Experience Certificate etc",1.0,ICICI BANK,"69,184",Yes,percentage,1.0%,Nil,Nil,"10,000",Nil,Nil,No,05-Dec-2025 01:00 PM,20-Dec-2025 11:00 AM,05-Dec-2025 01:00 PM,19-Dec-2025 05:00 PM,NA ,NA ,05-Dec-2025 01:00 PM,19-Dec-2025 05:00 PM,08-Jan-2026 11:00 AM,AOC,1,3313686,ABHIJIT SWAIN,18-Dec-2025 01:14 PM,Rejected-AOC,Rijected,13-Mar-2026 07:23 AM,11-Mar-2026,"INR 6,918,388.57",180.0,ABHIJEET SARANGI,13-Mar-2026 07:23 AM,1.pdf (1529.00 KB),BDO,Internal,Block_Development_Officer_Nimapada_Chairman_Block_Finance_Officer_Member_Convener_Assistant_Executive_Engineer_Member_SO_CUM_Accountant_Member_Computer_Programmer_Member_Junior_Engineer_Member_Junior_,ABHIJEET SARANGI,07-Jan-2026 10:42 PM,08-Jan-2026 11:00 AM,techsummary_569456.pdf (1244.99 KB),Finance,Tender Admitted,ABHIJEET SARANGI,08-Jan-2026 10:52 PM,finance_569456.pdf,BOQ Comparative Chart,Technical,E_Tender Admitted,ABHIJEET SARANGI,20-Dec-2025 10:58 PM,technical_569456.pdf,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Puri||NIMAPADA Block,2025_ZPNIM_122587_1,PSN-1/2025-26,"CONSTRUCTION OF KALYAN MANDAP CUM MULTIPURPOSE HALL, AT MOUZA_NADHANA OF BHOGASALADA G.P OVER KHATTA NO_305 PLOT NO _440 NIMAPADA_DIST_PURI_ODISHA",BDO,Internal,ADDL_BDO_AEE_NIMAPADA1_AEE_NIMAPADA2_BFO_SRA_AE_CP_SKD,ABHIJEET SARANGI,08-Mar-2026 06:46 PM,finsummary_569456.pdf (936.71 KB),1.0,3317505.0,BHAJAMAN SAHOO,INR,"6,918,388.57",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Notic,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,AOC,2,3316750,Amiya Ranjan Barik,19-Dec-2025 02:16 PM,Rejected-AOC,Rijected,13-Mar-2026 07:23 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,,,,,,,,,,,,,,,,,,,,,,AOC,3,3317505,BHAJAMAN SAHOO,19-Dec-2025 03:46 PM,Accepted-AOC,Finalized as L1 through transparent Lottery system,13-Mar-2026 07:23 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,AOC,4,3317653,CHANDRAKANTA BARAL,19-Dec-2025 04:49 PM,Rejected-AOC,Rijected,13-Mar-2026 07:23 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3316681,Chinmaya Khuntia,19-Dec-2025 12:47 PM,Rejected-AOC,Rijected,13-Mar-2026 07:23 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3317479,DIPTIREKHA BEHERA,19-Dec-2025 03:47 PM,Rejected-AOC,Rijected,13-Mar-2026 07:23 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3317791,JAGADISH MALLICK,19-Dec-2025 04:57 PM,Rejected-AOC,Rijected,13-Mar-2026 07:23 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3317182,JITENDRA PRASAD BEHERA,19-Dec-2025 02:32 PM,Rejected-AOC,Rijected,13-Mar-2026 07:23 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3314554,LAXMIDHAR SETHY,18-Dec-2025 04:05 PM,Rejected-AOC,Rijected,13-Mar-2026 07:23 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3317763,RAMA CHANDRA NAYAK,19-Dec-2025 04:48 PM,Rejected-AOC,Rijected,13-Mar-2026 07:23 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,11,3315303,SANJEEV KUMAR NAYAK,19-Dec-2025 03:53 PM,Rejected-AOC,Rijected,13-Mar-2026 07:23 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,12,3315632,SUBASH CHANDRA SAHOO,19-Dec-2025 11:43 AM,Rejected-AOC,Rijected,13-Mar-2026 07:23 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
