Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
S/R to Jenapur Police Station building at Jenapur for the year 2025-26,S/R to Jenapur Police Station building at Jenapur for the year 2025-26,NA ,NA ,"5,03,286",Civil Works - Buildings,NA ,Tender,90.0,30.0,Jajpur,755050.0,NA ,NA ,NA ,Jaraka,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost,EMD,RC,PAN,GST,NRC,Affidavit regarding corectness certificate and other docs as per DTCN",CE RW I||RWCIRCLE-KENDRAPARA||RW Division II-Jajpur,Tender Online JJPR-II-05 of 2025-26,2025_CERWI_123723_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,Divisional Officer,"O/o the Superintending Engineer, Rural Works Division-II, Jajpur at Jaraka","4,000",0.0,Nil,Nil,No,23-Dec-2025 05:00 PM,30-Dec-2025 11:00 AM,23-Dec-2025 05:00 PM,29-Dec-2025 05:00 PM,23-Dec-2025 05:00 PM ,26-Dec-2025 05:00 PM ,23-Dec-2025 05:00 PM,29-Dec-2025 05:00 PM,"5,040",Yes,fixed,,Nil,Nil,AOC,1,3328005,ALOK KUMAR PRUSTY,25-Dec-2025 05:15 PM,Rejected-Finance,Not selected in the lottery,22-Jan-2026 04:40 PM,23-Jan-2026,"INR 427,844",30.0,Puspanjali Behera,10-Mar-2026 01:44 PM,170.pdf (64.00 KB),Superintending Engineer,Internal,"DAO, Estimator",Puspanjali Behera,22-Jan-2026 04:35 PM,techsummary_573098.pdf (349.09 KB),CE RW I||RWCIRCLE-KENDRAPARA||RW Division II-Jajpur,2025_CERWI_123723_1,Tender Online JJPR-II-05 of 2025-26,S/R to Jenapur Police Station building at Jenapur for the year 2025-26,Superintending Engineer,Internal,DAO. Estimator,Puspanjali Behera,22-Jan-2026 04:40 PM,finsummary_573098.pdf (390.45 KB),Finance,Downloaded,Puspanjali Behera,22-Jan-2026 04:32 PM,,BOQ Comparative Chart,1.0,3330618.0,CHANDRA BHANU SETHY,INR,"427,844",AOC
,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,AOC,2,3336661,ANIL KUMAR MOHANTY,29-Dec-2025 01:45 PM,Rejected-Finance,Not selected in the lottery,22-Jan-2026 04:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3336137,ASHOK DALAI,29-Dec-2025 12:21 PM,Rejected-Finance,Not selected in the lottery,22-Jan-2026 04:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3330618,CHANDRA BHANU SETHY,26-Dec-2025 07:48 PM,Accepted-AOC,The work has been awarded to Sri Chandrabhanu Sethy,10-Mar-2026 01:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3336663,RABI SETHI,29-Dec-2025 01:35 PM,Rejected-Finance,Not selected in the lottery,22-Jan-2026 04:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3336152,RAJARANI CONSTRUCTIONS,29-Dec-2025 04:49 PM,Rejected-Finance,Not selected in the lottery,22-Jan-2026 04:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3333657,RANJAN KUMAR SETHY,28-Dec-2025 12:54 PM,Rejected-Finance,Not selected in the lottery,22-Jan-2026 04:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3337261,SRIDHAR BEHERA,29-Dec-2025 03:04 PM,Rejected-Finance,Not selected in the lottery,22-Jan-2026 04:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3327601,SUBHASHREE SUBHALAXMI SATAPATHY,25-Dec-2025 01:24 PM,Rejected-Finance,Not selected in the lottery,22-Jan-2026 04:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3326036,SUDARSINEE NAYAK,24-Dec-2025 06:59 PM,Rejected-Finance,Not selected in the lottery,22-Jan-2026 04:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
