Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,All Contractors have quoted SOR and accepted,Ansuman Parida,21-Feb-2026 03:57 PM,finance_579846.pdf,BOQ Comparative Chart,1.0,3393574.0,M/S UDAYA JYOTI MOHANTY,INR,"140,610",Municipal Bodies||Nilgiri NAC,2026_ORULB_125660_21,NLGN_06-MSBY/2025-26,Development and maintenance of Covered Drain in different places of W.No.11.,1,3394139,ASHOK KUMAR MOHAPATRA,12-Feb-2026 08:24 PM,Rejected-AOC,L9,19-Mar-2026 01:15 PM,19-Mar-2026,"INR 140,610",30.0,Ansuman Parida,19-Mar-2026 01:15 PM,WO21.pdf (325.00 KB),"Chairman, Nilgiri NAC",Internal,,Ansuman Parida,23-Feb-2026 12:22 PM,techsummary_579846.pdf (441.69 KB),"Chairman, Nilgiri NAC",Internal,,Ansuman Parida,19-Mar-2026 01:06 PM,finsummary_579846.pdf (441.69 KB),AOC,Development and maintenance of Covered Drain in different places of W.No.11.,Development and maintenance of Covered Drain in different places of W.No.11.,Please refer Tender documents. ,NA ,"1,40,613",Civil Works - Others,NA ,Tender,180.0,NA ,Nilgiri NAC,756040.0,NA ,NA ,NA ,O/O Nilgiri NAC,No ,No,07-Feb-2026 10:00 AM,17-Feb-2026 11:00 AM,07-Feb-2026 10:00 AM,13-Feb-2026 05:00 PM,NA ,NA ,07-Feb-2026 10:00 AM,13-Feb-2026 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit, PAN and as per DTCN",600.0,0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Corrigendum for Technical BID,Financial Bid,,"Executive Officer, Nilgiri NAC","Nilgiri NAC, Nilgiri, Balasore, 756040","1,406",Yes,percentage,1.0%,Nil,Nil,Municipal Bodies||Nilgiri NAC,NLGN_06-MSBY/2025-26,2026_ORULB_125660_21,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,2,3395116,DHARAMJIT NAYAK,13-Feb-2026 03:52 PM,Rejected-AOC,L17,19-Mar-2026 01:15 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3394411,KANCHAN MOHAPATRA,12-Feb-2026 11:52 PM,Rejected-AOC,L12,19-Mar-2026 01:15 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3394668,KRUSHNA CHANDRA PARIDA,13-Feb-2026 12:03 PM,Rejected-AOC,L14,19-Mar-2026 01:15 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3394933,KRUTIBASH NANDA,13-Feb-2026 02:04 PM,Rejected-AOC,L15,19-Mar-2026 01:15 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3393574,M/S UDAYA JYOTI MOHANTY,12-Feb-2026 09:40 PM,Accepted-AOC,L1,19-Mar-2026 01:15 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3393217,NILAMBAR MOHAPATRA,12-Feb-2026 08:35 AM,Rejected-AOC,l4,19-Mar-2026 01:15 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3394346,PARTHASARATHI NAYAK,12-Feb-2026 10:36 PM,Rejected-AOC,l11,19-Mar-2026 01:15 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3393957,Pritam Kumar Mallik,12-Feb-2026 05:40 PM,Rejected-AOC,L2,19-Mar-2026 01:15 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3394603,RABINDRA NATH PARIDA,13-Feb-2026 01:23 PM,Rejected-AOC,L13,19-Mar-2026 01:15 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
