Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
Finance,As Per Tender Commiitee,RUSI MAJHI,23-Mar-2026 01:35 PM,finance_576611.pdf,BOQ Comparative Chart,1.0,3367412.0,SANJIB KUMAR BEDBAK,INR,"1,695,138.33",Municipal Bodies||Sonepur Municipal Council,2026_ORULB_124735_45,SNP-MUN-34/2025-26,DEVLOPMENT OF MAIN ROAD FORM GUNICHA MANDIR TO KUMHARPADA IN W.NO-06,1,3372868,Anjali Purohit,30-Jan-2026 08:51 PM,Rejected-Finance,Lottery Looser,25-Mar-2026 07:57 AM,25-Mar-2026,"INR 1,695,138.33",60.0,RUSI MAJHI,25-Mar-2026 08:05 AM,45WorkOrder.pdf (481.00 KB),As Per Work Order,Tamasi Tamasmita Nayak,Internal,Executive Officer Municipal Engineer APD Finance Accountant,RUSI MAJHI,24-Mar-2026 08:56 AM,techsummary_576611.pdf (945.25 KB),Tamasi Tamasmita Nayak,Internal,Executive Officer Municipal Engineer APD Finance Accountant,RUSI MAJHI,25-Mar-2026 07:57 AM,finsummary_576611.pdf (945.25 KB),AOC,20-Jan-2026 11:00 AM,06-Feb-2026 11:00 AM,20-Jan-2026 11:00 AM,05-Feb-2026 05:00 PM,20-Jan-2026 11:00 AM ,05-Feb-2026 05:00 PM ,20-Jan-2026 11:00 AM,05-Feb-2026 05:00 PM,Executive Officer,Sonepur Municipality,Municipal Bodies||Sonepur Municipal Council,SNP-MUN-34/2025-26,2026_ORULB_124735_45,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,DEVLOPMENT OF MAIN ROAD FORM GUNICHA MANDIR TO KUMHARPADA IN W.NO-06,DEVLOPMENT OF MAIN ROAD FORM GUNICHA MANDIR TO KUMHARPADA IN W.NO-06,Please refer Tender documents. ,NA ,"16,95,138",Civil Works - Others,NA ,Tender,90.0,60.0,Sonepur Municipality,767017.0,NA ,NA ,NA ,Sonepur Municipality,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,As per DTCN,"16,951",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,CorrigendumNotice168,Date,,AOC
,,,,,,,,,,,,,,,2,3371568,BENU NAIK,31-Jan-2026 08:02 PM,Rejected-Finance,Lottery Looser,25-Mar-2026 07:57 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,As Per BoQ,,,,,,,2.0,ICICI NEFT/RTGS,,,,,AOC
,,,,,,,,,,,,,,,3,3381564,JAIMADHAB MISHRA,05-Feb-2026 04:36 PM,Rejected-Finance,Lottery Looser,25-Mar-2026 07:57 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3379891,KSHEERABDHI TANAYA GURU,03-Feb-2026 08:23 PM,Rejected-Finance,Lottery Looser,25-Mar-2026 07:57 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3382550,NANDI KISHOR BARIK,05-Feb-2026 04:12 PM,Rejected-Finance,Lottery Looser,25-Mar-2026 07:57 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3380574,PRAMILA PUJAHARI,04-Feb-2026 01:43 PM,Rejected-Finance,Lottery Looser,25-Mar-2026 07:57 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3380708,Pranabandhu Dash,04-Feb-2026 02:40 PM,Rejected-Finance,Lottery Looser,25-Mar-2026 07:57 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3378628,PRATIMA MISHRA,03-Feb-2026 12:35 PM,Rejected-Finance,Lottery Looser,25-Mar-2026 07:57 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3367412,SANJIB KUMAR BEDBAK,30-Jan-2026 04:43 PM,Accepted-AOC,Lottery Owner,25-Mar-2026 08:05 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3371718,Sanjit Seth,29-Jan-2026 11:59 AM,Rejected-Finance,Lottery Looser,25-Mar-2026 07:57 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
