Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,EMD refund,Birendra Nanda,23-Mar-2026 11:06 AM,finance_574128.pdf,BOQ Comparative Chart,Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Birendra Nanda,23-Mar-2026 11:30 AM,techsummary_574128.pdf (3568.75 KB),1,3347195,AMIT KUMAR KESHARI,06-Jan-2026 09:52 PM,Rejected-Technical,By The Tender Committee,23-Mar-2026 11:30 AM,Rourkela Municipal Corporation,2026_RMC_124108_1,MC/RMC/01/2026,"Development of Multi Generation care cluster and Birsa Munda Park in A block Koelnagar, Ward No. 34, Rourkela",Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Birendra Nanda,24-Mar-2026 12:14 PM,finsummary_574128.pdf (3568.75 KB),24-Mar-2026,"INR 4,057,639.39",90.0,Birendra Nanda,24-Mar-2026 12:35 PM,BID01.pdf (3569.00 KB),Awarded to Bijay Kumar Parida,1.0,3346507.0,BIJAY KUMAR PARIDA,INR,"4,057,639.39",AOC,1.0,ICICI BANK,"47,730",Yes,fixed,,Nil,Nil,Rourkela Municipal Corporation,MC/RMC/01/2026,2026_RMC_124108_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Municipal Commissioner, RMC","Rourkela Municipal Corporation, Rourkela",1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit, PAN, GST, EMD, Paper Cost and other documents as per DTCN",02-Jan-2026 06:00 PM,13-Jan-2026 11:00 AM,02-Jan-2026 06:00 PM,12-Jan-2026 05:00 PM,NA ,NA ,02-Jan-2026 06:00 PM,12-Jan-2026 05:00 PM,"6,000",Nil,Nil,No,"Development of Multi Generation care cluster and Birsa Munda Park in A block Koelnagar, Ward No. 34, Rourkela",Works,Please refer Tender documents. ,NA ,"47,73,000",Civil Works - Others,NA ,Tender,90.0,90.0,Rourkela,769012.0,NA ,NA ,NA ,"Rourkela Municipal Corporation, Rourkela",No ,No,AOC
,,,,,,,,,,,,2,3351685,ASHISH KUMAR SAHOO,12-Jan-2026 02:13 PM,Rejected-Technical,By The Tender Committee,23-Mar-2026 11:30 AM,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,3,3346507,BIJAY KUMAR PARIDA,06-Jan-2026 01:01 PM,Accepted-AOC,By The Tender Committee,24-Mar-2026 12:35 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,4,3351495,DEBENDRA KUMAR JENA,12-Jan-2026 01:13 PM,Rejected-Technical,By The Tender Committee,23-Mar-2026 11:30 AM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,5,3350631,DEEPAK KUMAR ROUT,10-Jan-2026 08:32 PM,Rejected-Technical,By The Tender Committee,23-Mar-2026 11:30 AM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,6,3348047,HEMA MINZ,07-Jan-2026 06:00 PM,Rejected-Technical,By The Tender Committee,23-Mar-2026 11:30 AM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,7,3351966,JITENDRA KUMAR SUNDARRAY,12-Jan-2026 04:27 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,23-Mar-2026 11:06 AM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,8,3343813,KALANDI CHARAN SWAIN,11-Jan-2026 08:53 PM,Rejected-Technical,By The Tender Committee,23-Mar-2026 11:30 AM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,9,3348091,MANOJ KUMAR NAYAK,07-Jan-2026 06:24 PM,Rejected-Technical,By The Tender Committee,23-Mar-2026 11:30 AM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,10,3350827,MPower Energy Solutions,12-Jan-2026 04:00 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,23-Mar-2026 11:06 AM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
