Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Executive Engineer,"O/O EE RWD, Bonai",1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,CE RW I||RW-CIRCLE-SUNDARGARH||RW Division Bonai,ONLINE-EEBNI-06 of 2025-26,2026_CERWI_124855_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,20-Jan-2026 06:00 PM,29-Jan-2026 11:00 AM,20-Jan-2026 06:00 PM,28-Jan-2026 05:00 PM,20-Jan-2026 06:00 PM ,27-Jan-2026 05:00 PM ,20-Jan-2026 06:00 PM,28-Jan-2026 05:00 PM,"32,000",Yes,fixed,,Nil,Nil,SR to NH-215 Toda to Kachatola road in the Dist of Sundargarh for the year 2025-26,SR to NH-215 Toda to Kachatola road in the Dist of Sundargarh for the year 2025-26,Please refer Tender documents. ,NA ,"31,18,380",Civil Works - Roads,NA ,Tender,90.0,30.0,Bonai,770038.0,NA ,NA ,NA ,"O/O EE RWD, Bonai",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TPC, EMD, GSTIN, PAN Card, RC, Affidavits, NRC and required documents as per DTCN",AOC,1,3370011,Basanti Tarcila Lakra,28-Jan-2026 01:25 PM,Rejected-Finance,By Lottery,11-Feb-2026 05:55 PM,06-Mar-2026,"INR 2,650,935",30.0,Jajati Keshari Gadanayak,17-Mar-2026 09:48 AM,1054.pdf (641.00 KB),Awarded,Executive Engineer,Internal,"DAO, Executive Engineer",Jajati Keshari Gadanayak,03-Feb-2026 05:54 PM,techsummary_576913.pdf (1058.65 KB),Executive Engineer,Internal,Executive Engineer,Jajati Keshari Gadanayak,11-Feb-2026 05:55 PM,finsummary_576913.pdf (422.21 KB),CE RW I||RW-CIRCLE-SUNDARGARH||RW Division Bonai,2026_CERWI_124855_6,ONLINE-EEBNI-06 of 2025-26,SR to NH-215 Toda to Kachatola road in the Dist of Sundargarh for the year 2025-26,1.0,3370250.0,DILLIP KUMAR SWAIN,INR,"2,650,935",Finance,Admitted,Jajati Keshari Gadanayak,29-Jan-2026 03:42 PM,,BOQ Comparative Chart,AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,2,3369014,BHAVESH JAISWAL,28-Jan-2026 12:23 PM,Rejected-Technical,22.56 less,03-Feb-2026 05:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3369334,BISMAY KUMAR SAHOO,27-Jan-2026 09:48 PM,Rejected-Technical,29.99 less,03-Feb-2026 05:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3370250,DILLIP KUMAR SWAIN,28-Jan-2026 02:07 PM,Accepted-AOC,Awarded,17-Mar-2026 09:48 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3369691,DM Constructions,28-Jan-2026 11:44 AM,Rejected-Finance,By Lottery,11-Feb-2026 05:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3370449,GURDIT DANG,28-Jan-2026 02:58 PM,Rejected-Finance,By Lottery,11-Feb-2026 05:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3370458,KESHAB CHANDRA PATRA,28-Jan-2026 03:01 PM,Rejected-Finance,By Lottery,11-Feb-2026 05:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3370562,LAXMAN KUMAR BAGH,28-Jan-2026 03:39 PM,Rejected-Technical,15.61 less,03-Feb-2026 05:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3369919,NILAKANTHA DAS,28-Jan-2026 01:31 PM,Rejected-Finance,By Lottery,11-Feb-2026 05:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3369298,SANJEEB KUMAR BISWAL,27-Jan-2026 09:08 PM,Rejected-Finance,By Lottery,11-Feb-2026 05:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
