S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
1.0,3353917.0,MINAKSHI TRIPATHY,INR,"1,270,748",Finance,Bid opening,Avijit Barik,05-Mar-2026 03:57 PM,finance_574991.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,,Avijit Barik,05-Mar-2026 04:08 PM,finsummary_574991.pdf (411.23 KB),CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,2026_CERWI_124319_3,SERWSBD Online 09 2025 26,Improvement to RD Road to Mulasankar Road under CWA for the year 2025-26,Superintending Engineer,Internal,,Avijit Barik,05-Mar-2026 04:00 PM,techsummary_574991.pdf (533.71 KB),05-Mar-2026,"INR 1,270,748",60.0,Avijit Barik,05-Mar-2026 04:12 PM,Mulasank.pdf (811.00 KB),1,3354356,ANIL KUMAR NANDA,14-Jan-2026 08:10 PM,Rejected-AOC,Not Qualified,05-Mar-2026 04:12 PM,AOC,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,SERWSBD Online 09 2025 26,2026_CERWI_124319_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Superintending Engineer,"Superintending Engineer R.W Division, Sunabeda",1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid cost, EMD, Registration certificate, GST, PAN, Non relation certificate, others as per DTCN","6,000",0.0,Nil,Nil,No,Improvement to RD Road to Mulasankar Road under CWA for the year 2025-26,Road,Please refer Tender documents. ,NA ,"14,95,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Sunabeda,763001.0,NA ,NA ,NA ,"R.W Division, Sunabeda",No ,No,08-Jan-2026 05:00 PM,17-Jan-2026 11:00 AM,08-Jan-2026 05:00 PM,16-Jan-2026 05:00 PM,NA ,NA ,08-Jan-2026 05:00 PM,16-Jan-2026 05:00 PM,"15,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3354125,Balabhadra Khillo,15-Jan-2026 08:36 AM,Rejected-AOC,Not Qualified,05-Mar-2026 04:12 PM,AOC,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3357033,GUPTA BISOI,16-Jan-2026 01:51 PM,Rejected-AOC,Not Qualified,05-Mar-2026 04:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3353683,JAGANATH BISOI,14-Jan-2026 12:46 PM,Rejected-AOC,Not Qualified,05-Mar-2026 04:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3352278,JANHABI ACHARYA,12-Jan-2026 12:54 PM,Rejected-AOC,Not Qualified,05-Mar-2026 04:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3356804,KAILASH CHANDRA CHOUDHURY,16-Jan-2026 09:30 AM,Rejected-AOC,Not Qualified,05-Mar-2026 04:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3356682,LOKANATH JAYANTI,15-Jan-2026 10:36 PM,Rejected-AOC,Not Qualified,05-Mar-2026 04:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3353917,MINAKSHI TRIPATHY,14-Jan-2026 03:36 PM,Accepted-AOC,Qualified,05-Mar-2026 12:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3356674,MOHAN JANI (S.C),16-Jan-2026 11:29 AM,Rejected-AOC,Not Qualified,05-Mar-2026 04:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3353711,M/S BANABASI ROUT,14-Jan-2026 12:42 PM,Rejected-AOC,Not Qualified,05-Mar-2026 04:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
