Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Chairperson,Internal,"Tahasildar, Block Finance Officer, Bhuban Block, Municipal Engineer, Bhuban NAC, Junior Engineer, Bhuban NAC, Executive Officer,",SURENDRA NATH SAHOO,09-Mar-2026 11:31 AM,techsummary_569523.pdf (2502.02 KB),1,3299045,AJAYA KUMAR SETHY,13-Dec-2025 02:52 AM,Rejected-Technical,CS,09-Mar-2026 11:31 AM,12-Mar-2026,"INR 242,766",60.0,SURENDRA NATH SAHOO,12-Mar-2026 11:53 AM,7_643.pdf (414.00 KB),aoc,1.0,3313370.0,KRISHNA GLOBAL SOLUTIONS,INR,"242,766",Finance,ok,SURENDRA NATH SAHOO,06-Mar-2026 10:40 AM,,BOQ Comparative Chart,Chairperson,Internal,"Tahasildar, Block Finance Officer, Bhuban Block, Municipal Engineer, Bhuban NAC, Junior Engineer, Bhuban NAC, Executive Officer,",SURENDRA NATH SAHOO,09-Mar-2026 12:52 PM,finsummary_569523.pdf (2502.02 KB),Municipal Bodies||Bhuban NAC,2025_ORULB_122602_7,BBN NAC 05/2025-26,Development of Road and Drain from Gouda Sahi CC to Maheswar Khialar House.,AOC,08-Dec-2025 11:00 AM,19-Dec-2025 11:00 AM,08-Dec-2025 11:00 AM,18-Dec-2025 05:00 PM,NA ,NA ,08-Dec-2025 11:00 AM,18-Dec-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,"2,555",Yes,percentage,1.0%,Nil,Nil,1.0,Notice,Other,,1.0,ICICI BANK,Development of Road and Drain from Gouda Sahi CC to Maheswar Khialar House.,Development of Road and Drain from Gouda Sahi CC to Maheswar Khialar House.,Please refer Tender documents. ,NA ,"2,55,516",Civil Works - Others,NA ,Tender,120.0,60.0,Bhuban NAC,759017.0,NA ,NA ,NA ,"Office of the Executive Officer, Bhuban NAC",No ,No,"Executive Officer, Bhuban NAC","Executive Officer, Bhuban NAC",Municipal Bodies||Bhuban NAC,BBN NAC 05/2025-26,2025_ORULB_122602_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"2,000",0.0,Nil,Nil,No,AOC
,,,,,,2,3309540,AJAY KUMAR SAHOO,17-Dec-2025 03:48 PM,Rejected-Technical,CS,09-Mar-2026 11:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,DTCN,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,3,3299024,Babuli Patra,18-Dec-2025 03:26 AM,Rejected-Technical,CS,09-Mar-2026 11:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4,3314107,Bishnu Charan Barik,18-Dec-2025 02:19 PM,Rejected-Technical,CS,09-Mar-2026 11:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5,3312531,CHINMAYEE SAHOO PROP OF SHIVANSH CONSTRUCTION,18-Dec-2025 12:13 AM,Rejected-Technical,CS,09-Mar-2026 11:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,6,3312131,GOURANGA CHARAN BEHERA,17-Dec-2025 11:55 PM,Rejected-Technical,CS,09-Mar-2026 11:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,7,3312306,JITENDRA BEHERA,17-Dec-2025 09:21 PM,Rejected-Technical,CS,09-Mar-2026 11:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,8,3313370,KRISHNA GLOBAL SOLUTIONS,18-Dec-2025 04:03 PM,Accepted-AOC,cs,12-Mar-2026 11:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,9,3312842,Krushna Chandra Das,18-Dec-2025 02:47 AM,Rejected-Technical,CS,09-Mar-2026 11:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,10,3311774,Namita Sahoo,17-Dec-2025 05:27 PM,Rejected-Technical,CS,09-Mar-2026 11:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,11,3312907,Nibedita Pothal,18-Dec-2025 01:09 PM,Rejected-Technical,CS,09-Mar-2026 11:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,12,3300431,PADMABATI SAHU,13-Dec-2025 09:35 PM,Rejected-Technical,CS,09-Mar-2026 11:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,13,3312142,RAKESH KUMAR PRUSTY,18-Dec-2025 02:25 PM,Rejected-Technical,CS,09-Mar-2026 11:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,14,3312485,SASMITA PRUSTY,17-Dec-2025 10:45 PM,Rejected-Technical,CS,09-Mar-2026 11:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,15,3309141,"SUDESHNA BEHERA,MS MAA CHANDI PAVER AND BRICKS",17-Dec-2025 10:51 AM,Rejected-Technical,CS,09-Mar-2026 11:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
