Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
EERW Division Boudh,O/o SERW Division Boudh,"3,730",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,12-Feb-2026 02:00 PM,20-Feb-2026 11:00 AM,12-Feb-2026 02:00 PM,19-Feb-2026 05:00 PM,12-Feb-2026 02:00 PM ,18-Feb-2026 05:00 PM ,12-Feb-2026 02:00 PM,19-Feb-2026 05:00 PM,"2,000",0.0,Nil,Nil,No,NH-224 to Damburagad Up to Maneswar from Ch 1/00 to 1/600Km for the year 2025-26,NH-224 to Damburagad Up to Maneswar from Ch 1/00 to 1/600Km for the year 2025-26,Please refer DTCN ,NA ,"3,72,745",Civil Works - Roads,NA ,Tender,90.0,30.0,O/o SERWDivision Boudh,762014.0,NA ,NA ,NA ,O/o SERWDivision Boudh,No ,No,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-BOUDH,Online Tender19/SERW Division Boudh 2025-26,2026_CERWI_125929_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration certificate, PAN,GSTIN towards paper cost EMD other documents as per DTCN",AOC,1,3403670,Arabinda Nayak,19-Feb-2026 11:55 AM,Rejected-Technical,Disqualified,12-Mar-2026 12:21 PM,12-Mar-2026,"INR 372,373",30.0,Madhusmita Dalei,12-Mar-2026 12:27 PM,2740.pdf (716.00 KB),He is submitted EMD at the time of agreement,EE,Internal,EE DAO estimator,Madhusmita Dalei,12-Mar-2026 12:21 PM,techsummary_580981.pdf (715.79 KB),CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-BOUDH,2026_CERWI_125929_1,Online Tender19/SERW Division Boudh 2025-26,NH-224 to Damburagad Up to Maneswar from Ch 1/00 to 1/600Km for the year 2025-26,EE,Internal,EE DAO estimator,Madhusmita Dalei,12-Mar-2026 12:23 PM,finsummary_580981.pdf (715.79 KB),Finance,17 bidders found,Sagu Naik,20-Feb-2026 07:58 PM,finance_580981.pdf,BOQ Comparative Chart,1.0,3401798.0,Radheshyam Jena,INR,"372,373",AOC
,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,NIT,AOC,2,3401977,Biswanath Patra,18-Feb-2026 01:05 PM,Rejected-Technical,Disqulified,12-Mar-2026 12:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,AOC,3,3404151,DEBASIS PRADHAN,19-Feb-2026 01:50 PM,Rejected-Technical,Disqualified,12-Mar-2026 12:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,4,3402032,IPSIT SAHU,18-Feb-2026 12:50 PM,Rejected-Technical,Disqulified,12-Mar-2026 12:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid phone number and email ID,AOC,5,3404176,MUNITA MAHAKUD,19-Feb-2026 01:56 PM,Rejected-Technical,Disqualified,12-Mar-2026 12:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3402870,PRAFULLA KUMAR PATTANAIK,18-Feb-2026 06:11 PM,Rejected-Technical,Disqulified,12-Mar-2026 12:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3401798,Radheshyam Jena,18-Feb-2026 11:48 AM,Accepted-AOC,He is submitted EMD at the time of agreement,12-Mar-2026 12:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3403970,RENUKA HOTA,19-Feb-2026 01:10 PM,Rejected-Technical,Disqualified,12-Mar-2026 12:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3403693,RUPESH KUMAR KUDEI,19-Feb-2026 11:48 AM,Rejected-Technical,Disqualified,12-Mar-2026 12:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3404277,SAJJAN NAIK,19-Feb-2026 02:32 PM,Rejected-Technical,Disqualified,12-Mar-2026 12:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
