Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"6,000",0.0,Nil,Nil,No,28-Oct-2025 11:00 AM,12-Nov-2025 11:00 AM,28-Oct-2025 11:00 AM,11-Nov-2025 05:00 PM,NA ,NA ,28-Oct-2025 11:00 AM,11-Nov-2025 05:00 PM,Construction of twin staff quarters (2 units non teaching) at Rouldega Sevashram under Balisankara Block,Construction of twin staff quarters (2 units non teaching) at Rouldega Sevashram under Balisankara Block,AS PER DTCN ,NA ,"28,18,557",Civil Works - Buildings,NA ,Tender,90.0,180.0,SUNDARGARH,770001.0,NA ,NA ,NA ,ITDA SUNDARGARH,No ,No,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,1.0,ICICI BANK,ST and SC Development Deptt||ITDA Sundergarh,ITDASNG-04/2025-2026,2025_STSCD_120098_9,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,PROJECT ADMINISTRATOR,ITDA SUNDARGARH,"28,186",Yes,fixed,,Nil,Nil,AOC,COLLECTOR SUNDARGARH,Internal,"PA, ITDA, SUNDARGARH, AEE, ITDA, SUNDARGARH and SE, MI DIVISION, SUNDARGARH",LAXMAN SAHOO,10-Mar-2026 11:29 AM,finsummary_558673.pdf (627.09 KB),ST and SC Development Deptt||ITDA Sundergarh,2025_STSCD_120098_9,ITDASNG-04/2025-2026,Construction of twin staff quarters (2 units non teaching) at Rouldega Sevashram under Balisankara Block,1.0,3210441.0,SUDHIR BHOI,INR,"2,396,055",Finance,tender status,LAXMAN SAHOO,19-Nov-2025 11:22 AM,finance_558673.pdf,BOQ Comparative Chart,10-Mar-2026,"INR 2,396,055",180.0,LAXMAN SAHOO,10-Mar-2026 05:59 PM,SQRauldega.pdf (349.00 KB),AOC,1,3211440,AKSHYA KUMAR PUROHIT,11-Nov-2025 10:58 AM,Rejected-AOC,NOT QUALIFIED,10-Mar-2026 05:59 PM,COLLECTOR SUNDARGARH,Internal,"PA, ITDA, SUNDARGARH, AEE, ITDA, SUNDARGARH and SE, MI DIVISION, SUNDARGARH",LAXMAN SAHOO,10-Mar-2026 11:20 AM,techsummary_558673.pdf (627.09 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"LICENCE, GSTIN, PAN CARD, NO RELATION CERTIFICATE, AFFIDAVITS AND OTHER DOCUMENTS AS PER DTCN",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3171751,ALOK KUMAR NAIK,01-Nov-2025 12:17 PM,Rejected-AOC,NOT QUALIFIED,10-Mar-2026 05:59 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3211226,ANIL KUMAR PUJARI,11-Nov-2025 10:34 AM,Rejected-AOC,NOT QUALIFIED,10-Mar-2026 05:59 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3208288,BIMAL BAIGA,10-Nov-2025 08:54 PM,Rejected-AOC,NOT QUALIFIED,10-Mar-2026 05:59 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3212288,BISWAJEET PATTNAIK,11-Nov-2025 12:48 PM,Rejected-AOC,NOT QUALIFIED,10-Mar-2026 05:59 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3211269,CHITTARANJAN HOTA,11-Nov-2025 10:43 AM,Rejected-AOC,NOT QUALIFIED,10-Mar-2026 05:59 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3186491,DEEPAK KUMAR TOPPO,05-Nov-2025 09:19 PM,Rejected-AOC,NOT QUALIFIED,10-Mar-2026 05:59 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3209904,DUBARAJ MUNDA,11-Nov-2025 01:54 AM,Rejected-AOC,NOT QUALIFIED,10-Mar-2026 05:59 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3182534,GOPIKRISHNA NAIK,04-Nov-2025 09:06 PM,Rejected-AOC,NOT QUALIFIED,10-Mar-2026 05:59 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3200906,KEDAR CHOUDHURY,11-Nov-2025 09:50 AM,Rejected-AOC,NOT QUALIFIED,10-Mar-2026 05:59 PM,,,,,,,AOC
