Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
Construction of Retaining Wall Harizan Sahi in Ward No-15,Construction of Retaining Wall Harizan Sahi in Ward No-15,Please refer Tender documents. ,NA ,"15,03,956",Civil Works - Others,NA ,Tender,60.0,90.0,Construction of Retaining Wall Harizan Sahi in War,754103.0,NA ,NA ,NA ,Jagatsinghpur Municipality,No ,No,"Executive Officer, Jagatsinghpur Municipality","Jagatsinghpur Municipality, Jagatsinghpur",1.0,ICICI BANK,"7,080",0.0,Nil,Nil,No,Municipal Bodies||Jagatsinghpur Municipality,EO/ JSPURM/W-03/2024-25,2025_ORULB_110156_39,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,07-Feb-2025 05:00 PM,25-Feb-2025 11:00 AM,07-Feb-2025 05:00 PM,21-Feb-2025 05:00 PM,NA ,NA ,07-Feb-2025 05:00 PM,21-Feb-2025 05:00 PM,"15,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost,EMD,PAN,GST, Registration, NRC, Declaration,Affidavit,Other as Per DTCN",AOC,Chairperson,Internal,,Manas Ranjan Pal,25-Mar-2025 12:00 PM,techsummary_528940.pdf (1753.49 KB),CHAIRPERSON,Internal,ADDITIONAL TRESURY OFFICER EXECUTIVE OFFICER MUNICIPAL ENGINEER,Manas Ranjan Pal,09-Mar-2026 12:52 PM,finsummary_528940.pdf (5495.11 KB),Finance,Bids opened in online. 13 Nos of Bidder have been participated in Online. All Bid has been accepted.,Manas Ranjan Pal,25-Mar-2025 11:19 AM,,BOQ Comparative Chart,1,2829361,AJAYA KUMAR MOHAPATRA,21-Feb-2025 04:06 PM,Rejected-Finance,REJECTED,09-Mar-2026 12:52 PM,1.0,2827141.0,TOFAN KUMAR SAHOO,INR,"1,278,513",Municipal Bodies||Jagatsinghpur Municipality,2025_ORULB_110156_39,EO/ JSPURM/W-03/2024-25,Construction of Retaining Wall Harizan Sahi in Ward No-15,09-Mar-2026,"INR 1,278,513",90.0,Manas Ranjan Pal,10-Mar-2026 10:41 AM,E82902AOC.pdf (1082.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,AOC,,,,,,,,,,,,,,,,,,,2,2827291,BISWA RANJAN MOHANTY,20-Feb-2025 12:16 PM,Rejected-Finance,REJECTED,09-Mar-2026 12:52 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,2825921,HIMANSU SEKHAR PAITAL,20-Feb-2025 12:03 PM,Rejected-Finance,REJECTED,09-Mar-2026 12:52 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,2824733,MANOJ SINGH,18-Feb-2025 07:29 PM,Rejected-Finance,REJECTED,09-Mar-2026 12:52 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,2826452,NIRUPAMA BEHERA,19-Feb-2025 09:23 PM,Rejected-Finance,REJECTED,09-Mar-2026 12:52 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,2826712,PRADEEP KUMAR DAS,20-Feb-2025 01:35 AM,Rejected-Finance,REJECTED,09-Mar-2026 12:52 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,2806250,PRIYANKA SAHOO,10-Feb-2025 08:44 PM,Rejected-Finance,REJECTED,09-Mar-2026 12:52 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,2807952,RABI NARAYAN SAHOO,10-Feb-2025 09:02 PM,Rejected-AOC,REJECTED,10-Mar-2026 10:41 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,2818291,SARADA PRASAD DAS,14-Feb-2025 06:59 PM,Rejected-Finance,REJECTED,09-Mar-2026 12:52 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,2825992,SARADA PRASANNA NANDA,19-Feb-2025 05:29 PM,Rejected-Finance,REJECTED,09-Mar-2026 12:52 PM,,,,,,,,,,,,,,,,AOC
