S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3145736.0,SUSANTA KUMAR HOTA,INR,"10,001,304",CCE Rayagada,Internal,DAO SE PA to CCE Estimator,Ambikeya Mishra,30-Mar-2026 05:16 PM,finsummary_555560.pdf (494.85 KB),Technical,Technical Bid Opened,Ambikeya Mishra,04-Nov-2025 06:54 PM,technical_555560.pdf,EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB DIVN RAYAGADA I,2025_EICCL_119378_2,CCE R and B RGDA- 05/2025-26,"Construction of 01 no of C type Quarter with 01 no of Servant Quarter for Civil Court at Paralakhemundi in the District of Gajapati, Odisha. (Civil, EI and PH)",Finance,Financial Bid Opened,Ambikeya Mishra,03-Dec-2025 07:11 PM,finance_555560.pdf,BOQ Comparative Chart,CCE,Internal,SE DAO PA to CCE Estimator,Ambikeya Mishra,29-Nov-2025 05:47 PM,02-Dec-2025 04:30 PM,techsummary_555560.pdf (523.52 KB),1,3154545,Dillip Kumar Ghadai,26-Oct-2025 02:06 PM,Rejected-AOC,First Lowest,30-Mar-2026 05:21 PM,30-Mar-2026,"INR 10,001,304",240.0,Ambikeya Mishra,30-Mar-2026 05:21 PM,WO_INo_C_type_Pkd.pdf (2023.00 KB),Work order issued to S K Hota vide letter no. 1239 Dt. 07.02.2026 of SE Pkd,AOC,13-Oct-2025 11:00 AM,28-Oct-2025 11:00 AM,13-Oct-2025 11:00 AM,27-Oct-2025 05:00 PM,13-Oct-2025 11:00 AM ,22-Oct-2025 05:00 PM ,13-Oct-2025 11:00 AM,27-Oct-2025 05:00 PM,02-Dec-2025 04:30 PM,"Construction of 01 no of C type Quarter with 01 no of Servant Quarter for Civil Court at Paralakhemundi in the District of Gajapati, Odisha. (Civil, EI and PH)",Building works,Please refer Tender documents. ,NA ,"1,17,64,855",Civil Works - Buildings,NA ,Tender,90.0,240.0,Paralakhemundi,761200.0,NA ,NA ,NA ,CCE R and B Circle Rayagada,No ,No,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender paper,EMD,PAN,GSTIN,GSTRC,Labour license,Affidavit,Regd Certificate",1.0,ICICI BANK,Chief Construction Engineer,CCE R and B Circle Rayagada PIN 765001,EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB DIVN RAYAGADA I,CCE R and B RGDA- 05/2025-26,2025_EICCL_119378_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"1,18,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3153939,M/S PANI CONSTRUCTION,26-Oct-2025 02:47 PM,Rejected-AOC,First Lowest,30-Mar-2026 05:21 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Experience and other documents as per DTCN.,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3159221,M/S S. KARUNAKAR RAO,27-Oct-2025 02:47 PM,Rejected-AOC,First Lowest,30-Mar-2026 05:21 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3159956,NIMAIN CHARAN DAS,27-Oct-2025 04:10 PM,Rejected-AOC,2nd lowest,30-Mar-2026 05:21 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3159013,Ram Chandra Choudnary,27-Oct-2025 03:30 PM,Rejected-Technical,Dis-Qualified as per Technical Evaluation Sheet (Non furnishing of MOU),29-Nov-2025 05:47 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3134907,RANJAN KUMAR PATRO,18-Oct-2025 05:07 PM,Rejected-AOC,First Lowest,30-Mar-2026 05:21 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3145736,SUSANTA KUMAR HOTA,27-Oct-2025 11:49 AM,Accepted-AOC,First lowest selected through transparent lottery system,30-Mar-2026 05:21 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
