Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
15-Jan-2026,"INR 3,562,431",120.0,Haladhar Sabar,12-Mar-2026 11:23 AM,13_Anwesha.pdf (423.00 KB),Award of Contract for the project Repair and renovation with floor tiles at Anwesha Girls Hostel Malkangiri,ST and SC Development Deptt||ITDA MALKANGIRI,2025_STSCD_117010_13,ITDAMKG-06/2025-26,Repair and renovation with floor tile at Anwesha Girls Hostel,1.0,3045883.0,Simanchal Sabat,INR,"3,562,431",1,3060518,AJIT KUMAR MALLICK,02-Sep-2025 12:39 PM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,Finance,...,CHANDAN KUMAR DALAI,11-Nov-2025 06:46 PM,,BOQ Comparative Chart,ADDITIONAL DISTRICT MAGISTRATE MALKANGIRI,Mixed,"AE RWSS MKG, AE ITDA, Dy Collector, Asst commissioner CT GST PA, ITDA",Haladhar Sabar,07-Nov-2025 07:42 PM,11-Nov-2025 11:00 AM,techsummary_549759.pdf (2580.00 KB),Technical,...,Haladhar Sabar,07-Nov-2025 06:04 PM,,ADMMalkangiri,Mixed,AERWSSMKG AEITDA DyCollector Asstcommissioner CTGST PAITDA,Haladhar Sabar,21-Dec-2025 01:10 PM,finsummary_549759.pdf (463.93 KB),AOC,1.0,ICICI BANK,20-Aug-2025 03:00 PM,03-Sep-2025 11:00 AM,20-Aug-2025 03:00 PM,02-Sep-2025 05:30 PM,NA ,NA ,20-Aug-2025 03:00 PM,02-Sep-2025 05:30 PM,11-Nov-2025 11:00 AM,ST and SC Development Deptt||ITDA MALKANGIRI,ITDAMKG-06/2025-26,2025_STSCD_117010_13,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,PA ITDA Malkangiri,ITDA OFFICE NEAR TELEPHONE EXCHANGE MALKANGIRI,"42,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Papercost, Bid security, PAN, TAN, IT Return, GST Return, Affidavits, No relation, etc.",Repair and renovation with floor tile at Anwesha Girls Hostel,Repair and renovation with floor tile at Anwesha Girls Hostel in Malkangiri Block,B Class ,NA ,"41,90,603",Civil Works - Others,Repair ,Tender,120.0,120.0,Malkangiri,764045.0,NA ,NA ,NA ,ITDA Office Malkangiri,No ,No,AOC
,,,,,,,,,,,,,,,,2,3055451,Aryan Tawari,29-Aug-2025 09:49 PM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,3056756,BISHNUPAD MANDAL,01-Sep-2025 01:18 PM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,3059148,BISWA BHUSAN TRIPATHY,02-Sep-2025 11:26 AM,Rejected-Technical,Bidder has not digitally signed document in each page as called for in DTCN,07-Nov-2025 07:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3060612,BISWAJIT SARANGI,02-Sep-2025 10:34 AM,Rejected-Technical,Bidder has not digitally signed document in each page as called for in DTCN,07-Nov-2025 07:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,3059802,CHITTA RANJAN SARKAR,02-Sep-2025 10:38 AM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,3061315,DEBRAJ MONDAL,02-Sep-2025 03:15 PM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,3058161,DEEPAK SAHU,31-Aug-2025 08:52 PM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,3046642,Deepa Ray,24-Aug-2025 07:44 PM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,3060792,GITANJALI PADHAN,02-Sep-2025 12:48 PM,Rejected-Technical,Bidder has not digitally signed document in each page as called for in DTCN,07-Nov-2025 07:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
