Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Repair and Renovation of all Kalyan Mandaps of Bhuban NAC.,Repair and Renovation of all Kalyan Mandaps of Bhuban NAC.,Please refer Tender documents. ,NA ,"12,71,207",Civil Works - Others,NA ,Tender,120.0,90.0,Bhuban NAC,759017.0,NA ,NA ,NA ,"Office of the Executive Officer, Bhuban NAC",No ,No,"6,000",0.0,Nil,Nil,No,Municipal Bodies||Bhuban NAC,BBN NAC 05/2025-26,2025_ORULB_122602_37,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"12,712",Yes,percentage,1.0%,Nil,Nil,1.0,Notice,Other,,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,"Executive Officer, Bhuban NAC","Executive Officer, Bhuban NAC",08-Dec-2025 11:00 AM,19-Dec-2025 11:00 AM,08-Dec-2025 11:00 AM,18-Dec-2025 05:00 PM,NA ,NA ,08-Dec-2025 11:00 AM,18-Dec-2025 05:00 PM,AOC,Chairperson,Internal,"Tahasildar, Block Finance Officer, Bhuban Block, Municipal Engineer, Bhuban NAC, Junior Engineer, Bhuban NAC, Executive Officer,",SURENDRA NATH SAHOO,09-Mar-2026 01:26 PM,finsummary_569747.pdf (2502.02 KB),Chairperson,Internal,"Tahasildar, Block Finance Officer, Bhuban Block, Municipal Engineer, Bhuban NAC, Junior Engineer, Bhuban NAC, Executive Officer,",SURENDRA NATH SAHOO,06-Mar-2026 11:56 AM,techsummary_569747.pdf (2502.02 KB),09-Mar-2026,"INR 1,207,774",90.0,SURENDRA NATH SAHOO,09-Mar-2026 04:54 PM,37_675.pdf (408.00 KB),aoc,1.0,3313946.0,KRISHNA GLOBAL SOLUTIONS,INR,"1,207,774",Municipal Bodies||Bhuban NAC,2025_ORULB_122602_37,BBN NAC 05/2025-26,Repair and Renovation of all Kalyan Mandaps of Bhuban NAC.,1,3309947,ABINASH BEHERA,17-Dec-2025 07:27 AM,Rejected-Technical,CS,06-Mar-2026 11:56 AM,Finance,ok,SURENDRA NATH SAHOO,06-Mar-2026 11:18 AM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,.pdf,DTCN,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3311686,AJAY KUMAR SAHOO,17-Dec-2025 05:55 PM,Rejected-Technical,CS,06-Mar-2026 11:56 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3311913,ANUP KUMAR SAHOO,17-Dec-2025 05:34 PM,Rejected-Technical,CS,06-Mar-2026 11:56 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3312664,Babuli Patra,18-Dec-2025 05:07 AM,Rejected-Technical,CS,06-Mar-2026 11:56 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3314372,Bishnu Charan Barik,18-Dec-2025 03:40 PM,Rejected-Technical,CS,06-Mar-2026 11:56 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3313234,CHINMAYA KUMAR BEHERA,18-Dec-2025 10:31 AM,Rejected-Technical,CS,06-Mar-2026 11:56 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3312631,CHINMAYEE SAHOO PROP OF SHIVANSH CONSTRUCTION,18-Dec-2025 12:43 AM,Rejected-Technical,CS,06-Mar-2026 11:56 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3307654,Chittaranjan Mishra,18-Dec-2025 11:04 AM,Rejected-Technical,CS,06-Mar-2026 11:56 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3296638,DEBENDRA SAHOO,12-Dec-2025 10:14 PM,Rejected-Technical,CS,06-Mar-2026 11:56 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3312211,GOURANGA CHARAN BEHERA,18-Dec-2025 12:38 AM,Rejected-Technical,CS,06-Mar-2026 11:56 AM,,,,,,,AOC
