Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, Valid Regd. Certificate, GST, PAN, Affidavit, work Experience other as per DTCN",16-Dec-2025 11:00 AM,26-Dec-2025 11:00 AM,16-Dec-2025 11:00 AM,24-Dec-2025 05:00 PM,NA ,NA ,16-Dec-2025 11:00 AM,24-Dec-2025 05:00 PM,"8,400",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,PHEO||SEPH-CIRCLE-CUTTACK||PH Division Angul,27 OF 2025-26,2025_PHEO_123261_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Sewerage system improvement of SDH, Talcher under State Plan 2025-26","Sewerage system improvement of SDH, Talcher under State Plan 2025-26",Please refer Tender documents. ,NA ,"8,34,000",Civil Works - Water Works,NA ,Tender,90.0,30.0,ANGUL,759122.0,NA ,NA ,NA ,ANGUL,No ,No,ADDITIONAL CHIEF ENGINEER PH DIVISION ANGUL,ANGUL PH DIVISION ANGUL PH No 06764296431,AOC,PHEO||SEPH-CIRCLE-CUTTACK||PH Division Angul,2025_PHEO_123261_1,27 OF 2025-26,"Sewerage system improvement of SDH, Talcher under State Plan 2025-26",1.0,3323525.0,RIYAZ KHAN,INR,"709,008","Er Prasanta Behera, ACE PH",Internal,"Er Prasanta Behera, Addl. Chief Engineer, P.H. Division, Angul, Bijaya Kumar Nayak, DAO, Er. Rajkishore Bhumij, E.E. Estimator",Prasanta Behera,19-Feb-2026 12:33 PM,techsummary_571786.pdf (511.08 KB),06-Mar-2026,"INR 709,008",30.0,Prasanta Behera,13-Mar-2026 11:21 AM,2716.pdf (755.00 KB),"Er Prasanta Behera, ACE PH",Internal,"Er Prasanta Behera, Addl. Chief Engineer, P.H. Division, Angul, Bijaya Kumar Nayak, DAO, Er. Rajkishore Bhumij, E.E. Estimator",Prasanta Behera,19-Feb-2026 12:37 PM,finsummary_571786.pdf (511.08 KB),Finance,The validity of tenders depends on the result of scrutiny of the scanned documents submitted by the tenderers online.,Prasanta Behera,26-Dec-2025 01:06 PM,,BOQ Comparative Chart,1,3324377,BINAYA KUMAR DAS,23-Dec-2025 01:24 PM,Rejected-AOC,Transparent lottery not win,13-Mar-2026 11:21 AM,AOC
,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3322372,HEMANTA KUMAR BEHERA,22-Dec-2025 01:40 PM,Rejected-AOC,Transparent lottery not win,13-Mar-2026 11:21 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3322086,MIHIR RANJAN DAS,22-Dec-2025 12:50 PM,Rejected-AOC,Transparent lottery not win,13-Mar-2026 11:21 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3321971,M/s RAMESH CHANDRA DAS,22-Dec-2025 05:55 PM,Rejected-AOC,Transparent lottery not win,13-Mar-2026 11:21 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3323525,RIYAZ KHAN,23-Dec-2025 11:38 AM,Accepted-AOC,Acceptance by transparent lottery,13-Mar-2026 11:21 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3322161,Saroj Kumar Sen,22-Dec-2025 01:03 PM,Rejected-AOC,Transparent lottery not win,13-Mar-2026 11:21 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3325223,SUMITRA AGARWALLA,24-Dec-2025 10:09 AM,Rejected-AOC,Transparent lottery not win,13-Mar-2026 11:21 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3325067,SUSANTA BEHERA,23-Dec-2025 06:46 PM,Rejected-AOC,Transparent lottery not win,13-Mar-2026 11:21 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3324982,SWEETY SUDESHNA SINGH,23-Dec-2025 05:42 PM,Rejected-AOC,Transparent lottery not win,13-Mar-2026 11:21 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3325270,TRISHULA SHAKTI THAMB,24-Dec-2025 10:34 AM,Rejected-AOC,Transparent lottery not win,13-Mar-2026 11:21 AM,AOC
