Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"S/R to EI to Supply and installation of CCTV Camera at office of the Superintending Engineer, Ganjam1 (R and B) division, Berhampur","S/R to EI to Supply and installation of CCTV Camera at office of the Superintending Engineer, Ganjam1 (R and B) division, Berhampur",NA ,NA ,"17,10,320",Electrical Works,NA ,Tender,90.0,30.0,Ganjam,760005.0,NA ,NA ,NA ,Office of the Superintending Engineer Ganjam Rand,No ,No,"17,200",Yes,fixed,,Nil,Nil,Superintending Engineer Ganjam Rand B Division No.,Office of the Superintending Engineer Ganjam Rand B Division No.I Berhampur,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost EMD(Online) RC,PAN, GSTIN, Affidavit Other Documents and Forms as per DTCN.",EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,SE R and B Divn NoI Bam 44/2025-26,2025_EICCL_123805_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,24-Dec-2025 06:00 PM,01-Jan-2026 11:30 AM,24-Dec-2025 06:00 PM,31-Dec-2025 04:00 PM,24-Dec-2025 06:00 PM ,31-Dec-2025 04:00 PM ,24-Dec-2025 06:00 PM,31-Dec-2025 04:00 PM,AOC,16-Mar-2026,"INR 1,453,943",30.0,Somanath Tripathy,16-Mar-2026 12:06 PM,1307.pdf (853.00 KB),Contract Awarded to Smt / Sri Tulshi Enterprises,1,3341029,BALBIR SINGH GOG,31-Dec-2025 11:02 AM,Rejected-AOC,Reject in lottery,16-Mar-2026 12:06 PM,"Superintending Engineer Ganjam (R and B) Division No.I, Berhampur",Internal,Sr. DAO and A.E.E Estimator,Somanath Tripathy,16-Mar-2026 11:34 AM,techsummary_573275.pdf (853.12 KB),"Superintending Engineer Ganjam (R and B) Division No.I, Berhampur",Internal,Sr. DAO and A.E.E Estimator,Somanath Tripathy,16-Mar-2026 11:41 AM,finsummary_573275.pdf (853.12 KB),EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,2025_EICCL_123805_1,SE R and B Divn NoI Bam 44/2025-26,"S/R to EI to Supply and installation of CCTV Camera at office of the Superintending Engineer, Ganjam1 (R and B) division, Berhampur",1.0,3335064.0,M/s.TULSHI ENTERPRISES,INR,"1,453,943",Finance,"12Nos Bidder are participate, Tender Under Scrutiny.",Somanath Tripathy,08-Jan-2026 11:24 AM,finance_573275.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC,,,,,,,,2,3340763,CORPORATE AGENCY,30-Dec-2025 08:06 PM,Rejected-Technical,Rejected due to not submit proper authorization,16-Mar-2026 11:34 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3341077,Debajyoti millennium pvt ltd,31-Dec-2025 03:02 PM,Rejected-AOC,Reject in lottery,16-Mar-2026 12:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3341160,MARUTI CONSTRUCTIONS,31-Dec-2025 12:19 PM,Rejected-AOC,Reject in lottery,16-Mar-2026 12:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3339685,M/S GANGA ELECTRIC,31-Dec-2025 05:44 AM,Rejected-AOC,Reject in lottery,16-Mar-2026 12:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3335064,M/s.TULSHI ENTERPRISES,30-Dec-2025 12:21 PM,Accepted-AOC,Win in Lottery,16-Mar-2026 12:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3337729,ONE STEP SOLUTIONS,29-Dec-2025 04:59 PM,Rejected-AOC,Reject in lottery,16-Mar-2026 12:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3340907,PERFECT COMPUTER,31-Dec-2025 12:43 AM,Rejected-AOC,Reject in lottery,16-Mar-2026 12:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3334549,SANJIT KUMAR PATTNAIK,28-Dec-2025 07:20 PM,Rejected-AOC,Reject in lottery,16-Mar-2026 12:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3334691,SHREE ENTERPRISES,28-Dec-2025 08:12 PM,Rejected-AOC,Reject in lottery,16-Mar-2026 12:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
