S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
1.0,3171293.0,M/s. BHAGABATI INDUSTRIES Prop. NIRANJAN PANDA,INR,"2,767,116.15",CE MECHANICAL,Internal,,JITENDRA KUMAR ORAM,05-Mar-2026 04:32 PM,finsummary_558039.pdf (1120.37 KB),Chief Engineer Mech - WR Bhubaneswar,2025_CEMWR_120011_1,CEM/MDB-02/2025-26,Supply Fabrication Transportation Erection of Gates and Hoists Double stem of the Sluice at Tarakaj to Kanjia DC No 3 under Doab VII at Durgadaspur at RD 6900m under Drainage Division Puri for the year 2025 26,Technical,All docs downloaded successfully.,JITENDRA KUMAR ORAM,11-Nov-2025 01:22 PM,,Finance,All docs downloaded downloaded successfully,SASANKA SEKHAR MOHANTY,03-Jan-2026 01:34 PM,,BOQ Comparative Chart,CE MECHANICAL,Internal,,JITENDRA KUMAR ORAM,02-Jan-2026 06:37 PM,03-Jan-2026 12:00 PM,techsummary_558039.pdf (1120.37 KB),22-Mar-2026,"INR 2,767,116.15",60.0,JITENDRA KUMAR ORAM,23-Mar-2026 12:31 PM,MDB02.pdf (994.00 KB),1,3176695,BANASHREE BHUYAN,10-Nov-2025 01:57 PM,Rejected-Technical,Technically rejected,02-Jan-2026 06:37 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,Bid Documents,"32,550",Yes,percentage,1.0%,Nil,Nil,28-Oct-2025 10:00 AM,11-Nov-2025 12:00 PM,28-Oct-2025 10:00 AM,10-Nov-2025 05:30 PM,28-Oct-2025 10:00 AM ,04-Nov-2025 05:30 PM ,28-Oct-2025 10:00 AM,10-Nov-2025 05:30 PM,03-Jan-2026 12:00 PM,Supply Fabrication Transportation Erection of Gates and Hoists Double stem of the Sluice at Tarakaj to Kanjia DC No 3 under Doab VII at Durgadaspur at RD 6900m under Drainage Division Puri for the year 2025 26,Supply Fabrication Transportation Erection of Gates and Hoists Double stem of the Sluice at Tarakaj to Kanjia DC No 3 under Doab VII at Durgadaspur at RD 6900m under Drainage Division Puri for the year 2025 26,As per DTCN ,NA ,"32,55,048",Mechanical Works,NA ,Tender,90.0,60.0,Durgadaspur,752104.0,NA ,NA ,NA ,BHUBANESWAR,No ,No,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Chief Engineer Mech - WR Bhubaneswar,CEM/MDB-02/2025-26,2025_CEMWR_120011_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,CHIEF ENGINEER MECHANICAL,OFFICE OF THE EIC WR,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3176578,LAXMIDHRA BHUYAN,10-Nov-2025 11:18 AM,Rejected-Technical,Technically rejected,02-Jan-2026 06:37 PM,AOC,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3179710,M/S Abirvab Steel Product,08-Nov-2025 10:24 AM,Rejected-AOC,Not a Winner of lottery,23-Mar-2026 12:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3196612,M/S ADITYA INDUSTRIAL ENTERPRISERS(PROP.SUKANTA SAHOO),08-Nov-2025 11:56 AM,Rejected-AOC,Not a Winner of lottery,23-Mar-2026 12:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3171312,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,08-Nov-2025 09:00 PM,Rejected-AOC,Not a Winner of lottery,23-Mar-2026 12:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3183310,M/S Ashreebad Fabricators,07-Nov-2025 12:17 PM,Rejected-AOC,Not a Winner of lottery,23-Mar-2026 12:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3171293,M/s. BHAGABATI INDUSTRIES Prop. NIRANJAN PANDA,08-Nov-2025 09:10 PM,Accepted-AOC,Winner of lottery,23-Mar-2026 12:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3195121,M/S KALINGA METAL PRODUCT (PROP. SMT BASANTILATA MOHANTY,08-Nov-2025 06:55 PM,Rejected-AOC,Not a Winner of lottery,23-Mar-2026 12:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3195058,"M/S MOHANTY INDUSTRIAL ENTERPRISERS -PROPRIETOR ,MALAYA KUMAR MOHANTY",08-Nov-2025 09:27 AM,Rejected-AOC,Not a Winner of lottery,23-Mar-2026 12:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3205647,POOJARINI ENTERPRISERS,10-Nov-2025 03:35 PM,Rejected-Technical,Technically rejected,02-Jan-2026 06:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
