Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
CE MECH DOWR,External,"FA AND CAO OLIC, ED (TECH) OLIC, ADDL. CHIEF ENGINEER RWSS, ADDL. DIRECTOR GWD, EE (ELECT.) OLIC, EE (MP) OLIC",Sudarsan Sadangi,02-Jul-2025 06:33 PM,07-Jul-2025 11:00 AM,techsummary_529178.pdf (12490.21 KB),1.0,2847400.0,"m s mahabir borewell and equipments, prop.padmalava mallick",INR,"158,883,864.18",Orissa Lift Irrigation Corporation,2025_OLIC_110346_2,1071 DT-07.02.2025,"Installatin, Electrification, Energisation and Commissioning of Borewells in MAYURBHANJA District Pkg-02 (KARANJIA DIVISION) BID ID-52",Finance,Two nos of bidders have participated,Sudarsan Sadangi,07-Jul-2025 08:02 PM,,BOQ Comparative Chart,1,2847400,"m s mahabir borewell and equipments, prop.padmalava mallick",10-Mar-2025 11:54 AM,Accepted-AOC,L-1 Bidder,10-Mar-2026 07:56 PM,Technical,Two nos of bidders have participated,Sudarsan Sadangi,12-Mar-2025 12:48 PM,,15-Oct-2025,"INR 158,883,864.18",180.0,Sudarsan Sadangi,10-Mar-2026 07:56 PM,OrderMayurbhanja02.pdf (440.00 KB),ORDER,MD OLIC LTD,Internal,"FA-CUM-CAO DOWR, FA AND CAO OLIC, ED (TECH) OLIC, ADDL. CHIEF ENGINEER RWSS, REP. OF DIRECTOR GWD, EE (MP) OLIC",Sudarsan Sadangi,15-Oct-2025 10:07 AM,finsummary_529178.pdf (17372.14 KB),AOC,1,ICICI BANK,MD OLIC,OFFICE OF MD OLIC PLOT NO-N-17/2 NAYAPALLI BBSR,"11,800",0.0,Nil,Nil,Yes,12-Feb-2025 10:00 AM,11-Mar-2025 11:00 AM,12-Feb-2025 10:00 AM,10-Mar-2025 05:00 PM,12-Feb-2025 10:00 AM ,25-Feb-2025 05:00 PM ,12-Feb-2025 10:00 AM,10-Mar-2025 05:00 PM,07-Jul-2025 11:00 AM,1,Fee/PreQual/Technical,.pdf,"TENDER COST, EMD, GST, PAN AND ALL OTHER DOCUMENTS AS PER DTCN",Orissa Lift Irrigation Corporation,1071 DT-07.02.2025,2025_OLIC_110346_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Installatin, Electrification, Energisation and Commissioning of Borewells in MAYURBHANJA District Pkg-02 (KARANJIA DIVISION) BID ID-52","Installatin, Electrification, Energisation and Commissioning of Borewells in MAYURBHANJA District Pkg-02 (KARANJIA DIVISION) BID ID-52",Please refer Tender Document DTCN ,NA ,"14,91,87,000",Civil Works - Lift Irrigation Schemes,NA ,Tender,730.0,180.0,MAYURBHANJA (KARANJIA),757037.0,NA ,NA ,NA ,OFFICE OF MD OLIC PLOT NO-N-17/2 NAYAPALLI BBSR,No ,No,"14,92,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,2,2846994,TIRUPATI DRILLING AND MINING SERVICES PVT. LTD,10-Mar-2025 02:57 PM,Rejected-Finance,Rejected by Tender Committee,15-Oct-2025 10:07 AM,,,,,,,,,,,,,,,,,,,AOC,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
