Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,License PAN Card GSTIN Affidavit and as per DTCN,Executive Engineer,"RURAL WORKS DIVISION-I, NAWARANGPUR","2,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,EERWNGP Online 13 2025 26,2026_CERWI_126501_5,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,SR to R.I. office Building at B. Maliguda in Nandahandi Block for the year 2025 26.,SR to R.I. office Building at B. Maliguda in Nandahandi Block for the year 2025 26.,Please refer to Tender documents ,NA ,"2,11,968",Civil Works - Buildings,NA ,Tender,90.0,15.0,Nandahandi,764078.0,NA ,NA ,NA ,"RURAL WORKS DIVISION-I, NAWARANGPUR",No ,No,1.0,ICICI BANK,"2,120",Yes,percentage,1.0%,Nil,Nil,25-Feb-2026 09:00 AM,03-Mar-2026 11:00 AM,25-Feb-2026 09:00 AM,02-Mar-2026 05:00 PM,25-Feb-2026 09:00 AM ,02-Mar-2026 05:00 PM ,25-Feb-2026 09:00 AM,02-Mar-2026 05:00 PM,AOC,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,2026_CERWI_126501_5,EERWNGP Online 13 2025 26,SR to R.I. office Building at B. Maliguda in Nandahandi Block for the year 2025 26.,Executive Engineer,Internal,"Estimator, DAO,EE",Shiba Sankar Mohanta,30-Mar-2026 08:27 PM,finsummary_582786.pdf (718.27 KB),Finance,Tender opening,Shiba Sankar Mohanta,30-Mar-2026 08:14 PM,finance_582786.pdf,BOQ Comparative Chart,1.0,3414926.0,DURYADHAN MALI,INR,"211,968",30-Mar-2026,"INR 211,968",15.0,Jay Prakash Soren,31-Mar-2026 12:18 PM,wo02Copy.pdf (225.00 KB),1,3415346,AKASH BISSOI,01-Mar-2026 04:12 PM,Rejected-AOC,Disqualified in transparent lottery,31-Mar-2026 12:18 PM,Executive Engineer,Internal,"Estimator,DAO,EE",Shiba Sankar Mohanta,30-Mar-2026 08:20 PM,techsummary_582786.pdf (718.27 KB),AOC
,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3417031,AMLAN JYOTI MADALA,02-Mar-2026 04:56 PM,Rejected-AOC,Disqualified in transparent lottery,31-Mar-2026 12:18 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3416271,Aswin Dash,02-Mar-2026 12:49 PM,Rejected-AOC,Disqualified in transparent lottery,31-Mar-2026 12:18 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3416785,BALRAM HARIJAN,02-Mar-2026 04:08 PM,Rejected-AOC,Disqualified in transparent lottery,31-Mar-2026 12:18 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3415235,BISWANATH MAJHI,01-Mar-2026 12:37 PM,Rejected-AOC,Disqualified in transparent lottery,31-Mar-2026 12:18 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3416502,DEBA RANJAN PATRA,02-Mar-2026 02:02 PM,Rejected-AOC,Disqualified in transparent lottery,31-Mar-2026 12:18 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3414926,DURYADHAN MALI,01-Mar-2026 02:44 PM,Accepted-AOC,Awarded of contract,31-Mar-2026 12:18 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3416698,Hemanta Kumar Bhakta,02-Mar-2026 02:58 PM,Rejected-AOC,Disqualified in transparent lottery,31-Mar-2026 12:18 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3415409,JHUNULATA PATRA,01-Mar-2026 07:48 PM,Rejected-AOC,Disqualified in transparent lottery,31-Mar-2026 12:18 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3416521,JUBARAJ BISSOYI,02-Mar-2026 02:04 PM,Rejected-AOC,Disqualified in transparent lottery,31-Mar-2026 12:18 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3415290,LAXMIKANTA NAYAK (S.T),01-Mar-2026 01:51 PM,Rejected-AOC,Disqualified in transparent lottery,31-Mar-2026 12:18 PM,,,,,,,AOC
